NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	39	1.0526790618896484	0.13832799	Yes	
row_1	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]	231	0.7165935039520264	0.22062638	Yes	
row_2	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]	272	0.67757648229599	0.30858886	Yes	
row_3	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	325	0.6376246809959412	0.3903288	Yes	
row_4	MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	490	0.5638998746871948	0.4541024	Yes	
row_5	MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]	529	0.550910234451294	0.52522594	Yes	
row_6	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]	561	0.5399571657180786	0.59538597	Yes	
row_7	LITAF	lipopolysaccharide induced TNF factor [Source:HGNC Symbol;Acc:HGNC:16841]	726	0.4844646751880646	0.64850897	Yes	
row_8	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	811	0.46028614044189453	0.7041626	Yes	
row_9	NEFL	neurofilament light chain [Source:HGNC Symbol;Acc:HGNC:7739]	1155	0.38778918981552124	0.7314077	Yes	
row_10	PMP22	peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]	1326	0.3596944808959961	0.76736873	Yes	
row_11	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	2908	0.1866205930709839	0.67831314	No	
row_12	SBF2	SET binding factor 2 [Source:HGNC Symbol;Acc:HGNC:2135]	4523	0.08308236300945282	0.57299405	No	
row_13	DNM2	dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]	4738	0.0712062418460846	0.5671001	No	
row_14	PRPS1	phosphoribosyl pyrophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9462]	7705	-0.08027737587690353	0.36385104	No	
row_15	MPZ	myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]	10634	-0.28289180994033813	0.19051021	No	
row_16	GBF1	golgi brefeldin A resistant guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4181]	10990	-0.32274171710014343	0.20816794	No	
