NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IPCEF1	interaction protein for cytohesin exchange factors 1 [Source:HGNC Symbol;Acc:HGNC:21204]	783	0.7048338651657104	-0.055123996	No	
row_1	CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	809	0.6933203935623169	-0.054187678	No	
row_2	RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	818	0.6913303136825562	-0.052001033	No	
row_3	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	1923	0.4381299614906311	-0.13195722	No	
row_4	SLC29A1	solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003]	2122	0.41160741448402405	-0.14495857	No	
row_5	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	2573	0.35612043738365173	-0.17683582	No	
row_6	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	2698	0.3407585024833679	-0.18464452	No	
row_7	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	2737	0.334626168012619	-0.18611223	No	
row_8	RGS19	regulator of G protein signaling 19 [Source:HGNC Symbol;Acc:HGNC:13735]	2974	0.3115944564342499	-0.20232831	No	
row_9	GAS6	growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168]	3094	0.3004162907600403	-0.20992908	No	
row_10	GLIPR1	GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]	3438	0.26883068680763245	-0.23423712	No	
row_11	SMAP2	small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]	3901	0.22921842336654663	-0.26751268	No	
row_12	SFMBT2	Scm like with four mbt domains 2 [Source:HGNC Symbol;Acc:HGNC:20256]	4121	0.2098831683397293	-0.28287926	No	
row_13	GRK2	G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289]	4165	0.20665191113948822	-0.28523144	No	
row_14	CCNL1	cyclin L1 [Source:HGNC Symbol;Acc:HGNC:20569]	4533	0.17863889038562775	-0.31167847	No	
row_15	STK4	serine/threonine kinase 4 [Source:HGNC Symbol;Acc:HGNC:11408]	4635	0.17096498608589172	-0.31846723	No	
row_16	NAA20	N-alpha-acetyltransferase 20, NatB catalytic subunit [Source:HGNC Symbol;Acc:HGNC:15908]	4699	0.16598540544509888	-0.32246327	No	
row_17	ARHGAP27	Rho GTPase activating protein 27 [Source:HGNC Symbol;Acc:HGNC:31813]	4939	0.14708557724952698	-0.33956265	No	
row_18	OAZ1	ornithine decarboxylase antizyme 1 [Source:HGNC Symbol;Acc:HGNC:8095]	4946	0.14659924805164337	-0.33941752	No	
row_19	STING1	stimulator of interferon response cGAMP interactor 1 [Source:HGNC Symbol;Acc:HGNC:27962]	4973	0.14406254887580872	-0.34076297	No	
row_20	MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]	4981	0.14365126192569733	-0.3407037	No	
row_21	CORO1A	coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252]	5070	0.13645613193511963	-0.3466689	No	
row_22	CYRIB	CYFIP related Rac1 interactor B [Source:HGNC Symbol;Acc:HGNC:25216]	5116	0.13230152428150177	-0.349468	No	
row_23	EFHD2	EF-hand domain family member D2 [Source:HGNC Symbol;Acc:HGNC:28670]	5201	0.12616689503192902	-0.35517848	No	
row_24	ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	5260	0.12192374467849731	-0.35898152	No	
row_25	ACTR3	actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]	5303	0.11866911500692368	-0.36161333	No	
row_26	COLGALT1	collagen beta(1-O)galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26182]	5405	0.11236061155796051	-0.36863765	No	
row_27	OTULINL	OTU deubiquitinase with linear linkage specificity like [Source:HGNC Symbol;Acc:HGNC:25629]	5567	0.10100884735584259	-0.38014874	No	
row_28	DOCK4	dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]	5651	0.09510596096515656	-0.38591006	No	
row_29	HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	5685	0.09213808178901672	-0.38798234	No	
row_30	ITSN2	intersectin 2 [Source:HGNC Symbol;Acc:HGNC:6184]	5727	0.0893484428524971	-0.390658	No	
row_31	MED12L	mediator complex subunit 12L [Source:HGNC Symbol;Acc:HGNC:16050]	5820	0.08255085349082947	-0.39713594	No	
row_32	COTL1	coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304]	6066	0.06673014163970947	-0.41500244	No	
row_33	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	6179	0.05833272263407707	-0.42305812	No	
row_34	ABHD12	abhydrolase domain containing 12, lysophospholipase [Source:HGNC Symbol;Acc:HGNC:15868]	6318	0.04995898902416229	-0.43307197	No	
row_35	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	6699	0.022528251633048058	-0.46110874	No	
row_36	PRR13	proline rich 13 [Source:HGNC Symbol;Acc:HGNC:24528]	6720	0.021049153059720993	-0.46250454	No	
row_37	CNPY3	canopy FGF signaling regulator 3 [Source:HGNC Symbol;Acc:HGNC:11968]	6889	0.010575261898338795	-0.47489724	No	
row_38	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	6896	0.010340068489313126	-0.4752998	No	
row_39	UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	7027	-2.7222358039580286E-4	-0.48492122	No	
row_40	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	7053	-0.0020053682383149862	-0.48676363	No	
row_41	NPL	N-acetylneuraminate pyruvate lyase [Source:HGNC Symbol;Acc:HGNC:16781]	7069	-0.003261515172198415	-0.4878608	No	
row_42	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	7198	-0.014408732764422894	-0.49727735	No	
row_43	C12orf75	chromosome 12 open reading frame 75 [Source:HGNC Symbol;Acc:HGNC:35164]	7346	-0.02534124255180359	-0.50805634	No	
row_44	CAPZB	capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]	7362	-0.02666965313255787	-0.5090594	No	
row_45	SRGAP2B	SLIT-ROBO Rho GTPase activating protein 2B [Source:HGNC Symbol;Acc:HGNC:35237]	7437	-0.03214959427714348	-0.51440763	No	
row_46	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]	7467	-0.03472018614411354	-0.51641464	No	
row_47	IER5	immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]	7580	-0.04267055541276932	-0.5245333	No	
row_48	SPRED1	sprouty related EVH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20249]	7658	-0.04820425063371658	-0.530039	No	
row_49	SH3KBP1	SH3 domain containing kinase binding protein 1 [Source:HGNC Symbol;Acc:HGNC:13867]	7896	-0.06734750419855118	-0.5473108	No	
row_50	AP1B1	adaptor related protein complex 1 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:554]	7898	-0.06746526062488556	-0.54711366	No	
row_51	NCF4	neutrophil cytosolic factor 4 [Source:HGNC Symbol;Acc:HGNC:7662]	7959	-0.07334306836128235	-0.55126005	No	
row_52	DDX5	DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]	8071	-0.0825306624174118	-0.55914444	No	
row_53	ACTR2	actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]	8173	-0.0899951383471489	-0.56625867	No	
row_54	MKNK1	MAPK interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:7110]	8271	-0.09770335257053375	-0.5730458	No	
row_55	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	8280	-0.09822314232587814	-0.57324314	No	
row_56	CD164	CD164 molecule [Source:HGNC Symbol;Acc:HGNC:1632]	8371	-0.10534147918224335	-0.5794815	No	
row_57	PALD1	phosphatase domain containing paladin 1 [Source:HGNC Symbol;Acc:HGNC:23530]	8406	-0.10928651690483093	-0.5815588	No	
row_58	ARPC5	actin related protein 2/3 complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:708]	8528	-0.11907634884119034	-0.5900365	No	
