NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MANNO_MIDBRAIN_NEUROTYPES_HSERT	MANNO_MIDBRAIN_NEUROTYPES_HSERT	Details ...	428	0.7279413	3.8620286	0.0	0.0	0.0	2047	tags=67%, list=15%, signal=76%	
MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA2	Details ...	472	0.65730166	3.499424	0.0	0.0	0.0	2030	tags=59%, list=15%, signal=67%	
DESCARTES_FETAL_PANCREAS_ENS_NEURONS	DESCARTES_FETAL_PANCREAS_ENS_NEURONS	Details ...	124	0.7416247	3.4334018	0.0	0.0	0.0	1507	tags=61%, list=11%, signal=68%	
MANNO_MIDBRAIN_NEUROTYPES_HDA	MANNO_MIDBRAIN_NEUROTYPES_HDA	Details ...	457	0.64196837	3.4106028	0.0	0.0	0.0	2053	tags=57%, list=15%, signal=64%	
MANNO_MIDBRAIN_NEUROTYPES_HOMTN	MANNO_MIDBRAIN_NEUROTYPES_HOMTN	Details ...	355	0.6477387	3.3561316	0.0	0.0	0.0	2539	tags=63%, list=18%, signal=75%	
MANNO_MIDBRAIN_NEUROTYPES_HNBML5	MANNO_MIDBRAIN_NEUROTYPES_HNBML5	Details ...	433	0.624997	3.3335338	0.0	0.0	0.0	2637	tags=59%, list=19%, signal=71%	
MANNO_MIDBRAIN_NEUROTYPES_HRN	MANNO_MIDBRAIN_NEUROTYPES_HRN	Details ...	311	0.6396828	3.28891	0.0	0.0	0.0	2539	tags=60%, list=18%, signal=72%	
CAHOY_NEURONAL	CAHOY_NEURONAL	Details ...	93	0.7681465	3.2613385	0.0	0.0	0.0	1873	tags=75%, list=13%, signal=86%	
DESCARTES_FETAL_INTESTINE_ENS_NEURONS	DESCARTES_FETAL_INTESTINE_ENS_NEURONS	Details ...	125	0.69689333	3.2197814	0.0	0.0	0.0	1860	tags=62%, list=13%, signal=70%	
HE_LIM_SUN_FETAL_LUNG_C7_SST_POS_NEURON_CELL	HE_LIM_SUN_FETAL_LUNG_C7_SST_POS_NEURON_CELL	Details ...	354	0.6091186	3.192038	0.0	0.0	0.0	2925	tags=64%, list=21%, signal=78%	
MANNO_MIDBRAIN_NEUROTYPES_HNBML1	MANNO_MIDBRAIN_NEUROTYPES_HNBML1	Details ...	300	0.61386985	3.190233	0.0	0.0	0.0	2446	tags=57%, list=18%, signal=68%	
ZHONG_PFC_C3_MICROGLIA	ZHONG_PFC_C3_MICROGLIA	Details ...	470	0.54685307	2.9411485	0.0	0.0	0.0	2526	tags=47%, list=18%, signal=55%	
HE_LIM_SUN_FETAL_LUNG_C7_TM4SF4_POS_PENK_POS_NEURON_CELL	HE_LIM_SUN_FETAL_LUNG_C7_TM4SF4_POS_PENK_POS_NEURON_CELL	Details ...	109	0.6422923	2.923305	0.0	0.0	0.0	2465	tags=68%, list=18%, signal=82%	
DESCARTES_FETAL_ADRENAL_SYMPATHOBLASTS	DESCARTES_FETAL_ADRENAL_SYMPATHOBLASTS	Details ...	78	0.6918701	2.9064796	0.0	0.0	0.0	1389	tags=55%, list=10%, signal=61%	
GOCC_GABA_ERGIC_SYNAPSE	GOCC_GABA_ERGIC_SYNAPSE	Details ...	79	0.67828196	2.8758771	0.0	0.0	0.0	2259	tags=62%, list=16%, signal=74%	
HE_LIM_SUN_FETAL_LUNG_C1_INTERM_NEUROENDOCRINE_CELL	HE_LIM_SUN_FETAL_LUNG_C1_INTERM_NEUROENDOCRINE_CELL	Details ...	242	0.5666265	2.868229	0.0	0.0	0.0	2496	tags=55%, list=18%, signal=66%	
