NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LHX9	LIM homeobox 9 [Source:HGNC Symbol;Acc:HGNC:14222]	6	1.8667696714401245	0.05038565	Yes	
row_1	SYT1	synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509]	128	1.145714521408081	0.07281247	Yes	
row_2	GAP43	growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]	365	0.8908891081809998	0.07997291	Yes	
row_3	SYNGR3	synaptogyrin 3 [Source:HGNC Symbol;Acc:HGNC:11501]	415	0.8612266182899475	0.09986968	Yes	
row_4	GRIA2	glutamate ionotropic receptor AMPA type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4572]	429	0.8516801595687866	0.12211394	Yes	
row_5	CHGB	chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]	455	0.8356797099113464	0.14305349	Yes	
row_6	CLSTN3	calsyntenin 3 [Source:HGNC Symbol;Acc:HGNC:18371]	471	0.8260083794593811	0.16445401	Yes	
row_7	DISP2	dispatched RND transporter family member 2 [Source:HGNC Symbol;Acc:HGNC:19712]	476	0.8234504461288452	0.1865816	Yes	
row_8	SNAP25	synaptosome associated protein 25 [Source:HGNC Symbol;Acc:HGNC:11132]	483	0.8204032182693481	0.20848137	Yes	
row_9	CAMK2A	calcium/calmodulin dependent protein kinase II alpha [Source:HGNC Symbol;Acc:HGNC:1460]	536	0.7920758128166199	0.22627833	Yes	
row_10	NSG2	neuronal vesicle trafficking associated 2 [Source:HGNC Symbol;Acc:HGNC:24955]	551	0.7864841222763062	0.2466753	Yes	
row_11	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B [Source:HGNC Symbol;Acc:HGNC:4586]	582	0.7733089923858643	0.26555476	Yes	
row_12	PRKAR1B	protein kinase cAMP-dependent type I regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9390]	606	0.7596625089645386	0.28456968	Yes	
row_13	PACSIN1	protein kinase C and casein kinase substrate in neurons 1 [Source:HGNC Symbol;Acc:HGNC:8570]	613	0.7581651210784912	0.30477512	Yes	
row_14	GABBR2	gamma-aminobutyric acid type B receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:4507]	791	0.7012062668800354	0.3110449	Yes	
row_15	MEG3	maternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:14575]	826	0.6886919140815735	0.32733107	Yes	
row_16	NAPB	NSF attachment protein beta [Source:HGNC Symbol;Acc:HGNC:15751]	867	0.6768373250961304	0.34285992	Yes	
row_17	RYR2	ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]	872	0.6756365299224854	0.3609635	Yes	
row_18	NEFL	neurofilament light chain [Source:HGNC Symbol;Acc:HGNC:7739]	951	0.6493326425552368	0.37299135	Yes	
row_19	TRANK1	tetratricopeptide repeat and ankyrin repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:29011]	971	0.6425347328186035	0.38910738	Yes	
row_20	RTN1	reticulon 1 [Source:HGNC Symbol;Acc:HGNC:10467]	987	0.6366899609565735	0.40535396	Yes	
row_21	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	1000	0.6326526999473572	0.42170793	Yes	
row_22	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	1015	0.6295709609985352	0.43783316	Yes	
row_23	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]	1025	0.625795304775238	0.4542177	Yes	
row_24	SYP	synaptophysin [Source:HGNC Symbol;Acc:HGNC:11506]	1118	0.6013949513435364	0.46392658	Yes	
row_25	UCHL1	ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]	1131	0.5987944602966309	0.4793588	Yes	
row_26	TCAF1	TRPM8 channel associated factor 1 [Source:HGNC Symbol;Acc:HGNC:22201]	1237	0.5698740482330322	0.487268	Yes	
row_27	PHF24	PHD finger protein 24 [Source:HGNC Symbol;Acc:HGNC:29180]	1314	0.5519245266914368	0.49678892	Yes	
row_28	SLC22A17	solute carrier family 22 member 17 [Source:HGNC Symbol;Acc:HGNC:23095]	1321	0.5490291714668274	0.5113009	Yes	
