NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RNF125	ring finger protein 125 [Source:HGNC Symbol;Acc:HGNC:21150]	153	2.531536817550659	-0.0075132768	No	
row_1	NKAIN2	sodium/potassium transporting ATPase interacting 2 [Source:HGNC Symbol;Acc:HGNC:16443]	162	2.4971604347229004	-0.004261863	No	
row_2	PEX5L	peroxisomal biogenesis factor 5 like [Source:HGNC Symbol;Acc:HGNC:30024]	188	2.3642637729644775	-0.0024835272	No	
row_3	ADARB2	adenosine deaminase RNA specific B2 (inactive) [Source:HGNC Symbol;Acc:HGNC:227]	283	1.9750689268112183	-0.0064526782	No	
row_4	SHTN1	shootin 1 [Source:HGNC Symbol;Acc:HGNC:29319]	473	1.5303617715835571	-0.018194582	No	
row_5	SERTAD4-AS1	SERTAD4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:32019]	474	1.530258059501648	-0.015836377	No	
row_6	TMEM151A	transmembrane protein 151A [Source:HGNC Symbol;Acc:HGNC:28497]	478	1.5264439582824707	-0.013707863	No	
row_7	SRCIN1	SRC kinase signaling inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:29506]	483	1.5190407037734985	-0.011665363	No	
row_8	MTURN	maturin, neural progenitor differentiation regulator homolog [Source:HGNC Symbol;Acc:HGNC:25457]	524	1.461980938911438	-0.01239656	No	
row_9	AATK	apoptosis associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:21]	532	1.4429446458816528	-0.010695141	No	
row_10	STMN4	stathmin 4 [Source:HGNC Symbol;Acc:HGNC:16078]	544	1.4200799465179443	-0.009327376	No	
row_11	APLP1	amyloid beta precursor like protein 1 [Source:HGNC Symbol;Acc:HGNC:597]	561	1.3968924283981323	-0.008368367	No	
row_12	KLHL32	kelch like family member 32 [Source:HGNC Symbol;Acc:HGNC:21221]	595	1.3551305532455444	-0.008741994	No	
row_13	TMCC3	transmembrane and coiled-coil domain family 3 [Source:HGNC Symbol;Acc:HGNC:29199]	625	1.3085132837295532	-0.008889043	No	
row_14	SH3PXD2A	SH3 and PX domains 2A [Source:HGNC Symbol;Acc:HGNC:23664]	626	1.3084293603897095	-0.0068726866	No	
row_15	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	650	1.2829850912094116	-0.0066114473	No	
row_16	ULK2	unc-51 like autophagy activating kinase 2 [Source:HGNC Symbol;Acc:HGNC:13480]	659	1.266706943511963	-0.0052562244	No	
row_17	CXADR	CXADR Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559]	727	1.19768488407135	-0.008409039	No	
row_18	C1QL1	complement C1q like 1 [Source:HGNC Symbol;Acc:HGNC:24182]	782	1.134227991104126	-0.010689785	No	
row_19	NLN	neurolysin [Source:HGNC Symbol;Acc:HGNC:16058]	796	1.1233934164047241	-0.009928438	No	
row_20	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	970	0.9990411400794983	-0.02129546	No	
