NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MANNO_MIDBRAIN_NEUROTYPES_HSERT	MANNO_MIDBRAIN_NEUROTYPES_HSERT	Details ...	428	-0.677274	-3.404343	0.0	0.0	0.0	2498	tags=66%, list=18%, signal=78%	
MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA2	Details ...	472	-0.6136527	-3.0951283	0.0	0.0	0.0	2272	tags=56%, list=16%, signal=65%	
MANNO_MIDBRAIN_NEUROTYPES_HDA	MANNO_MIDBRAIN_NEUROTYPES_HDA	Details ...	457	-0.58870405	-2.9771628	0.0	0.0	0.0	2422	tags=54%, list=17%, signal=64%	
MANNO_MIDBRAIN_NEUROTYPES_HOMTN	MANNO_MIDBRAIN_NEUROTYPES_HOMTN	Details ...	355	-0.5956199	-2.968624	0.0	0.0	0.0	2388	tags=57%, list=17%, signal=67%	
MANNO_MIDBRAIN_NEUROTYPES_HNBML5	MANNO_MIDBRAIN_NEUROTYPES_HNBML5	Details ...	433	-0.57063776	-2.9045062	0.0	0.0	0.0	2339	tags=51%, list=17%, signal=59%	
MANNO_MIDBRAIN_NEUROTYPES_HRN	MANNO_MIDBRAIN_NEUROTYPES_HRN	Details ...	311	-0.584711	-2.87513	0.0	0.0	0.0	2475	tags=57%, list=18%, signal=67%	
HE_LIM_SUN_FETAL_LUNG_C7_SST_POS_NEURON_CELL	HE_LIM_SUN_FETAL_LUNG_C7_SST_POS_NEURON_CELL	Details ...	354	-0.5536318	-2.7616274	0.0	0.0	0.0	2980	tags=56%, list=21%, signal=70%	
CAHOY_NEURONAL	CAHOY_NEURONAL	Details ...	93	-0.67305535	-2.7258425	0.0	0.0	0.0	2152	tags=69%, list=16%, signal=81%	
DESCARTES_FETAL_INTESTINE_ENS_NEURONS	DESCARTES_FETAL_INTESTINE_ENS_NEURONS	Details ...	125	-0.60049963	-2.6163511	0.0	0.0	0.0	2349	tags=61%, list=17%, signal=73%	
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	Details ...	60	-0.66629547	-2.60789	0.0	0.0	0.0	1645	tags=53%, list=12%, signal=60%	
MANNO_MIDBRAIN_NEUROTYPES_HNBML1	MANNO_MIDBRAIN_NEUROTYPES_HNBML1	Details ...	300	-0.5387056	-2.6010637	0.0	0.0	0.0	2498	tags=53%, list=18%, signal=63%	
GOCC_GABA_ERGIC_SYNAPSE	GOCC_GABA_ERGIC_SYNAPSE	Details ...	79	-0.6394831	-2.5932078	0.0	0.0	0.0	3225	tags=62%, list=23%, signal=80%	
