NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	340	0.6889406442642212	-0.013531979	No	
row_1	MRC1	mannose receptor C-type 1 [Source:HGNC Symbol;Acc:HGNC:7228]	437	0.6270290017127991	-0.0102542555	No	
row_2	CHL1	cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939]	552	0.57143235206604	-0.0092040375	No	
row_3	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	595	0.5572764277458191	-0.0031260727	No	
row_4	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	658	0.5335664749145508	0.0011016164	No	
row_5	FKBP11	FKBP prolyl isomerase 11 [Source:HGNC Symbol;Acc:HGNC:18624]	665	0.532623827457428	0.009405009	No	
row_6	CHI3L2	chitinase 3 like 2 [Source:HGNC Symbol;Acc:HGNC:1933]	743	0.5080040097236633	0.012117302	No	
row_7	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	865	0.4760279059410095	0.01109029	No	
row_8	PIM2	Pim-2 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8987]	912	0.4662374258041382	0.015381842	No	
row_9	KPNA2	karyopherin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6395]	976	0.4530197083950043	0.018214494	No	
row_10	CD48	CD48 molecule [Source:HGNC Symbol;Acc:HGNC:1683]	1142	0.4181267321109772	0.01302268	No	
row_11	REEP1	receptor accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:25786]	1194	0.4095010459423065	0.01601776	No	
row_12	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	1617	0.3448132574558258	-0.009152888	No	
row_13	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	1750	0.32904255390167236	-0.013395933	No	
row_14	F13A1	coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]	1912	0.31056293845176697	-0.020060921	No	
row_15	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	2173	0.28370797634124756	-0.03439928	No	
row_16	IGFBP4	insulin like growth factor binding protein 4 [Source:HGNC Symbol;Acc:HGNC:5473]	2370	0.26624128222465515	-0.044348683	No	
row_17	MS4A6A	membrane spanning 4-domains A6A [Source:HGNC Symbol;Acc:HGNC:13375]	2388	0.26506081223487854	-0.041240316	No	
row_18	CD93	CD93 molecule [Source:HGNC Symbol;Acc:HGNC:15855]	2684	0.24268697202205658	-0.05880892	No	
row_19	SCO2	synthesis of cytochrome C oxidase 2 [Source:HGNC Symbol;Acc:HGNC:10604]	2821	0.23141036927700043	-0.064946584	No	
row_20	BLNK	B cell linker [Source:HGNC Symbol;Acc:HGNC:14211]	2888	0.2270175963640213	-0.066042386	No	
row_21	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	2905	0.22570689022541046	-0.06350686	No	
row_22	RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	2975	0.22109057009220123	-0.0649191	No	
row_23	C1QL1	complement C1q like 1 [Source:HGNC Symbol;Acc:HGNC:24182]	3008	0.21867001056671143	-0.063667975	No	
row_24	SEL1L3	SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108]	3173	0.2082037478685379	-0.07223211	No	
row_25	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	3232	0.20528726279735565	-0.073100105	No	
row_26	GABBR1	gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]	3245	0.20454183220863342	-0.070619725	No	
row_27	SSR4	signal sequence receptor subunit 4 [Source:HGNC Symbol;Acc:HGNC:11326]	3270	0.2031017690896988	-0.069039665	No	
row_28	CHST15	carbohydrate sulfotransferase 15 [Source:HGNC Symbol;Acc:HGNC:18137]	3380	0.1962677240371704	-0.07378158	No	
row_29	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	3524	0.18800196051597595	-0.08114309	No	
row_30	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	3752	0.17499147355556488	-0.0948549	No	
row_31	STAB1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]	4001	0.16158762574195862	-0.11032089	No	
row_32	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	4112	0.1561943143606186	-0.11579357	No	
row_33	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	4405	0.14163650572299957	-0.1348015	No	
row_34	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	4623	0.1308668553829193	-0.14850694	No	
row_35	MAN2B1	mannosidase alpha class 2B member 1 [Source:HGNC Symbol;Acc:HGNC:6826]	4756	0.12410864979028702	-0.15611348	No	
row_36	CCL3	C-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:10627]	4770	0.12335017323493958	-0.15503873	No	
row_37	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	4798	0.1224854439496994	-0.15500095	No	
row_38	TYMP	thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]	4843	0.12045411765575409	-0.15623848	No	
row_39	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	4877	0.11907458305358887	-0.15669504	No	
row_40	PTP4A3	protein tyrosine phosphatase 4A3 [Source:HGNC Symbol;Acc:HGNC:9636]	5256	0.10159031301736832	-0.1826431	No	
row_41	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	5320	0.09785996377468109	-0.18563955	No	
row_42	SORL1	sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185]	5423	0.09329397231340408	-0.19156012	No	
row_43	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	5599	0.08545195311307907	-0.20294257	No	
row_44	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	5644	0.08350484073162079	-0.20478652	No	
row_45	RAB29	RAB29, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9789]	5849	0.07473714649677277	-0.21846347	No	
