NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	302	1.0639474391937256	-0.013111413	No	
row_1	PTGER4	prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596]	441	0.9366899728775024	-0.0152600715	No	
row_2	BASP1	brain abundant membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957]	519	0.8826389312744141	-0.013388416	No	
row_3	POU2F2	POU class 2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9213]	632	0.8201525807380676	-0.014620995	No	
row_4	ATP6V1B2	ATPase H+ transporting V1 subunit B2 [Source:HGNC Symbol;Acc:HGNC:854]	1032	0.6531195640563965	-0.03836261	No	
row_5	MAP3K8	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]	1179	0.6144365072250366	-0.04384763	No	
row_6	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	1214	0.6069838404655457	-0.041168187	No	
row_7	CD300A	CD300a molecule [Source:HGNC Symbol;Acc:HGNC:19319]	2455	0.4001791775226593	-0.12885097	No	
row_8	PILRA	paired immunoglobin like type 2 receptor alpha [Source:HGNC Symbol;Acc:HGNC:20396]	2458	0.4000305235385895	-0.12558585	No	
row_9	SH3KBP1	SH3 domain containing kinase binding protein 1 [Source:HGNC Symbol;Acc:HGNC:13867]	2677	0.3747769892215729	-0.13840449	No	
row_10	RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	2808	0.36040154099464417	-0.14488086	No	
row_11	GRK2	G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289]	3194	0.323807030916214	-0.17040282	No	
row_12	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	3304	0.31420639157295227	-0.17573045	No	
row_13	IER5	immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]	3606	0.2882433533668518	-0.19538474	No	
row_14	NLRP3	NLR family pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400]	3612	0.28808358311653137	-0.19329487	No	
row_15	FMNL1	formin like 1 [Source:HGNC Symbol;Acc:HGNC:1212]	3797	0.2749359607696533	-0.2044673	No	
row_16	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	4087	0.25129610300064087	-0.22355515	No	
row_17	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	4448	0.22702860832214355	-0.24806596	No	
row_18	ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	4622	0.21623028814792633	-0.258931	No	
row_19	SOD2	superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]	4824	0.2025904357433319	-0.2719694	No	
row_20	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	5078	0.1871788650751114	-0.2889594	No	
row_21	GLIPR1	GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]	5094	0.18634404242038727	-0.28847197	No	
row_22	MARCHF1	membrane associated ring-CH-type finger 1 [Source:HGNC Symbol;Acc:HGNC:26077]	5231	0.17878089845180511	-0.29693824	No	
row_23	SMAP2	small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]	5272	0.17586825788021088	-0.29837677	No	
row_24	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	5378	0.169389009475708	-0.30464575	No	
row_25	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	5386	0.16874700784683228	-0.30372068	No	
row_26	METRNL	meteorin like, glial cell differentiation regulator [Source:HGNC Symbol;Acc:HGNC:27584]	5480	0.16219492256641388	-0.30916947	No	
row_27	ATP6V0B	ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861]	5542	0.15856362879276276	-0.31229833	No	
row_28	EFHD2	EF-hand domain family member D2 [Source:HGNC Symbol;Acc:HGNC:28670]	5702	0.14872080087661743	-0.3227107	No	
row_29	CYRIB	CYFIP related Rac1 interactor B [Source:HGNC Symbol;Acc:HGNC:25216]	5915	0.13455741107463837	-0.3371375	No	
row_30	RIN3	Ras and Rab interactor 3 [Source:HGNC Symbol;Acc:HGNC:18751]	5999	0.13005365431308746	-0.34212577	No	
