NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	THBD	thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]	191	1.228403925895691	1.9874908E-4	No	
row_1	TRADD	TNFRSF1A associated via death domain [Source:HGNC Symbol;Acc:HGNC:12030]	408	0.9675177335739136	-0.004431819	No	
row_2	PTGER4	prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596]	441	0.9366899728775024	0.0040172255	No	
row_3	TRPM2	transient receptor potential cation channel subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:12339]	442	0.9365666508674622	0.014801299	No	
row_4	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	652	0.8083366751670837	0.008848942	No	
row_5	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	1214	0.6069838404655457	-0.025122821	No	
row_6	FHL2	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]	1523	0.5381132364273071	-0.041415047	No	
row_7	ARHGAP29	Rho GTPase activating protein 29 [Source:HGNC Symbol;Acc:HGNC:30207]	1867	0.4799850583076477	-0.060932077	No	
row_8	LOX	lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]	2185	0.43174898624420166	-0.07910616	No	
row_9	ADAM12	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	2267	0.4220445156097412	-0.08016067	No	
row_10	RABGAP1L	RAB GTPase activating protein 1 like [Source:HGNC Symbol;Acc:HGNC:24663]	2476	0.39732158184051514	-0.090772636	No	
row_11	PLK3	polo like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154]	2906	0.35187989473342896	-0.11804394	No	
row_12	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	2968	0.34652939438819885	-0.11850769	No	
row_13	ICAM3	intercellular adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:5346]	3216	0.3224461078643799	-0.13282935	No	
row_14	PLA2G15	phospholipase A2 group XV [Source:HGNC Symbol;Acc:HGNC:17163]	3383	0.30824604630470276	-0.14140038	No	
row_15	FMNL1	formin like 1 [Source:HGNC Symbol;Acc:HGNC:1212]	3797	0.2749359607696533	-0.16838944	No	
row_16	IGFBP6	insulin like growth factor binding protein 6 [Source:HGNC Symbol;Acc:HGNC:5475]	3973	0.2606452405452728	-0.17816569	No	
row_17	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	4406	0.22988735139369965	-0.20706072	No	
row_18	ALDH3B1	aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]	4582	0.21883554756641388	-0.2173184	No	
row_19	RUNX2	RUNX family transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10472]	4775	0.20517008006572723	-0.22897466	No	
row_20	RBKS	ribokinase [Source:HGNC Symbol;Acc:HGNC:30325]	5483	0.16204620897769928	-0.27872968	No	
row_21	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	5618	0.1533965915441513	-0.28674728	No	
row_22	TGOLN2	trans-golgi network protein 2 [Source:HGNC Symbol;Acc:HGNC:15450]	5847	0.13831236958503723	-0.3018019	No	
row_23	RELB	RELB proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9956]	5893	0.1359177976846695	-0.3035225	No	
row_24	CHI3L1	chitinase 3 like 1 [Source:HGNC Symbol;Acc:HGNC:1932]	6043	0.12750519812107086	-0.31293344	No	
row_25	HEXB	hexosaminidase subunit beta [Source:HGNC Symbol;Acc:HGNC:4879]	6196	0.11915254592895508	-0.32265958	No	
row_26	SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	6219	0.11813187599182129	-0.32290566	No	
row_27	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	6456	0.10451313853263855	-0.33893356	No	
row_28	FES	FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]	7040	0.07220388203859329	-0.38066933	No	
row_29	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12457]	7649	0.03919127956032753	-0.42461058	No	
row_30	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	7937	0.02301296591758728	-0.44530064	No	
row_31	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	8273	0.004445378668606281	-0.46970916	No	
row_32	LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	8546	-0.012815604917705059	-0.4894214	No	
row_33	LRRFIP1	LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]	8564	-0.014096712693572044	-0.4905003	No	
row_34	SLC10A3	solute carrier family 10 member 3 [Source:HGNC Symbol;Acc:HGNC:22979]	8670	-0.020912043750286102	-0.497926	No	
row_35	HFE	homeostatic iron regulator [Source:HGNC Symbol;Acc:HGNC:4886]	8802	-0.029454804956912994	-0.50715166	No	
row_36	CYTH4	cytohesin 4 [Source:HGNC Symbol;Acc:HGNC:9505]	8804	-0.029477357864379883	-0.5068853	No	
row_37	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	8879	-0.03352870047092438	-0.5119023	No	
row_38	FHOD1	formin homology 2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17905]	9002	-0.04247571900486946	-0.5203209	No	
row_39	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	9051	-0.04564124718308449	-0.5233	No	
row_40	MCUB	mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]	9098	-0.04812999814748764	-0.52610445	No	
row_41	NCF4	neutrophil cytosolic factor 4 [Source:HGNC Symbol;Acc:HGNC:7662]	9100	-0.04831424355506897	-0.5256212	No	
row_42	STAT6	signal transducer and activator of transcription 6 [Source:HGNC Symbol;Acc:HGNC:11368]	9343	-0.0630950927734375	-0.54256403	No	
row_43	DAB2	DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]	9648	-0.08556608110666275	-0.56377506	No	
row_44	COLGALT1	collagen beta(1-O)galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26182]	9690	-0.08801273256540298	-0.5657552	No	
row_45	MAN2B1	mannosidase alpha class 2B member 1 [Source:HGNC Symbol;Acc:HGNC:6826]	9800	-0.09581204503774643	-0.5726105	No	
row_46	S100A13	S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]	9905	-0.10240726917982101	-0.5790248	No	
row_47	MAN1A1	mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821]	9922	-0.10354214906692505	-0.5790008	No	
row_48	ASL	argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746]	10036	-0.11206207424402237	-0.58596104	No	
row_49	MGST2	microsomal glutathione S-transferase 2 [Source:HGNC Symbol;Acc:HGNC:7063]	10047	-0.1130952313542366	-0.58538896	No	
row_50	SCPEP1	serine carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:29507]	10360	-0.1364620327949524	-0.606598	No	
row_51	FOLR2	folate receptor beta [Source:HGNC Symbol;Acc:HGNC:3793]	10412	-0.14117248356342316	-0.6086962	No	
row_52	PYGL	glycogen phosphorylase L [Source:HGNC Symbol;Acc:HGNC:9725]	10507	-0.1491575688123703	-0.61384207	No	
row_53	RBMS1	RNA binding motif single stranded interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9907]	10574	-0.1547853648662567	-0.61687875	No	
row_54	RBM47	RNA binding motif protein 47 [Source:HGNC Symbol;Acc:HGNC:30358]	10577	-0.15513113141059875	-0.6152385	No	
row_55	MGAT1	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7044]	10805	-0.17483170330524445	-0.6297996	No	
row_56	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	10890	-0.18549364805221558	-0.6337969	No	
row_57	TES	testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]	11019	-0.19843515753746033	-0.6408578	No	
row_58	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	11111	-0.20888572931289673	-0.6450969	No	
row_59	ZNF217	zinc finger protein 217 [Source:HGNC Symbol;Acc:HGNC:13009]	11120	-0.20976001024246216	-0.6432657	No	
row_60	STXBP2	syntaxin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11445]	11161	-0.21403807401657104	-0.64372176	No	
row_61	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	11422	-0.24192576110363007	-0.65991974	Yes	
row_62	AMPD3	adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]	11461	-0.24596288800239563	-0.65986216	Yes	
row_63	LY75	lymphocyte antigen 75 [Source:HGNC Symbol;Acc:HGNC:6729]	11463	-0.24607600271701813	-0.6571017	Yes	
row_64	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	11482	-0.24747635424137115	-0.6555664	Yes	
row_65	RAB32	RAB32, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9772]	11503	-0.24963778257369995	-0.6541522	Yes	
row_66	PHF11	PHD finger protein 11 [Source:HGNC Symbol;Acc:HGNC:17024]	11515	-0.2505846619606018	-0.65207005	Yes	
row_67	SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	11570	-0.25653064250946045	-0.653059	Yes	
row_68	PLBD1	phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]	11591	-0.2588850259780884	-0.6515383	Yes	
row_69	EFEMP2	EGF containing fibulin extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]	11616	-0.2631642520427704	-0.6502605	Yes	
row_70	RAB11FIP1	RAB11 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30265]	11652	-0.2668877840042114	-0.6497429	Yes	
row_71	SQOR	sulfide quinone oxidoreductase [Source:HGNC Symbol;Acc:HGNC:20390]	11742	-0.2774481773376465	-0.6530465	Yes	
row_72	ALOX5	arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]	11802	-0.2853854298591614	-0.65406823	Yes	
row_73	ITGAM	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	11865	-0.2950266897678375	-0.65519804	Yes	
row_74	PIGP	phosphatidylinositol glycan anchor biosynthesis class P [Source:HGNC Symbol;Acc:HGNC:3046]	11867	-0.2952817380428314	-0.651871	Yes	
row_75	TCIRG1	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]	11983	-0.3113669455051422	-0.65668243	Yes	
row_76	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	12046	-0.32060614228248596	-0.6575177	Yes	
row_77	WIPF1	WAS/WASL interacting protein family member 1 [Source:HGNC Symbol;Acc:HGNC:12736]	12067	-0.32391655445098877	-0.6552482	Yes	
row_78	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	12072	-0.3243391513824463	-0.6518057	Yes	
row_79	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	12082	-0.32581040263175964	-0.64871126	Yes	
row_80	DSC2	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]	12126	-0.3327931761741638	-0.64801896	Yes	
row_81	GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]	12140	-0.3339422345161438	-0.64512295	Yes	
row_82	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	12170	-0.3404146134853363	-0.6433207	Yes	
row_83	HEXA	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	12249	-0.354102224111557	-0.64493847	Yes	
row_84	DSE	dermatan sulfate epimerase [Source:HGNC Symbol;Acc:HGNC:21144]	12261	-0.35538825392723083	-0.6416495	Yes	
row_85	LAIR1	leukocyte associated immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:6477]	12275	-0.35783255100250244	-0.6384784	Yes	
row_86	POLD4	DNA polymerase delta 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:14106]	12334	-0.3691253066062927	-0.63846296	Yes	
row_87	CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	12374	-0.3763049244880676	-0.63697755	Yes	
row_88	SWAP70	switching B cell complex subunit SWAP70 [Source:HGNC Symbol;Acc:HGNC:17070]	12403	-0.3820779025554657	-0.6346225	Yes	
row_89	MSR1	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]	12415	-0.3845542371273041	-0.6309977	Yes	
row_90	LAMB1	laminin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6486]	12425	-0.3853534162044525	-0.6272177	Yes	
row_91	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	12431	-0.38654711842536926	-0.6231319	Yes	
row_92	SH2B3	SH2B adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:29605]	12493	-0.39895573258399963	-0.622992	Yes	
row_93	EHD2	EH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]	12570	-0.41123440861701965	-0.6238059	Yes	
row_94	VAMP5	vesicle associated membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:12646]	12571	-0.41150176525115967	-0.61906767	Yes	
row_95	ENG	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]	12587	-0.41571882367134094	-0.6153761	Yes	
row_96	PDPN	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	12670	-0.43306949734687805	-0.6163767	Yes	
row_97	MFSD1	major facilitator superfamily domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25874]	12717	-0.4426160454750061	-0.6146388	Yes	
row_98	SRPX2	sushi repeat containing protein X-linked 2 [Source:HGNC Symbol;Acc:HGNC:30668]	12757	-0.4509621262550354	-0.6122938	Yes	
row_99	LAPTM5	lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]	12812	-0.4631102681159973	-0.6109041	Yes	
row_100	COPZ2	COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]	12816	-0.46456634998321533	-0.60577387	Yes	
row_101	TYMP	thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]	12820	-0.46641629934310913	-0.60062236	Yes	
row_102	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	12822	-0.46672046184539795	-0.59532136	Yes	
row_103	STAB1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]	12886	-0.480353981256485	-0.5943902	Yes	
row_104	FNDC3B	fibronectin type III domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24670]	12895	-0.48271697759628296	-0.5894161	Yes	
row_105	THEMIS2	thymocyte selection associated family member 2 [Source:HGNC Symbol;Acc:HGNC:16839]	12899	-0.48341822624206543	-0.58406883	Yes	
row_106	RAB27A	RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9766]	12906	-0.48497164249420166	-0.5789227	Yes	
row_107	CLEC2B	C-type lectin domain family 2 member B [Source:HGNC Symbol;Acc:HGNC:2053]	12925	-0.4909222424030304	-0.57458425	Yes	
row_108	TLR4	toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]	12951	-0.502261221408844	-0.5706263	Yes	
row_109	SP100	SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]	12967	-0.5080452561378479	-0.56587166	Yes	
row_110	YAP1	Yes1 associated transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:16262]	12983	-0.5123732089996338	-0.56106716	Yes	
row_111	RHOG	ras homolog family member G [Source:HGNC Symbol;Acc:HGNC:672]	13043	-0.533499002456665	-0.55923206	Yes	
row_112	LHFPL2	LHFPL tetraspan subfamily member 2 [Source:HGNC Symbol;Acc:HGNC:6588]	13078	-0.5438857078552246	-0.5554519	Yes	
row_113	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	13095	-0.5502166748046875	-0.55028474	Yes	
row_114	MYO1F	myosin IF [Source:HGNC Symbol;Acc:HGNC:7600]	13102	-0.5532076954841614	-0.5443529	Yes	
row_115	CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	13104	-0.5534524917602539	-0.5380532	Yes	
row_116	SEC24D	SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]	13106	-0.5549244284629822	-0.53173655	Yes	
row_117	TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	13118	-0.5582724809646606	-0.5261115	Yes	
row_118	PLS3	plastin 3 [Source:HGNC Symbol;Acc:HGNC:9091]	13125	-0.5601170063018799	-0.5201001	Yes	
row_119	C1orf54	chromosome 1 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:26258]	13134	-0.5651248693466187	-0.51417714	Yes	
row_120	CD2AP	CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258]	13136	-0.5657588839530945	-0.5077357	Yes	
row_121	DRAM1	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]	13153	-0.5722419023513794	-0.50231487	Yes	
