NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LY6E	lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]	2293	0.5016405582427979	-0.15714973	No	
row_1	CMTR1	cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]	2443	0.4735963046550751	-0.1593031	No	
row_2	NCOA7	nuclear receptor coactivator 7 [Source:HGNC Symbol;Acc:HGNC:21081]	2790	0.4238383173942566	-0.1766545	No	
row_3	OGFR	opioid growth factor receptor [Source:HGNC Symbol;Acc:HGNC:15768]	2999	0.39595314860343933	-0.18450601	No	
row_4	USP18	ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]	4644	0.2289464920759201	-0.2995653	No	
row_5	ADAR	adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]	5031	0.19631728529930115	-0.3239754	No	
row_6	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	5200	0.18206578493118286	-0.33283398	No	
row_7	SLC25A28	solute carrier family 25 member 28 [Source:HGNC Symbol;Acc:HGNC:23472]	5376	0.16889439523220062	-0.3424409	No	
row_8	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	5738	0.14052791893482208	-0.36605716	No	
row_9	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	6022	0.11819776147603989	-0.38442394	No	
row_10	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	6417	0.08843134343624115	-0.41138572	No	
row_11	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 [Source:HGNC Symbol;Acc:HGNC:26072]	6568	0.07730648666620255	-0.42085293	No	
row_12	DHX58	DExH-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:29517]	6748	0.06142262741923332	-0.4327138	No	
row_13	TRIM25	tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]	7499	0.006608500611037016	-0.48699212	No	
row_14	MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	7546	0.0032311317045241594	-0.49026954	No	
row_15	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	7768	-0.016603583469986916	-0.50599575	No	
row_16	TRIM26	tripartite motif containing 26 [Source:HGNC Symbol;Acc:HGNC:12962]	7856	-0.023454489186406136	-0.5118775	No	
row_17	NUB1	negative regulator of ubiquitin like proteins 1 [Source:HGNC Symbol;Acc:HGNC:17623]	7862	-0.023691754788160324	-0.5118072	No	
row_18	IRF9	interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]	7908	-0.02748618647456169	-0.5145689	No	
row_19	RNF31	ring finger protein 31 [Source:HGNC Symbol;Acc:HGNC:16031]	8057	-0.03950297459959984	-0.52458185	No	
row_20	TDRD7	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]	8109	-0.04334946721792221	-0.5274888	No	
row_21	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	8511	-0.0782550722360611	-0.5551443	No	
row_22	TRAFD1	TRAF-type zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24808]	8715	-0.09552314132452011	-0.5681228	No	
row_23	RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	8986	-0.11699232459068298	-0.5855687	No	
row_24	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]	9284	-0.14315909147262573	-0.6044948	No	
row_25	IFI44	interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]	9311	-0.1457454264163971	-0.6037175	No	
row_26	CD47	CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]	9561	-0.16802825033664703	-0.61870766	No	
row_27	TRIM14	tripartite motif containing 14 [Source:HGNC Symbol;Acc:HGNC:16283]	9655	-0.17475129663944244	-0.62226	No	
row_28	GMPR	guanosine monophosphate reductase [Source:HGNC Symbol;Acc:HGNC:4376]	9737	-0.18213525414466858	-0.62480694	No	
row_29	MVB12A	multivesicular body subunit 12A [Source:HGNC Symbol;Acc:HGNC:25153]	9966	-0.20525509119033813	-0.6375937	No	
row_30	GBP4	guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]	10391	-0.25531840324401855	-0.6636819	No	
row_31	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	11014	-0.33865246176719666	-0.70260876	No	
row_32	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	11124	-0.3540915250778198	-0.7040445	No	
row_33	UBA7	ubiquitin like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:HGNC:12471]	11349	-0.38834619522094727	-0.71319556	Yes	
row_34	MOV10	Mov10 RISC complex RNA helicase [Source:HGNC Symbol;Acc:HGNC:7200]	11439	-0.4045237898826599	-0.7122591	Yes	
row_35	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	11466	-0.4092450439929962	-0.70666695	Yes	
row_36	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	11492	-0.412211537361145	-0.700948	Yes	
row_37	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	11550	-0.423379123210907	-0.69734603	Yes	
row_38	OAS1	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]	11567	-0.42699792981147766	-0.6907041	Yes	
row_39	SAMD9	sterile alpha motif domain containing 9 [Source:HGNC Symbol;Acc:HGNC:1348]	11592	-0.4303115904331207	-0.6845819	Yes	
row_40	IFIT2	interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]	11617	-0.4354611039161682	-0.6783656	Yes	
