NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KLK7	kallikrein related peptidase 7 [Source:HGNC Symbol;Acc:HGNC:6368]	3	3.038614511489868	0.024745706	No	
row_1	DDN	dendrin [Source:HGNC Symbol;Acc:HGNC:24458]	32	1.972979187965393	0.038878206	No	
row_2	FGF9	fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]	133	1.401809573173523	0.042969767	No	
row_3	GRK5	G protein-coupled receptor kinase 5 [Source:HGNC Symbol;Acc:HGNC:4544]	213	1.2306476831436157	0.04721459	No	
row_4	PHYHIP	phytanoyl-CoA 2-hydroxylase interacting protein [Source:HGNC Symbol;Acc:HGNC:16865]	375	1.0121394395828247	0.043573603	No	
row_5	LPL	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]	379	1.0093722343444824	0.051644873	No	
row_6	SEMA5A	semaphorin 5A [Source:HGNC Symbol;Acc:HGNC:10736]	420	0.9806769490242004	0.056732286	No	
row_7	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]	484	0.9324617385864258	0.05971525	No	
row_8	GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	554	0.8898932933807373	0.06190279	No	
row_9	TUBB2A	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	702	0.8040187358856201	0.057591468	No	
row_10	CDS1	CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800]	747	0.7752192616462708	0.06069353	No	
row_11	PPFIA4	PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]	781	0.7578514814376831	0.064469874	No	
row_12	PNMA2	PNMA family member 2 [Source:HGNC Symbol;Acc:HGNC:9159]	818	0.7414422631263733	0.067888565	No	
row_13	TSPYL4	TSPY like 4 [Source:HGNC Symbol;Acc:HGNC:21559]	888	0.7135089635848999	0.06862674	No	
row_14	TOMM34	translocase of outer mitochondrial membrane 34 [Source:HGNC Symbol;Acc:HGNC:15746]	949	0.6950035095214844	0.06988131	No	
row_15	HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	952	0.6943526268005371	0.07543831	No	
row_16	NPTN	neuroplastin [Source:HGNC Symbol;Acc:HGNC:17867]	971	0.6878224015235901	0.0797533	No	
row_17	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:1402]	1020	0.6649261713027954	0.081651986	No	
