NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MOBP	myelin associated oligodendrocyte basic protein [Source:HGNC Symbol;Acc:HGNC:7189]	1	2.907717227935791	0.034165766	Yes	
row_1	ANLN	anillin, actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]	3	2.7152621746063232	0.066065386	Yes	
row_2	ERMN	ermin [Source:HGNC Symbol;Acc:HGNC:29208]	9	2.6132683753967285	0.096474215	Yes	
row_3	S1PR5	sphingosine-1-phosphate receptor 5 [Source:HGNC Symbol;Acc:HGNC:14299]	14	2.5372397899627686	0.12606028	Yes	
row_4	MBP	myelin basic protein [Source:HGNC Symbol;Acc:HGNC:6925]	16	2.5290346145629883	0.15576707	Yes	
row_5	FA2H	fatty acid 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:21197]	21	2.44390869140625	0.18425415	Yes	
row_6	UGT8	UDP glycosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:12555]	22	2.4372177124023438	0.21295227	Yes	
row_7	MOG	myelin oligodendrocyte glycoprotein [Source:HGNC Symbol;Acc:HGNC:7197]	23	2.4229886531829834	0.24148284	Yes	
row_8	GJB1	gap junction protein beta 1 [Source:HGNC Symbol;Acc:HGNC:4283]	25	2.4179365634918213	0.26988146	Yes	
row_9	MAG	myelin associated glycoprotein [Source:HGNC Symbol;Acc:HGNC:6783]	26	2.393480062484741	0.29806456	Yes	
row_10	TMEM63A	transmembrane protein 63A [Source:HGNC Symbol;Acc:HGNC:29118]	48	2.1287739276885986	0.32160926	Yes	
row_11	MYRF	myelin regulatory factor [Source:HGNC Symbol;Acc:HGNC:1181]	56	2.0889010429382324	0.34569877	Yes	
row_12	GPR37	G protein-coupled receptor 37 [Source:HGNC Symbol;Acc:HGNC:4494]	69	2.0208663940429688	0.36862493	Yes	
row_13	CRYAB	crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389]	100	1.8435683250427246	0.38815928	Yes	
row_14	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	119	1.7500486373901367	0.40746182	Yes	
row_15	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	135	1.6956535577774048	0.42634127	Yes	
row_16	MAL	mal, T cell differentiation protein [Source:HGNC Symbol;Acc:HGNC:6817]	142	1.6817669868469238	0.44570926	Yes	
row_17	SOX10	SRY-box transcription factor 10 [Source:HGNC Symbol;Acc:HGNC:11190]	152	1.655248761177063	0.46454766	Yes	
row_18	TTYH2	tweety family member 2 [Source:HGNC Symbol;Acc:HGNC:13877]	172	1.6041024923324585	0.48205927	Yes	
row_19	DAAM2	dishevelled associated activator of morphogenesis 2 [Source:HGNC Symbol;Acc:HGNC:18143]	178	1.570431113243103	0.50018877	Yes	
row_20	CNTN2	contactin 2 [Source:HGNC Symbol;Acc:HGNC:2172]	185	1.5484590530395508	0.5179871	Yes	
row_21	PLEKHG3	pleckstrin homology and RhoGEF domain containing G3 [Source:HGNC Symbol;Acc:HGNC:20364]	220	1.4632052183151245	0.5327528	Yes	
row_22	SLC44A1	solute carrier family 44 member 1 [Source:HGNC Symbol;Acc:HGNC:18798]	226	1.4537509679794312	0.5495084	Yes	
row_23	GLTP	glycolipid transfer protein [Source:HGNC Symbol;Acc:HGNC:24867]	233	1.4466322660446167	0.5661077	Yes	
row_24	FRMD4B	FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]	244	1.4297733306884766	0.58221865	Yes	
row_25	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	360	1.260562777519226	0.5887296	Yes	
row_26	QKI	QKI, KH domain containing RNA binding [Source:HGNC Symbol;Acc:HGNC:21100]	364	1.2586032152175903	0.6033322	Yes	
row_27	APOD	apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]	373	1.2476577758789062	0.6174437	Yes	
row_28	CLIC4	chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]	404	1.2144449949264526	0.6295701	Yes	
row_29	OPALIN	oligodendrocytic myelin paranodal and inner loop protein [Source:HGNC Symbol;Acc:HGNC:20707]	415	1.2062321901321411	0.64304894	Yes	
row_30	NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	432	1.1888971328735352	0.65588886	Yes	
row_31	SEPTIN4	septin 4 [Source:HGNC Symbol;Acc:HGNC:9165]	448	1.1702097654342651	0.66858125	Yes	
row_32	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	478	1.144944190979004	0.67996174	Yes	
row_33	SERINC5	serine incorporator 5 [Source:HGNC Symbol;Acc:HGNC:18825]	500	1.122292160987854	0.69165516	Yes	
row_34	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	504	1.1184206008911133	0.7046071	Yes	
row_35	OLIG1	oligodendrocyte transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16983]	507	1.1148817539215088	0.7175899	Yes	
row_36	PLEKHB1	pleckstrin homology domain containing B1 [Source:HGNC Symbol;Acc:HGNC:19079]	517	1.1058772802352905	0.7299595	Yes	
row_37	ABCA2	ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]	518	1.105362057685852	0.74297506	Yes	
row_38	CERS2	ceramide synthase 2 [Source:HGNC Symbol;Acc:HGNC:14076]	519	1.1051480770111084	0.7559881	Yes	
row_39	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	567	1.0664137601852417	0.7651398	Yes	
row_40	CSRP1	cysteine and glycine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2469]	607	1.0350431203842163	0.7745017	Yes	
row_41	GATM	glycine amidinotransferase [Source:HGNC Symbol;Acc:HGNC:4175]	614	1.0305039882659912	0.7862011	Yes	
row_42	OLIG2	oligodendrocyte transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:9398]	655	0.9973415732383728	0.7950466	Yes	
row_43	PTGDS	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	833	0.895376980304718	0.7927654	Yes	
row_44	RNF13	ring finger protein 13 [Source:HGNC Symbol;Acc:HGNC:10057]	953	0.8390915393829346	0.79402375	Yes	
row_45	NRBP2	nuclear receptor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:19339]	1013	0.8164615035057068	0.7993628	Yes	
row_46	ARHGEF10	Rho guanine nucleotide exchange factor 10 [Source:HGNC Symbol;Acc:HGNC:14103]	1019	0.8144587874412537	0.8085907	Yes	
row_47	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	1129	0.7741323709487915	0.8098087	Yes	
row_48	PACS2	phosphofurin acidic cluster sorting protein 2 [Source:HGNC Symbol;Acc:HGNC:23794]	1184	0.748199462890625	0.8147062	Yes	
row_49	SLC48A1	solute carrier family 48 member 1 [Source:HGNC Symbol;Acc:HGNC:26035]	1343	0.6957550048828125	0.8114511	No	
row_50	S100A16	S100 calcium binding protein A16 [Source:HGNC Symbol;Acc:HGNC:20441]	1415	0.6761294603347778	0.8142683	No	
row_51	AATK	apoptosis associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:21]	1742	0.5880021452903748	0.7975722	No	
