NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C11orf16	chromosome 11 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:1169]	20	2.702009439468384	0.012277467	Yes	
row_1	CFAP251	cilia and flagella associated protein 251 [Source:HGNC Symbol;Acc:HGNC:28506]	135	1.426714301109314	0.011078102	Yes	
row_2	AK7	adenylate kinase 7 [Source:HGNC Symbol;Acc:HGNC:20091]	138	1.4235645532608032	0.018180555	Yes	
row_3	LRRC10B	leucine rich repeat containing 10B [Source:HGNC Symbol;Acc:HGNC:37215]	139	1.4235613346099854	0.025431525	Yes	
row_4	LRP2BP	LRP2 binding protein [Source:HGNC Symbol;Acc:HGNC:25434]	172	1.3272275924682617	0.029815283	Yes	
row_5	SPATA17	spermatogenesis associated 17 [Source:HGNC Symbol;Acc:HGNC:25184]	185	1.2898180484771729	0.035493825	Yes	
row_6	COCH	cochlin [Source:HGNC Symbol;Acc:HGNC:2180]	189	1.2813866138458252	0.041797824	Yes	
row_7	AKAP14	A-kinase anchoring protein 14 [Source:HGNC Symbol;Acc:HGNC:24061]	194	1.2789404392242432	0.04801509	Yes	
row_8	CFAP92	cilia and flagella associated protein 92 (putative) [Source:HGNC Symbol;Acc:HGNC:29231]	206	1.2607324123382568	0.053619754	Yes	
row_9	RMI1	RecQ mediated genome instability 1 [Source:HGNC Symbol;Acc:HGNC:25764]	207	1.2592118978500366	0.060033605	Yes	
row_10	RIBC2	RIB43A domain with coiled-coils 2 [Source:HGNC Symbol;Acc:HGNC:13241]	232	1.21009361743927	0.064414866	Yes	
row_11	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	257	1.18026864528656	0.06864422	Yes	
row_12	MKX	mohawk homeobox [Source:HGNC Symbol;Acc:HGNC:23729]	258	1.1778697967529297	0.074643746	Yes	
row_13	SAXO2	stabilizer of axonemal microtubules 2 [Source:HGNC Symbol;Acc:HGNC:33727]	267	1.1631956100463867	0.0799744	Yes	
row_14	RSPH4A	radial spoke head component 4A [Source:HGNC Symbol;Acc:HGNC:21558]	275	1.154166340827942	0.085333325	Yes	
row_15	NPTX2	neuronal pentraxin 2 [Source:HGNC Symbol;Acc:HGNC:7953]	279	1.1474350690841675	0.090955034	Yes	
row_16	TEKT2	tektin 2 [Source:HGNC Symbol;Acc:HGNC:11725]	301	1.1227128505706787	0.09511402	Yes	
