NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRDM13	PR/SET domain 13 [Source:HGNC Symbol;Acc:HGNC:13998]	5	1.9533390998840332	0.015213618	Yes	
row_1	SLC18A3	solute carrier family 18 member A3 [Source:HGNC Symbol;Acc:HGNC:10936]	6	1.951778531074524	0.030783165	Yes	
row_2	GRP	gastrin releasing peptide [Source:HGNC Symbol;Acc:HGNC:4605]	22	1.5458791255950928	0.042009674	Yes	
row_3	NHLH2	nescient helix-loop-helix 2 [Source:HGNC Symbol;Acc:HGNC:7818]	36	1.2875076532363892	0.05132248	Yes	
row_4	GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]	42	1.235849380493164	0.060812604	Yes	
row_5	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	44	1.2307429313659668	0.07055669	Yes	
row_6	PRMT8	protein arginine methyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:5188]	60	1.1318634748458862	0.07848056	Yes	
row_7	SLC18A2	solute carrier family 18 member A2 [Source:HGNC Symbol;Acc:HGNC:10935]	62	1.1204456090927124	0.087344795	Yes	
row_8	SYNDIG1L	synapse differentiation inducing 1 like [Source:HGNC Symbol;Acc:HGNC:32388]	64	1.099586009979248	0.09604264	Yes	
row_9	ECEL1	endothelin converting enzyme like 1 [Source:HGNC Symbol;Acc:HGNC:3147]	83	1.0244954824447632	0.10288899	Yes	
row_10	SLC32A1	solute carrier family 32 member 1 [Source:HGNC Symbol;Acc:HGNC:11018]	111	0.9664105772972107	0.1086089	Yes	
row_11	SOX1-OT	SOX1 overlapping transcript [Source:HGNC Symbol;Acc:HGNC:42733]	134	0.923621654510498	0.11435587	Yes	
row_12	CCN3	cellular communication network factor 3 [Source:HGNC Symbol;Acc:HGNC:7885]	137	0.9206600785255432	0.12155272	Yes	
row_13	DYSF	dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]	144	0.9118043184280396	0.12838423	Yes	
row_14	SLC7A10	solute carrier family 7 member 10 [Source:HGNC Symbol;Acc:HGNC:11058]	145	0.9103396534919739	0.1356461	Yes	
row_15	PTPN5	protein tyrosine phosphatase non-receptor type 5 [Source:HGNC Symbol;Acc:HGNC:9657]	164	0.8804600834846497	0.14134347	Yes	
row_16	KCNJ4	potassium inwardly rectifying channel subfamily J member 4 [Source:HGNC Symbol;Acc:HGNC:6265]	166	0.8728887438774109	0.14823292	Yes	
row_17	TMEM215	transmembrane protein 215 [Source:HGNC Symbol;Acc:HGNC:33816]	186	0.8397250175476074	0.15353166	Yes	
row_18	CACNA1I	calcium voltage-gated channel subunit alpha1 I [Source:HGNC Symbol;Acc:HGNC:1396]	191	0.8345898389816284	0.15989457	Yes	
row_19	HES5	hes family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:19764]	201	0.8252916932106018	0.16581494	Yes	
row_20	KCNH6	potassium voltage-gated channel subfamily H member 6 [Source:HGNC Symbol;Acc:HGNC:18862]	204	0.8225626945495605	0.17222925	Yes	
row_21	DRD4	dopamine receptor D4 [Source:HGNC Symbol;Acc:HGNC:3025]	211	0.816118061542511	0.17829746	Yes	
row_22	GJB6	gap junction protein beta 6 [Source:HGNC Symbol;Acc:HGNC:4288]	228	0.8006543517112732	0.18350555	Yes	
row_23	CBLN1	cerebellin 1 precursor [Source:HGNC Symbol;Acc:HGNC:1543]	240	0.7938591837882996	0.18902782	Yes	
row_24	SFRP5	secreted frizzled related protein 5 [Source:HGNC Symbol;Acc:HGNC:10779]	241	0.7934234738349915	0.19535704	Yes	
row_25	CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3 [Source:HGNC Symbol;Acc:HGNC:15460]	243	0.7902058362960815	0.20158693	Yes	
row_26	CCDC184	coiled-coil domain containing 184 [Source:HGNC Symbol;Acc:HGNC:33749]	248	0.7873744964599609	0.20757319	Yes	
row_27	KL	klotho [Source:HGNC Symbol;Acc:HGNC:6344]	253	0.7836331129074097	0.21352962	Yes	
row_28	RELN	reelin [Source:HGNC Symbol;Acc:HGNC:9957]	255	0.7824385762214661	0.21969754	Yes	
row_29	FSTL4	follistatin like 4 [Source:HGNC Symbol;Acc:HGNC:21389]	257	0.7814746499061584	0.22585776	Yes	
row_30	CARTPT	CART prepropeptide [Source:HGNC Symbol;Acc:HGNC:24323]	270	0.7660619616508484	0.23108461	Yes	
row_31	EPHA8	EPH receptor A8 [Source:HGNC Symbol;Acc:HGNC:3391]	274	0.7645888924598694	0.2369628	Yes	
row_32	KCNH1	potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]	319	0.735155463218689	0.23958549	Yes	
row_33	HTR7	5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302]	330	0.7197135090827942	0.24458995	Yes	
row_34	PRLHR	prolactin releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4464]	340	0.7128673195838928	0.2496135	Yes	
row_35	SEZ6L	seizure related 6 homolog like [Source:HGNC Symbol;Acc:HGNC:10763]	341	0.7126542925834656	0.2552984	Yes	
row_36	SLC8A2	solute carrier family 8 member A2 [Source:HGNC Symbol;Acc:HGNC:11069]	344	0.7103723883628845	0.2608178	Yes	
row_37	ATP2B3	ATPase plasma membrane Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:816]	355	0.7063332796096802	0.26571554	Yes	
row_38	GABBR2	gamma-aminobutyric acid type B receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:4507]	361	0.7043935656547546	0.27096617	Yes	
row_39	GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5 [Source:HGNC Symbol;Acc:HGNC:4079]	364	0.7010404467582703	0.2764111	Yes	
row_40	RBFOX3	RNA binding fox-1 homolog 3 [Source:HGNC Symbol;Acc:HGNC:27097]	367	0.7005862593650818	0.2818524	Yes	
row_41	CCKBR	cholecystokinin B receptor [Source:HGNC Symbol;Acc:HGNC:1571]	372	0.6979364156723022	0.2871252	Yes	
row_42	OXTR	oxytocin receptor [Source:HGNC Symbol;Acc:HGNC:8529]	374	0.6970816850662231	0.29261222	Yes	
row_43	GABRD	gamma-aminobutyric acid type A receptor subunit delta [Source:HGNC Symbol;Acc:HGNC:4084]	380	0.6939333081245422	0.29777944	Yes	
row_44	NEFH	neurofilament heavy chain [Source:HGNC Symbol;Acc:HGNC:7737]	403	0.6828809380531311	0.30160597	Yes	
row_45	HBQ1	hemoglobin subunit theta 1 [Source:HGNC Symbol;Acc:HGNC:4833]	422	0.6749494671821594	0.30566397	Yes	
row_46	NPTX2	neuronal pentraxin 2 [Source:HGNC Symbol;Acc:HGNC:7953]	429	0.6726875901222229	0.310588	Yes	
row_47	SLITRK3	SLIT and NTRK like family member 3 [Source:HGNC Symbol;Acc:HGNC:23501]	447	0.6624189019203186	0.31461972	Yes	
row_48	BEX1	brain expressed X-linked 1 [Source:HGNC Symbol;Acc:HGNC:1036]	464	0.6551892757415771	0.3186674	Yes	
row_49	CHAD	chondroadherin [Source:HGNC Symbol;Acc:HGNC:1909]	470	0.6528768539428711	0.3235071	Yes	
row_50	SSTR1	somatostatin receptor 1 [Source:HGNC Symbol;Acc:HGNC:11330]	480	0.6464728713035583	0.328001	Yes	
row_51	LAMP5	lysosomal associated membrane protein family member 5 [Source:HGNC Symbol;Acc:HGNC:16097]	485	0.6446051001548767	0.3328484	Yes	
row_52	LMO1	LIM domain only 1 [Source:HGNC Symbol;Acc:HGNC:6641]	498	0.6351311206817627	0.3370308	Yes	
