NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INA	internexin neuronal intermediate filament protein alpha [Source:HGNC Symbol;Acc:HGNC:6057]	9	1.924291729927063	0.014671473	Yes	
row_1	CELF4	CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]	10	1.8839269876480103	0.030053828	Yes	
row_2	NSG2	neuronal vesicle trafficking associated 2 [Source:HGNC Symbol;Acc:HGNC:24955]	11	1.8803128004074097	0.045406673	Yes	
row_3	STMN2	stathmin 2 [Source:HGNC Symbol;Acc:HGNC:10577]	14	1.8066381216049194	0.05992675	Yes	
row_4	ELAVL4	ELAV like RNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3315]	19	1.746219515800476	0.07372229	Yes	
row_5	UBE2QL1	ubiquitin conjugating enzyme E2 Q family like 1 [Source:HGNC Symbol;Acc:HGNC:37269]	25	1.710308313369751	0.08710901	Yes	
row_6	GAP43	growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]	27	1.7037138938903809	0.1009043	Yes	
row_7	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	31	1.6537120342254639	0.114060126	Yes	
row_8	CELF5	CUGBP Elav-like family member 5 [Source:HGNC Symbol;Acc:HGNC:14058]	32	1.648092269897461	0.12751688	Yes	
row_9	NRSN1	neurensin 1 [Source:HGNC Symbol;Acc:HGNC:17881]	38	1.6055490970611572	0.14004824	Yes	
row_10	PTPRO	protein tyrosine phosphatase receptor type O [Source:HGNC Symbol;Acc:HGNC:9678]	47	1.5682512521743774	0.15192822	Yes	
row_11	NNAT	neuronatin [Source:HGNC Symbol;Acc:HGNC:7860]	48	1.552014708518982	0.16460049	Yes	
row_12	LMTK3	lemur tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:19295]	50	1.5427643060684204	0.17708163	Yes	
row_13	MAP2	microtubule associated protein 2 [Source:HGNC Symbol;Acc:HGNC:6839]	51	1.5375947952270508	0.18963617	Yes	
row_14	NAPB	NSF attachment protein beta [Source:HGNC Symbol;Acc:HGNC:15751]	56	1.5128964185714722	0.20152661	Yes	
row_15	SNAP25	synaptosome associated protein 25 [Source:HGNC Symbol;Acc:HGNC:11132]	58	1.489609956741333	0.21357375	Yes	
row_16	PCSK2	proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]	62	1.4769176244735718	0.22528604	Yes	
row_17	NSG1	neuronal vesicle trafficking associated 1 [Source:HGNC Symbol;Acc:HGNC:18790]	69	1.4519134759902954	0.23644733	Yes	
row_18	NRXN1	neurexin 1 [Source:HGNC Symbol;Acc:HGNC:8008]	70	1.4475804567337036	0.2482669	Yes	
row_19	GDAP1L1	ganglioside induced differentiation associated protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:4213]	72	1.4456287622451782	0.25995493	Yes	
row_20	TMEM35A	transmembrane protein 35A [Source:HGNC Symbol;Acc:HGNC:25864]	80	1.386748194694519	0.27046853	Yes	
row_21	PGM2L1	phosphoglucomutase 2 like 1 [Source:HGNC Symbol;Acc:HGNC:20898]	83	1.375955581665039	0.28147206	Yes	
row_22	BASP1	brain abundant membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957]	95	1.3313311338424683	0.2910708	Yes	
row_23	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	100	1.3149242401123047	0.30134478	Yes	
row_24	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]	103	1.3106958866119385	0.31181544	Yes	
row_25	OSBPL6	oxysterol binding protein like 6 [Source:HGNC Symbol;Acc:HGNC:16388]	114	1.2535920143127441	0.32089502	Yes	
row_26	NAP1L5	nucleosome assembly protein 1 like 5 [Source:HGNC Symbol;Acc:HGNC:19968]	121	1.2453848123550415	0.33037	Yes	
row_27	GABRB3	gamma-aminobutyric acid type A receptor subunit beta3 [Source:HGNC Symbol;Acc:HGNC:4083]	124	1.2268162965774536	0.3401558	Yes	
row_28	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	139	1.1877546310424805	0.3482354	Yes	
