NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANKRD18A	ankyrin repeat domain 18A [Source:HGNC Symbol;Acc:HGNC:23643]	274	0.6368014216423035	0.047352824	Yes	
row_1	HOMER1	homer scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:17512]	294	0.6156954169273376	0.11063806	Yes	
row_2	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	326	0.5981601476669312	0.17122836	Yes	
row_3	ZC3H6	zinc finger CCCH-type containing 6 [Source:HGNC Symbol;Acc:HGNC:24762]	351	0.5831065773963928	0.23073648	Yes	
row_4	ZNF135	zinc finger protein 135 [Source:HGNC Symbol;Acc:HGNC:12919]	370	0.5721878409385681	0.28952533	Yes	
row_5	FIGNL2	fidgetin like 2 [Source:HGNC Symbol;Acc:HGNC:13287]	387	0.5650537610054016	0.34770757	Yes	
row_6	NAA16	N-alpha-acetyltransferase 16, NatA auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:26164]	863	0.42113029956817627	0.3581136	Yes	
row_7	GID4	GID complex subunit 4 homolog [Source:HGNC Symbol;Acc:HGNC:28453]	1130	0.37518468499183655	0.3785705	Yes	
row_8	LARP1B	La ribonucleoprotein 1B [Source:HGNC Symbol;Acc:HGNC:24704]	1190	0.36522164940834045	0.41271353	Yes	
row_9	PCDH7	protocadherin 7 [Source:HGNC Symbol;Acc:HGNC:8659]	1208	0.36266329884529114	0.44957706	Yes	
row_10	MYT1	myelin transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7622]	1284	0.3526160418987274	0.481258	Yes	
row_11	CNOT4	CCR4-NOT transcription complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:7880]	1333	0.3472301959991455	0.5142951	Yes	
row_12	MBNL3	muscleblind like splicing regulator 3 [Source:HGNC Symbol;Acc:HGNC:20564]	1641	0.3103938698768616	0.5250321	Yes	
row_13	DOK6	docking protein 6 [Source:HGNC Symbol;Acc:HGNC:28301]	1996	0.2760816514492035	0.528822	Yes	
row_14	USP46	ubiquitin specific peptidase 46 [Source:HGNC Symbol;Acc:HGNC:20075]	2108	0.26720473170280457	0.54897416	Yes	
row_15	CPD	carboxypeptidase D [Source:HGNC Symbol;Acc:HGNC:2301]	2183	0.26129400730133057	0.571139	Yes	
row_16	CYB5R4	cytochrome b5 reductase 4 [Source:HGNC Symbol;Acc:HGNC:20147]	3367	0.17905260622501373	0.50574315	No	
row_17	SUGP2	SURP and G-patch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18641]	3406	0.17644751071929932	0.5215627	No	
row_18	FCHSD2	FCH and double SH3 domains 2 [Source:HGNC Symbol;Acc:HGNC:29114]	3668	0.16174466907978058	0.5199679	No	
row_19	INA	internexin neuronal intermediate filament protein alpha [Source:HGNC Symbol;Acc:HGNC:6057]	3985	0.14420941472053528	0.5126179	No	
row_20	RTF1	RTF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:28996]	4418	0.11937260627746582	0.49440482	No	
row_21	MED27	mediator complex subunit 27 [Source:HGNC Symbol;Acc:HGNC:2377]	4503	0.11533569544553757	0.5005349	No	
row_22	UFM1	ubiquitin fold modifier 1 [Source:HGNC Symbol;Acc:HGNC:20597]	5199	0.08005489408969879	0.4594766	No	
row_23	LYSMD2	LysM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28571]	5705	0.057983942329883575	0.42962343	No	
row_24	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	5752	0.055449001491069794	0.4321708	No	
row_25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	6070	0.04046422243118286	0.4138582	No	
row_26	ARID1A	AT-rich interaction domain 1A [Source:HGNC Symbol;Acc:HGNC:11110]	6176	0.03484202176332474	0.41004324	No	
row_27	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	6745	0.008697516284883022	0.37053216	No	
row_28	KCNK1	potassium two pore domain channel subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:6272]	6748	0.00861872173845768	0.37129462	No	
row_29	CDH7	cadherin 7 [Source:HGNC Symbol;Acc:HGNC:1766]	6796	0.007037651725113392	0.3686885	No	
row_30	HERC3	HECT and RLD domain containing E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:4876]	6978	-0.0012365893926471472	0.35593668	No	
row_31	SLC35C1	solute carrier family 35 member C1 [Source:HGNC Symbol;Acc:HGNC:20197]	7264	-0.013804285787045956	0.33710265	No	
row_32	RBL2	RB transcriptional corepressor like 2 [Source:HGNC Symbol;Acc:HGNC:9894]	7370	-0.019020196050405502	0.33162665	No	
row_33	LRP6	LDL receptor related protein 6 [Source:HGNC Symbol;Acc:HGNC:6698]	7510	-0.026125062257051468	0.3244768	No	
row_34	PXYLP1	2-phosphoxylose phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:26303]	8051	-0.0513790100812912	0.2914393	No	
row_35	TRAK1	trafficking kinesin protein 1 [Source:HGNC Symbol;Acc:HGNC:29947]	8229	-0.060343187302351	0.28517732	No	
row_36	MAGEE2	MAGE family member E2 [Source:HGNC Symbol;Acc:HGNC:24935]	8503	-0.07435668259859085	0.27355427	No	
row_37	CARHSP1	calcium regulated heat stable protein 1 [Source:HGNC Symbol;Acc:HGNC:17150]	9100	-0.10385151207447052	0.24203998	No	
row_38	WEE1	WEE1 G2 checkpoint kinase [Source:HGNC Symbol;Acc:HGNC:12761]	9215	-0.10988576710224152	0.2454628	No	
row_39	RPS3	ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]	9270	-0.11296836286783218	0.2534794	No	
row_40	ZNF22	zinc finger protein 22 [Source:HGNC Symbol;Acc:HGNC:13012]	9775	-0.1423356980085373	0.23255287	No	
row_41	SEC22B	SEC22 homolog B, vesicle trafficking protein [Source:HGNC Symbol;Acc:HGNC:10700]	9942	-0.15314513444900513	0.23681638	No	
row_42	ATP5PB	ATP synthase peripheral stalk-membrane subunit b [Source:HGNC Symbol;Acc:HGNC:840]	10047	-0.16025350987911224	0.24623863	No	
row_43	SLC18A2	solute carrier family 18 member A2 [Source:HGNC Symbol;Acc:HGNC:10935]	10369	-0.1812213510274887	0.24241841	No	
row_44	NPY2R	neuropeptide Y receptor Y2 [Source:HGNC Symbol;Acc:HGNC:7957]	10817	-0.21610336005687714	0.23329288	No	
