NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLITRK4	SLIT and NTRK like family member 4 [Source:HGNC Symbol;Acc:HGNC:23502]	3	2.2870872020721436	0.010599317	Yes	
row_1	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	4	2.24422287940979	0.021808933	Yes	
row_2	RAB9B	RAB9B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14090]	5	2.221646547317505	0.032905784	Yes	
row_3	CREG2	cellular repressor of E1A stimulated genes 2 [Source:HGNC Symbol;Acc:HGNC:14272]	7	2.1329853534698486	0.043284982	Yes	
row_4	PDE1A	phosphodiesterase 1A [Source:HGNC Symbol;Acc:HGNC:8774]	10	2.106813669204712	0.053258654	Yes	
row_5	CDH8	cadherin 8 [Source:HGNC Symbol;Acc:HGNC:1767]	23	1.8733934164047241	0.059318416	Yes	
row_6	DIRAS2	DIRAS family GTPase 2 [Source:HGNC Symbol;Acc:HGNC:19323]	24	1.8722827434539795	0.068670236	Yes	
row_7	LRRC7	leucine rich repeat containing 7 [Source:HGNC Symbol;Acc:HGNC:18531]	27	1.8228075504302979	0.077225335	Yes	
row_8	ERC2	ELKS/RAB6-interacting/CAST family member 2 [Source:HGNC Symbol;Acc:HGNC:31922]	28	1.8007174730300903	0.0862197	Yes	
row_9	SSTR2	somatostatin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11331]	36	1.7555928230285645	0.09306506	Yes	
row_10	VSNL1	visinin like 1 [Source:HGNC Symbol;Acc:HGNC:12722]	38	1.7473684549331665	0.101518154	Yes	
row_11	MYT1L	myelin transcription factor 1 like [Source:HGNC Symbol;Acc:HGNC:7623]	39	1.7465366125106812	0.11024188	Yes	
row_12	DNM3	dynamin 3 [Source:HGNC Symbol;Acc:HGNC:29125]	47	1.7166306972503662	0.116892636	Yes	
row_13	CELF5	CUGBP Elav-like family member 5 [Source:HGNC Symbol;Acc:HGNC:14058]	53	1.6923635005950928	0.12397178	Yes	
row_14	DOK6	docking protein 6 [Source:HGNC Symbol;Acc:HGNC:28301]	54	1.6874709129333496	0.1324005	Yes	
row_15	ANK3	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]	63	1.65981924533844	0.13849267	Yes	
row_16	PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	65	1.6489622592926025	0.14645424	Yes	
row_17	DLK1	delta like non-canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2907]	68	1.628341555595398	0.15403801	Yes	
row_18	SYNPR	synaptoporin [Source:HGNC Symbol;Acc:HGNC:16507]	70	1.6259101629257202	0.16188443	Yes	
row_19	CSRNP3	cysteine and serine rich nuclear protein 3 [Source:HGNC Symbol;Acc:HGNC:30729]	79	1.5865312814712524	0.16761054	Yes	
row_20	SYT13	synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]	83	1.5734691619873047	0.17464542	Yes	
row_21	SNTG1	syntrophin gamma 1 [Source:HGNC Symbol;Acc:HGNC:13740]	86	1.5556577444076538	0.18186615	Yes	
row_22	SLITRK1	SLIT and NTRK like family member 1 [Source:HGNC Symbol;Acc:HGNC:20297]	88	1.5532402992248535	0.18934959	Yes	
row_23	ATCAY	ATCAY kinesin light chain interacting caytaxin [Source:HGNC Symbol;Acc:HGNC:779]	91	1.549268364906311	0.19653839	Yes	
row_24	AK5	adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365]	92	1.5346978902816772	0.20420402	Yes	
row_25	HOOK1	hook microtubule tethering protein 1 [Source:HGNC Symbol;Acc:HGNC:19884]	93	1.5328350067138672	0.21186034	Yes	
row_26	CDKN2D	cyclin dependent kinase inhibitor 2D [Source:HGNC Symbol;Acc:HGNC:1790]	107	1.4735515117645264	0.21564814	Yes	
row_27	GRM5	glutamate metabotropic receptor 5 [Source:HGNC Symbol;Acc:HGNC:4597]	110	1.469666600227356	0.22243935	Yes	
row_28	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	114	1.4613142013549805	0.22891402	Yes	
row_29	ELAVL2	ELAV like RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3313]	119	1.44237220287323	0.2350193	Yes	
row_30	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	129	1.425369143486023	0.23966563	Yes	
row_31	ST8SIA3	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:14269]	132	1.4221614599227905	0.24621955	Yes	
row_32	TRIM46	tripartite motif containing 46 [Source:HGNC Symbol;Acc:HGNC:19019]	135	1.417180061340332	0.25274858	Yes	
row_33	SYN2	synapsin II [Source:HGNC Symbol;Acc:HGNC:11495]	137	1.410024881362915	0.2595167	Yes	
row_34	SLC8A2	solute carrier family 8 member A2 [Source:HGNC Symbol;Acc:HGNC:11069]	143	1.3908168077468872	0.26508963	Yes	
row_35	VGF	VGF nerve growth factor inducible [Source:HGNC Symbol;Acc:HGNC:12684]	144	1.3858160972595215	0.2720116	Yes	
row_36	NAPB	NSF attachment protein beta [Source:HGNC Symbol;Acc:HGNC:15751]	145	1.371699333190918	0.2788631	Yes	
row_37	BEX5	brain expressed X-linked 5 [Source:HGNC Symbol;Acc:HGNC:27990]	146	1.3697524070739746	0.28570482	Yes	
row_38	RIMS1	regulating synaptic membrane exocytosis 1 [Source:HGNC Symbol;Acc:HGNC:17282]	147	1.3682361841201782	0.292539	Yes	
row_39	ZCCHC12	zinc finger CCHC-type containing 12 [Source:HGNC Symbol;Acc:HGNC:27273]	149	1.363173007965088	0.2990731	Yes	
row_40	CELF4	CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]	151	1.350477695465088	0.30554375	Yes	
row_41	SCN2A	sodium voltage-gated channel alpha subunit 2 [Source:HGNC Symbol;Acc:HGNC:10588]	158	1.3406435251235962	0.3105913	Yes	
row_42	GAP43	growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]	162	1.331846833229065	0.3164193	Yes	
row_43	SEZ6L	seizure related 6 homolog like [Source:HGNC Symbol;Acc:HGNC:10763]	168	1.3140043020248413	0.3216086	Yes	
row_44	MAP2	microtubule associated protein 2 [Source:HGNC Symbol;Acc:HGNC:6839]	174	1.29563570022583	0.32670614	Yes	
row_45	SLC6A15	solute carrier family 6 member 15 [Source:HGNC Symbol;Acc:HGNC:13621]	175	1.2946979999542236	0.33317298	Yes	
row_46	GABRB1	gamma-aminobutyric acid type A receptor subunit beta1 [Source:HGNC Symbol;Acc:HGNC:4081]	180	1.2800425291061401	0.33846745	Yes	
row_47	RUNDC3A	RUN domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16984]	182	1.2701094150543213	0.3445367	Yes	
row_48	RASGRF2	Ras protein specific guanine nucleotide releasing factor 2 [Source:HGNC Symbol;Acc:HGNC:9876]	184	1.2649919986724854	0.35058036	Yes	
row_49	RUNDC3B	RUN domain containing 3B [Source:HGNC Symbol;Acc:HGNC:30286]	185	1.2644668817520142	0.35689622	Yes	
row_50	NSG2	neuronal vesicle trafficking associated 2 [Source:HGNC Symbol;Acc:HGNC:24955]	186	1.2553845643997192	0.36316672	Yes	
row_51	UBE2QL1	ubiquitin conjugating enzyme E2 Q family like 1 [Source:HGNC Symbol;Acc:HGNC:37269]	187	1.2524352073669434	0.36942247	Yes	
row_52	ELAVL4	ELAV like RNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3315]	197	1.2381188869476318	0.3731335	Yes	
row_53	GRIA2	glutamate ionotropic receptor AMPA type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4572]	199	1.2312365770339966	0.3790086	Yes	
row_54	SV2B	synaptic vesicle glycoprotein 2B [Source:HGNC Symbol;Acc:HGNC:16874]	205	1.2191001176834106	0.38372383	Yes	
row_55	CPEB3	cytoplasmic polyadenylation element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:21746]	207	1.2188048362731934	0.3895368	Yes	
row_56	RAB3C	RAB3C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30269]	208	1.2178192138671875	0.39561966	Yes	
row_57	NOL4	nucleolar protein 4 [Source:HGNC Symbol;Acc:HGNC:7870]	214	1.207298994064331	0.40027598	Yes	
row_58	PTPN5	protein tyrosine phosphatase non-receptor type 5 [Source:HGNC Symbol;Acc:HGNC:9657]	221	1.1910456418991089	0.4045763	Yes	
row_59	PGM2L1	phosphoglucomutase 2 like 1 [Source:HGNC Symbol;Acc:HGNC:20898]	222	1.1875656843185425	0.41050804	Yes	
row_60	CNR1	cannabinoid receptor 1 [Source:HGNC Symbol;Acc:HGNC:2159]	224	1.1861997842788696	0.41615817	Yes	
row_61	CHD5	chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]	225	1.1853982210159302	0.4220791	Yes	
