NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS26	ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:10414]	1640	0.11898837238550186	-0.49027327	No	
row_1	RPL36AL	ribosomal protein L36a like [Source:HGNC Symbol;Acc:HGNC:10346]	2083	-0.1116086021065712	-0.6201316	No	
row_2	FAU	FAU ubiquitin like and ribosomal protein S30 fusion [Source:HGNC Symbol;Acc:HGNC:3597]	2304	-0.24172236025333405	-0.6794391	No	
row_3	RPL26	ribosomal protein L26 [Source:HGNC Symbol;Acc:HGNC:10327]	2366	-0.2785036563873291	-0.68983126	Yes	
row_4	RPL6	ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]	2373	-0.2844981849193573	-0.6834956	Yes	
row_5	RPL24	ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:10325]	2390	-0.2937370538711548	-0.6799058	Yes	
row_6	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]	2410	-0.3023902475833893	-0.6769713	Yes	
row_7	RPL37A	ribosomal protein L37a [Source:HGNC Symbol;Acc:HGNC:10348]	2421	-0.30839115381240845	-0.671156	Yes	
row_8	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]	2441	-0.3215762674808502	-0.66767246	Yes	
row_9	RPL35	ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:10344]	2443	-0.32213085889816284	-0.6587547	Yes	
row_10	RPL9	ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:10369]	2450	-0.3278517425060272	-0.6511783	Yes	
row_11	RPL3	ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332]	2452	-0.32850056886672974	-0.6420782	Yes	
row_12	RPS27A	ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417]	2468	-0.3363901674747467	-0.6369667	Yes	
row_13	RPL21	ribosomal protein L21 [Source:HGNC Symbol;Acc:HGNC:10313]	2469	-0.3380476236343384	-0.6272924	Yes	
row_14	RPL27	ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:10328]	2478	-0.34138309955596924	-0.6199308	Yes	
row_15	RPL15	ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:10306]	2480	-0.34273406863212585	-0.6104234	Yes	
row_16	RPS10	ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383]	2481	-0.3427927494049072	-0.6006133	Yes	
row_17	RPS16	ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:10396]	2483	-0.34312403202056885	-0.59109473	Yes	
row_18	RPL22	ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]	2504	-0.351078063249588	-0.58706796	Yes	
row_19	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]	2509	-0.35291269421577454	-0.5781723	Yes	
row_20	RPL5	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]	2515	-0.35678741335868835	-0.5694668	Yes	
row_21	RPL34	ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:10340]	2529	-0.36660319566726685	-0.5628886	Yes	
row_22	RPL35A	ribosomal protein L35a [Source:HGNC Symbol;Acc:HGNC:10345]	2549	-0.3815538287162781	-0.5576887	Yes	
row_23	RPL18	ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]	2550	-0.3823206424713135	-0.5467474	Yes	
row_24	RPS3A	ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]	2567	-0.39377444982528687	-0.54029465	Yes	
row_25	RPL23	ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10316]	2574	-0.39707598090171814	-0.53073716	Yes	
row_26	RPL32	ribosomal protein L32 [Source:HGNC Symbol;Acc:HGNC:10336]	2584	-0.4049243628978729	-0.52185816	Yes	
row_27	RPL31	ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]	2610	-0.4236209988594055	-0.5172605	Yes	
row_28	RPL7A	ribosomal protein L7a [Source:HGNC Symbol;Acc:HGNC:10364]	2644	-0.44617214798927307	-0.51442564	Yes	
row_29	RPS29	ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419]	2649	-0.4506538212299347	-0.5027328	Yes	
row_30	RPL8	ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]	2651	-0.4526130259037018	-0.4900809	Yes	
row_31	RPL41	ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:10354]	2660	-0.46345254778862	-0.4792259	Yes	
row_32	RPS25	ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:10413]	2672	-0.4752364158630371	-0.46893674	Yes	
