NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IMPACT	impact RWD domain protein [Source:HGNC Symbol;Acc:HGNC:20387]	1029	0.44909176230430603	-0.2988462	No	
row_1	RPS26	ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:10414]	1640	0.11898837238550186	-0.47976443	No	
row_2	EIF2S2	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]	1898	-0.029753202572464943	-0.5565077	No	
row_3	RPL36AL	ribosomal protein L36a like [Source:HGNC Symbol;Acc:HGNC:10346]	2083	-0.1116086021065712	-0.60914636	No	
row_4	FAU	FAU ubiquitin like and ribosomal protein S30 fusion [Source:HGNC Symbol;Acc:HGNC:3597]	2304	-0.24172236025333405	-0.66931903	No	
row_5	RPL26	ribosomal protein L26 [Source:HGNC Symbol;Acc:HGNC:10327]	2366	-0.2785036563873291	-0.6806032	Yes	
row_6	RPL6	ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]	2373	-0.2844981849193573	-0.675148	Yes	
row_7	RPL24	ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:10325]	2390	-0.2937370538711548	-0.6724726	Yes	
row_8	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]	2410	-0.3023902475833893	-0.67048097	Yes	
row_9	RPL37A	ribosomal protein L37a [Source:HGNC Symbol;Acc:HGNC:10348]	2421	-0.30839115381240845	-0.66562194	Yes	
row_10	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]	2441	-0.3215762674808502	-0.66314036	Yes	
row_11	RPL35	ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:10344]	2443	-0.32213085889816284	-0.6552164	Yes	
row_12	RPL9	ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:10369]	2450	-0.3278517425060272	-0.6486542	Yes	
row_13	RPL3	ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332]	2452	-0.32850056886672974	-0.6405676	Yes	
row_14	RPS27A	ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417]	2468	-0.3363901674747467	-0.6365015	Yes	
row_15	RPL21	ribosomal protein L21 [Source:HGNC Symbol;Acc:HGNC:10313]	2469	-0.3380476236343384	-0.62786955	Yes	
row_16	RPL27	ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:10328]	2478	-0.34138309955596924	-0.621565	Yes	
row_17	RPL15	ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:10306]	2480	-0.34273406863212585	-0.6131149	Yes	
row_18	RPS10	ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383]	2481	-0.3427927494049072	-0.6043618	Yes	
row_19	RPS16	ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:10396]	2483	-0.34312403202056885	-0.5959018	Yes	
row_20	RPL22	ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]	2504	-0.351078063249588	-0.59296846	Yes	
row_21	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]	2509	-0.35291269421577454	-0.58516324	Yes	
row_22	RPL5	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]	2515	-0.35678741335868835	-0.5775606	Yes	
row_23	RPL34	ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:10340]	2529	-0.36660319566726685	-0.57211983	Yes	
row_24	RPL35A	ribosomal protein L35a [Source:HGNC Symbol;Acc:HGNC:10345]	2549	-0.3815538287162781	-0.5681068	Yes	
row_25	RPL18	ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]	2550	-0.3823206424713135	-0.5583443	Yes	
row_26	RPS3A	ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]	2567	-0.39377444982528687	-0.5531145	Yes	
row_27	RPL23	ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10316]	2574	-0.39707598090171814	-0.54478467	Yes	
row_28	RPL32	ribosomal protein L32 [Source:HGNC Symbol;Acc:HGNC:10336]	2584	-0.4049243628978729	-0.53715914	Yes	
row_29	RPS14	ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387]	2596	-0.41398048400878906	-0.5299055	Yes	
row_30	RPL31	ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]	2610	-0.4236209988594055	-0.5230089	Yes	
row_31	CEBPG	CCAAT enhancer binding protein gamma [Source:HGNC Symbol;Acc:HGNC:1837]	2619	-0.43172475695610046	-0.51439744	Yes	
row_32	RPL7A	ribosomal protein L7a [Source:HGNC Symbol;Acc:HGNC:10364]	2644	-0.44617214798927307	-0.51024216	Yes	
row_33	RPS29	ribosomal protein S29 [Source:HGNC Symbol;Acc:HGNC:10419]	2649	-0.4506538212299347	-0.49994114	Yes	
row_34	RPL8	ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]	2651	-0.4526130259037018	-0.48868534	Yes	
row_35	RPL41	ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:10354]	2660	-0.46345254778862	-0.47926375	Yes	
row_36	RPS25	ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:10413]	2672	-0.4752364158630371	-0.47044596	Yes	
row_37	RPL17	ribosomal protein L17 [Source:HGNC Symbol;Acc:HGNC:10307]	2677	-0.4766983389854431	-0.45947987	Yes	
row_38	RPS7	ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:10440]	2680	-0.4793540835380554	-0.44784284	Yes	
row_39	RPS9	ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]	2681	-0.47976580262184143	-0.43559214	Yes	
row_40	RPSA	ribosomal protein SA [Source:HGNC Symbol;Acc:HGNC:6502]	2686	-0.4851509630680084	-0.42441022	Yes	
row_41	RPS15	ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:10388]	2687	-0.48533838987350464	-0.41201723	Yes	
row_42	RPS5	ribosomal protein S5 [Source:HGNC Symbol;Acc:HGNC:10426]	2688	-0.4853512644767761	-0.39962393	Yes	
row_43	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	2695	-0.4890613555908203	-0.38894528	Yes	
row_44	RPS3	ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]	2700	-0.4922257959842682	-0.3775827	Yes	
row_45	RPS12	ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10385]	2701	-0.4925048053264618	-0.36500672	Yes	
row_46	RPL29	ribosomal protein L29 [Source:HGNC Symbol;Acc:HGNC:10331]	2706	-0.49759769439697266	-0.35350698	Yes	
row_47	RPL37	ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:10347]	2709	-0.49881625175476074	-0.34137297	Yes	
row_48	RPL13	ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:10303]	2721	-0.5086735486984253	-0.3317014	Yes	
row_49	RPS28	ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]	2726	-0.5112236738204956	-0.3198537	Yes	
row_50	RPL27A	ribosomal protein L27a [Source:HGNC Symbol;Acc:HGNC:10329]	2730	-0.5161808729171753	-0.30757788	Yes	
row_51	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]	2735	-0.5220067501068115	-0.29545483	Yes	
row_52	RPLP2	ribosomal protein lateral stalk subunit P2 [Source:HGNC Symbol;Acc:HGNC:10377]	2738	-0.5258261561393738	-0.28263116	Yes	
row_53	RPL19	ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:10312]	2765	-0.5507133603096008	-0.2764096	Yes	
row_54	RPS13	ribosomal protein S13 [Source:HGNC Symbol;Acc:HGNC:10386]	2778	-0.5627971887588501	-0.26565754	Yes	
row_55	RPL18A	ribosomal protein L18a [Source:HGNC Symbol;Acc:HGNC:10311]	2782	-0.5657589435577393	-0.25211576	Yes	
row_56	RPL7	ribosomal protein L7 [Source:HGNC Symbol;Acc:HGNC:10363]	2783	-0.5673758387565613	-0.23762795	Yes	
row_57	RPL4	ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:10353]	2796	-0.5763012170791626	-0.22653109	Yes	
row_58	RPS19	ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]	2823	-0.5967530608177185	-0.21913393	Yes	
row_59	RPS11	ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:10384]	2825	-0.5982604026794434	-0.20415908	Yes	
row_60	RPL10A	ribosomal protein L10a [Source:HGNC Symbol;Acc:HGNC:10299]	2826	-0.6003589034080505	-0.18882908	Yes	
row_61	RPL30	ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:10333]	2844	-0.6120026111602783	-0.17832841	Yes	
row_62	RPS6	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	2849	-0.6171131134033203	-0.16377687	Yes	
row_63	RPL13A	ribosomal protein L13a [Source:HGNC Symbol;Acc:HGNC:10304]	2865	-0.6300472617149353	-0.1522123	Yes	
row_64	RPL28	ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:10330]	2878	-0.6464945673942566	-0.13932306	Yes	
row_65	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]	2881	-0.647707998752594	-0.12338715	Yes	
row_66	RPL23A	ribosomal protein L23a [Source:HGNC Symbol;Acc:HGNC:10317]	2882	-0.6494158506393433	-0.10680449	Yes	
row_67	RPS18	ribosomal protein S18 [Source:HGNC Symbol;Acc:HGNC:10401]	2901	-0.6686555743217468	-0.09515878	Yes	
row_68	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	2922	-0.6944308876991272	-0.083458036	Yes	
row_69	RPL12	ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10302]	2937	-0.7158610224723816	-0.069400676	Yes	
row_70	RPS27	ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:10416]	2949	-0.7246202826499939	-0.05421494	Yes	
row_71	RPS15A	ribosomal protein S15a [Source:HGNC Symbol;Acc:HGNC:10389]	2954	-0.728058397769928	-0.03683044	Yes	
row_72	RPS2	ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	2988	-0.7741517424583435	-0.027014432	Yes	
row_73	RPLP1	ribosomal protein lateral stalk subunit P1 [Source:HGNC Symbol;Acc:HGNC:10372]	2992	-0.7780458331108093	-0.008051948	Yes	
row_74	RPL10	ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:10298]	3078	-0.9002389907836914	-0.010697883	Yes	
row_75	RPLP0	ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]	3097	-0.9292829036712646	0.007602878	Yes	
row_76	RPS4X	ribosomal protein S4 X-linked [Source:HGNC Symbol;Acc:HGNC:10424]	3115	-0.9738656282424927	0.027343614	Yes	
row_77	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	3362	-2.200571060180664	0.009348834	Yes	
