NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNA1C	calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390]	10	1.2689683437347412	0.052018348	Yes	
row_1	CACNG2	calcium voltage-gated channel auxiliary subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:1406]	23	1.1022876501083374	0.09686309	Yes	
row_2	GRM5	glutamate metabotropic receptor 5 [Source:HGNC Symbol;Acc:HGNC:4597]	71	0.9016735553741455	0.12972027	Yes	
row_3	ADGRB3	adhesion G protein-coupled receptor B3 [Source:HGNC Symbol;Acc:HGNC:945]	97	0.8361368179321289	0.1621014	Yes	
row_4	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:13628]	108	0.824087381362915	0.19552219	Yes	
row_5	EFNB3	ephrin B3 [Source:HGNC Symbol;Acc:HGNC:3228]	153	0.7693213224411011	0.22315526	Yes	
row_6	ABHD17C	abhydrolase domain containing 17C, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:26925]	189	0.7357357740402222	0.25031036	Yes	
row_7	ADCY1	adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]	201	0.7210696935653687	0.27932176	Yes	
row_8	PTPRO	protein tyrosine phosphatase receptor type O [Source:HGNC Symbol;Acc:HGNC:9678]	202	0.7204665541648865	0.30943975	Yes	
row_9	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B [Source:HGNC Symbol;Acc:HGNC:4586]	207	0.7161414623260498	0.3389654	Yes	
row_10	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	225	0.7054007649421692	0.36670443	Yes	
row_11	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A [Source:HGNC Symbol;Acc:HGNC:4585]	259	0.6738579273223877	0.3914786	Yes	
row_12	GRID1	glutamate ionotropic receptor delta type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4575]	320	0.641251802444458	0.41211167	Yes	
row_13	CNKSR2	connector enhancer of kinase suppressor of Ras 2 [Source:HGNC Symbol;Acc:HGNC:19701]	332	0.6342017650604248	0.4374917	Yes	
row_14	SHISA9	shisa family member 9 [Source:HGNC Symbol;Acc:HGNC:37231]	496	0.5663887858390808	0.44439742	Yes	
row_15	GRIK2	glutamate ionotropic receptor kainate type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4580]	547	0.547175407409668	0.4621267	Yes	
row_16	PLPPR4	phospholipid phosphatase related 4 [Source:HGNC Symbol;Acc:HGNC:23496]	646	0.5203643441200256	0.47379637	Yes	
row_17	AKAP9	A-kinase anchoring protein 9 [Source:HGNC Symbol;Acc:HGNC:379]	739	0.4939855933189392	0.48498067	Yes	
row_18	GRIA4	glutamate ionotropic receptor AMPA type subunit 4 [Source:HGNC Symbol;Acc:HGNC:4574]	936	0.4500937759876251	0.48362947	Yes	
row_19	GRIA2	glutamate ionotropic receptor AMPA type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4572]	1136	0.4093675911426544	0.4802671	Yes	
row_20	ATP2B2	ATPase plasma membrane Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:815]	1190	0.399516224861145	0.491515	Yes	
row_21	GRIK1	glutamate ionotropic receptor kainate type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4579]	1266	0.38767310976982117	0.50000423	Yes	
row_22	PRRT2	proline rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30500]	1293	0.38157063722610474	0.51328003	Yes	
row_23	PRR7	proline rich 7, synaptic [Source:HGNC Symbol;Acc:HGNC:28130]	1315	0.3775252103805542	0.5269012	Yes	
row_24	GRM1	glutamate metabotropic receptor 1 [Source:HGNC Symbol;Acc:HGNC:4593]	1440	0.3580823242664337	0.52911174	Yes	
row_25	GRIK5	glutamate ionotropic receptor kainate type subunit 5 [Source:HGNC Symbol;Acc:HGNC:4583]	1470	0.3527294993400574	0.5408732	Yes	
row_26	NLGN4X	neuroligin 4 X-linked [Source:HGNC Symbol;Acc:HGNC:14287]	1540	0.3425593674182892	0.5480939	Yes	
row_27	GRIA1	glutamate ionotropic receptor AMPA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4571]	1546	0.3420332968235016	0.5618776	Yes	
row_28	LRRC4B	leucine rich repeat containing 4B [Source:HGNC Symbol;Acc:HGNC:25042]	1574	0.3371478021144867	0.5731935	Yes	
row_29	DLG2	discs large MAGUK scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:2901]	1646	0.3281746804714203	0.57960707	Yes	
row_30	LIN7B	lin-7 homolog B, crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:17788]	1688	0.3221116364002228	0.5888539	Yes	
row_31	SLITRK1	SLIT and NTRK like family member 1 [Source:HGNC Symbol;Acc:HGNC:20297]	1773	0.31222060322761536	0.5932629	Yes	
row_32	CLSTN3	calsyntenin 3 [Source:HGNC Symbol;Acc:HGNC:18371]	1804	0.30856895446777344	0.60307544	Yes	
row_33	EPHA4	EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]	1900	0.2972516417503357	0.6057269	Yes	
row_34	RGS9	regulator of G protein signaling 9 [Source:HGNC Symbol;Acc:HGNC:10004]	1947	0.2921169400215149	0.61320543	Yes	
row_35	LRRTM3	leucine rich repeat transmembrane neuronal 3 [Source:HGNC Symbol;Acc:HGNC:19410]	2155	0.2696596086025238	0.60317963	Yes	
row_36	DLG3	discs large MAGUK scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:2902]	2212	0.2635611295700073	0.6084355	Yes	
row_37	CNIH2	cornichon family AMPA receptor auxiliary protein 2 [Source:HGNC Symbol;Acc:HGNC:28744]	2225	0.26207947731018066	0.6181566	Yes	
row_38	LRFN3	leucine rich repeat and fibronectin type III domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28370]	2669	0.2172001451253891	0.5816555	No	
row_39	NPTN	neuroplastin [Source:HGNC Symbol;Acc:HGNC:17867]	2798	0.2063702493906021	0.57711244	No	
row_40	ABHD17B	abhydrolase domain containing 17B, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:24278]	2805	0.2053339034318924	0.5850788	No	
row_41	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:1407]	2955	0.18823130428791046	0.5776167	No	
row_42	NRCAM	neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]	3053	0.1800824999809265	0.5751643	No	
row_43	LRFN5	leucine rich repeat and fibronectin type III domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20360]	3068	0.17892906069755554	0.5812037	No	
row_44	SLC30A1	solute carrier family 30 member 1 [Source:HGNC Symbol;Acc:HGNC:11012]	3075	0.17813222110271454	0.58803284	No	
row_45	LRRC4C	leucine rich repeat containing 4C [Source:HGNC Symbol;Acc:HGNC:29317]	3368	0.1525835543870926	0.5643671	No	
row_46	GRIK4	glutamate ionotropic receptor kainate type subunit 4 [Source:HGNC Symbol;Acc:HGNC:4582]	3495	0.14161908626556396	0.55732304	No	
row_47	LRRTM2	leucine rich repeat transmembrane neuronal 2 [Source:HGNC Symbol;Acc:HGNC:19409]	3516	0.13920532166957855	0.56108445	No	
row_48	DCC	DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]	3704	0.123463474214077	0.547005	No	
row_49	PRRT1	proline rich transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:13943]	3726	0.12200877815485	0.54994464	No	
row_50	GRIA3	glutamate ionotropic receptor AMPA type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4573]	3901	0.10737253725528717	0.53653014	No	
row_51	LRFN2	leucine rich repeat and fibronectin type III domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21226]	3910	0.106408029794693	0.54015523	No	
row_52	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7 [Source:HGNC Symbol;Acc:HGNC:13626]	3946	0.10298154503107071	0.540859	No	
row_53	STX1A	syntaxin 1A [Source:HGNC Symbol;Acc:HGNC:11433]	4012	0.09712300449609756	0.53823113	No	
row_54	SIGMAR1	sigma non-opioid intracellular receptor 1 [Source:HGNC Symbol;Acc:HGNC:8157]	4281	0.07590217143297195	0.5138293	No	
row_55	SEMA4B	semaphorin 4B [Source:HGNC Symbol;Acc:HGNC:10730]	4458	0.06406068801879883	0.4983984	No	
row_56	NETO2	neuropilin and tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:14644]	4917	0.027754375711083412	0.45243442	No	
