NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNIP1	TNFAIP3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16903]	1088	0.4178296625614166	-0.10266512	No	
row_1	SLC2A6	solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011]	1174	0.40188926458358765	-0.102229245	No	
row_2	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	1679	0.3231162130832672	-0.14682007	No	
row_3	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	1696	0.3211536705493927	-0.14111543	No	
row_4	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	1718	0.3187274932861328	-0.13598213	No	
row_5	PLK2	polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]	1972	0.28949880599975586	-0.15545055	No	
row_6	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	2342	0.2506712079048157	-0.18777439	No	
row_7	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	3047	0.18055066466331482	-0.25626162	No	
row_8	NFAT5	nuclear factor of activated T cells 5 [Source:HGNC Symbol;Acc:HGNC:7774]	3138	0.1726428121328354	-0.2615918	No	
row_9	IRS2	insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]	3163	0.17081347107887268	-0.26015553	No	
row_10	MARCKS	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	3240	0.1648610532283783	-0.26421973	No	
row_11	SNN	stannin [Source:HGNC Symbol;Acc:HGNC:11149]	3311	0.15795165300369263	-0.26782325	No	
row_12	TUBB2A	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	3420	0.14872238039970398	-0.27555808	No	
row_13	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4 [Source:HGNC Symbol;Acc:HGNC:14886]	3441	0.14638298749923706	-0.2742687	No	
row_14	IER5	immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]	3473	0.143802210688591	-0.27417314	No	
row_15	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	3525	0.1383216828107834	-0.27626625	No	
row_16	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	3816	0.11472839117050171	-0.30355412	No	
row_17	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	3829	0.11272263526916504	-0.3022104	No	
row_18	HES1	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	3930	0.104022316634655	-0.3101437	No	
row_19	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	3950	0.10265804082155228	-0.30975258	No	
row_20	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	4087	0.09054815024137497	-0.3217081	No	
row_21	PER1	period circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:8845]	4311	0.07424481958150864	-0.34301168	No	
row_22	CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	4389	0.06830618530511856	-0.34939036	No	
row_23	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	4585	0.05351388454437256	-0.3682803	No	
row_24	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	4642	0.048828914761543274	-0.37293878	No	
row_25	BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	4688	0.04523325338959694	-0.37654486	No	
row_26	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	5047	0.01829867996275425	-0.41305587	No	
row_27	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	5226	0.004389584995806217	-0.43131718	No	
