NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZBTB20	zinc finger and BTB domain containing 20 [Source:HGNC Symbol;Acc:HGNC:13503]	33	1.0204060077667236	0.027298035	No	
row_1	NAV3	neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998]	139	0.6453561782836914	0.0059713414	No	
row_2	SP110	SP110 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:5401]	145	0.6248167753219604	0.029662034	No	
row_3	SP100	SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]	208	0.529413640499115	0.023238404	No	
row_4	DDO	D-aspartate oxidase [Source:HGNC Symbol;Acc:HGNC:2727]	236	0.4970472753047943	0.0315238	No	
row_5	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	331	0.3950759768486023	0.004834569	No	
row_6	AMOTL2	angiomotin like 2 [Source:HGNC Symbol;Acc:HGNC:17812]	337	0.3905985951423645	0.018784825	No	
row_7	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	343	0.3860609531402588	0.03254637	No	
row_8	ZEB2	zinc finger E-box binding homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14881]	382	0.3461547791957855	0.029510727	No	
row_9	RASGRP3	RAS guanyl releasing protein 3 [Source:HGNC Symbol;Acc:HGNC:14545]	428	0.31547579169273376	0.021988224	No	
row_10	KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	566	0.23482643067836761	-0.031090079	No	
row_11	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	605	0.21136660873889923	-0.039731164	No	
row_12	APOL6	apolipoprotein L6 [Source:HGNC Symbol;Acc:HGNC:14870]	784	0.12537910044193268	-0.116168395	No	
