NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DLX1	distal-less homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2914]	4	1.6992037296295166	0.14654596	Yes	
row_1	BCL11B	BAF chromatin remodeling complex subunit BCL11B [Source:HGNC Symbol;Acc:HGNC:13222]	138	0.82393479347229	0.20786683	Yes	
row_2	GLI2	GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]	356	0.6326894760131836	0.24641886	Yes	
row_3	OLIG2	oligodendrocyte transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:9398]	455	0.5934833884239197	0.2904251	Yes	
row_4	RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	1023	0.4452824890613556	0.28677478	Yes	
row_5	SUFU	SUFU negative regulator of hedgehog signaling [Source:HGNC Symbol;Acc:HGNC:16466]	1050	0.44068896770477295	0.32292667	Yes	
row_6	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	1067	0.4368859529495239	0.35949296	Yes	
row_7	SHH	sonic hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:10848]	1077	0.43573859333992004	0.39648023	Yes	
row_8	OLIG1	oligodendrocyte transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16983]	1475	0.37415823340415955	0.39931536	Yes	
row_9	TGFBR1	transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]	1503	0.3707481920719147	0.42934874	Yes	
row_10	NTRK3	neurotrophic receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:8033]	1534	0.36770910024642944	0.45889655	Yes	
row_11	DLL1	delta like canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2908]	1975	0.320290744304657	0.4538814	Yes	
row_12	MYT1L	myelin transcription factor 1 like [Source:HGNC Symbol;Acc:HGNC:7623]	2021	0.3162163197994232	0.4778647	Yes	
row_13	ASCL1	achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738]	2048	0.31403669714927673	0.5030714	Yes	
row_14	LMO4	LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]	2194	0.30035990476608276	0.5182539	Yes	
row_15	PROX1	prospero homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9459]	2366	0.2849700450897217	0.5301745	Yes	
row_16	NKX2-1	NK2 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11825]	2437	0.2786223292350769	0.54905134	Yes	
row_17	EHMT2	euchromatic histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129]	2449	0.27735450863838196	0.5722026	Yes	
row_18	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]	2994	0.23322707414627075	0.5519358	No	
row_19	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	3116	0.2245340198278427	0.56234884	No	
row_20	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	3768	0.1851254105567932	0.52997446	No	
row_21	SOX1	SRY-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11189]	4538	0.14035449922084808	0.48496297	No	
row_22	POU3F2	POU class 3 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9215]	5850	0.06777466088533401	0.3934058	No	
row_23	JAG2	jagged canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:6189]	5861	0.06733755767345428	0.398482	No	
row_24	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]	5886	0.06602995097637177	0.40240487	No	
row_25	GLI3	GLI family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:4319]	6551	0.0324963703751564	0.3558745	No	
row_26	ZNF521	zinc finger protein 521 [Source:HGNC Symbol;Acc:HGNC:24605]	6567	0.031685467809438705	0.35749814	No	
row_27	EPOP	elongin BC and polycomb repressive complex 2 associated protein [Source:HGNC Symbol;Acc:HGNC:34493]	8412	-0.06573443859815598	0.22615996	No	
row_28	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	8452	-0.06756879389286041	0.22910127	No	
row_29	EYA1	EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]	8461	-0.068059541285038	0.23438846	No	
row_30	FKBP8	FKBP prolyl isomerase 8 [Source:HGNC Symbol;Acc:HGNC:3724]	9329	-0.11547697335481644	0.1799452	No	
row_31	NKX6-2	NK6 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:19321]	9530	-0.12885047495365143	0.17621925	No	
row_32	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	9910	-0.1517888754606247	0.16117498	No	
row_33	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	9925	-0.15256796777248383	0.17331944	No	
row_34	NOTCH3	notch receptor 3 [Source:HGNC Symbol;Acc:HGNC:7883]	10939	-0.22744373977184296	0.117703654	No	
row_35	PRRX1	paired related homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9142]	11206	-0.2521825432777405	0.11973178	No	
row_36	NKX2-2	NK2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7835]	12912	-0.5809417366981506	0.04324563	No	
