NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STK10	serine/threonine kinase 10 [Source:HGNC Symbol;Acc:HGNC:11388]	98	0.8872660398483276	0.0011723386	No	
row_1	ANXA11	annexin A11 [Source:HGNC Symbol;Acc:HGNC:535]	307	0.6620776057243347	-0.008173568	No	
row_2	EVI2A	ecotropic viral integration site 2A [Source:HGNC Symbol;Acc:HGNC:3499]	387	0.6221597790718079	-0.008130644	No	
row_3	VAV1	vav guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:12657]	396	0.6161147952079773	-0.0027658865	No	
row_4	SLA	Src like adaptor [Source:HGNC Symbol;Acc:HGNC:10902]	402	0.6141000390052795	0.002806687	No	
row_5	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	577	0.5507034659385681	-0.0050420505	No	
row_6	MIS18BP1	MIS18 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:20190]	696	0.5127506256103516	-0.009014893	No	
row_7	MEF2C	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	826	0.48398277163505554	-0.014100122	No	
row_8	CX3CR1	C-X3-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:2558]	834	0.48205438256263733	-0.009958814	No	
row_9	ATP8B4	ATPase phospholipid transporting 8B4 (putative) [Source:HGNC Symbol;Acc:HGNC:13536]	835	0.481969952583313	-0.00528786	No	
row_10	CPVL	carboxypeptidase vitellogenic like [Source:HGNC Symbol;Acc:HGNC:14399]	1041	0.4423254132270813	-0.016536128	No	
row_11	MS4A7	membrane spanning 4-domains A7 [Source:HGNC Symbol;Acc:HGNC:13378]	1151	0.42466193437576294	-0.020680645	No	
row_12	GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]	1193	0.418199360370636	-0.01973472	No	
row_13	ITSN2	intersectin 2 [Source:HGNC Symbol;Acc:HGNC:6184]	1784	0.34032049775123596	-0.061147064	No	
row_14	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]	1912	0.3268483579158783	-0.06760358	No	
row_15	IPCEF1	interaction protein for cytohesin exchange factors 1 [Source:HGNC Symbol;Acc:HGNC:21204]	1988	0.3193492591381073	-0.07019219	No	
row_16	GAL3ST4	galactose-3-O-sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:24145]	2089	0.30970749258995056	-0.074768744	No	
row_17	SMAP2	small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]	2125	0.3068472146987915	-0.07444729	No	
row_18	MED12L	mediator complex subunit 12L [Source:HGNC Symbol;Acc:HGNC:16050]	2160	0.3039305508136749	-0.07407832	No	
row_19	SH3KBP1	SH3 domain containing kinase binding protein 1 [Source:HGNC Symbol;Acc:HGNC:13867]	2275	0.2929685413837433	-0.07987804	No	
row_20	SYK	spleen associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11491]	2435	0.2789512276649475	-0.08922372	No	
row_21	VSIR	V-set immunoregulatory receptor [Source:HGNC Symbol;Acc:HGNC:30085]	2475	0.2747608423233032	-0.08951635	No	
row_22	MKNK1	MAPK interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:7110]	2476	0.27453967928886414	-0.08685568	No	
row_23	SLC29A1	solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003]	2505	0.2718146741390228	-0.08634328	No	
row_24	PTPRE	protein tyrosine phosphatase receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]	2569	0.2657240629196167	-0.088542216	No	
row_25	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	2897	0.23971755802631378	-0.110999264	No	
