NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CEP85L	centrosomal protein 85 like [Source:HGNC Symbol;Acc:HGNC:21638]	617	0.535377562046051	-0.0014133127	Yes	
row_1	CEP128	centrosomal protein 128 [Source:HGNC Symbol;Acc:HGNC:20359]	667	0.5200052857398987	0.038136397	Yes	
row_2	FANCC	FA complementation group C [Source:HGNC Symbol;Acc:HGNC:3584]	695	0.5129193663597107	0.07873358	Yes	
row_3	RBBP5	RB binding protein 5, histone lysine methyltransferase complex subunit [Source:HGNC Symbol;Acc:HGNC:9888]	747	0.498699814081192	0.11636484	Yes	
row_4	ZNF398	zinc finger protein 398 [Source:HGNC Symbol;Acc:HGNC:18373]	763	0.49535492062568665	0.15639544	Yes	
row_5	ZNF425	zinc finger protein 425 [Source:HGNC Symbol;Acc:HGNC:20690]	794	0.49054205417633057	0.19491078	Yes	
row_6	MEF2C	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	826	0.48398277163505554	0.2328069	Yes	
row_7	SBNO1	strawberry notch homolog 1 [Source:HGNC Symbol;Acc:HGNC:22973]	894	0.46938154101371765	0.26681304	Yes	
row_8	PURA	purine rich element binding protein A [Source:HGNC Symbol;Acc:HGNC:9701]	1094	0.43345338106155396	0.2880185	Yes	
row_9	CXXC5	CXXC finger protein 5 [Source:HGNC Symbol;Acc:HGNC:26943]	1235	0.4119737148284912	0.3118274	Yes	
row_10	DIPK2A	divergent protein kinase domain 2A [Source:HGNC Symbol;Acc:HGNC:28490]	1273	0.4054432213306427	0.34275353	Yes	
row_11	MBD4	methyl-CpG binding domain 4, DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:6919]	1287	0.4032192528247833	0.3752797	Yes	
row_12	DPP8	dipeptidyl peptidase 8 [Source:HGNC Symbol;Acc:HGNC:16490]	1388	0.38761743903160095	0.40004012	Yes	
row_13	ZNF827	zinc finger protein 827 [Source:HGNC Symbol;Acc:HGNC:27193]	1420	0.38283872604370117	0.42953482	Yes	
row_14	CSNK1G3	casein kinase 1 gamma 3 [Source:HGNC Symbol;Acc:HGNC:2456]	1423	0.3823700249195099	0.46114722	Yes	
row_15	ANK3	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]	1756	0.3430282175540924	0.46495095	Yes	
row_16	CHD9	chromodomain helicase DNA binding protein 9 [Source:HGNC Symbol;Acc:HGNC:25701]	1760	0.34281694889068604	0.49320355	Yes	
row_17	ELAVL4	ELAV like RNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3315]	1858	0.3328847885131836	0.51364076	Yes	
row_18	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2966]	1902	0.32789114117622375	0.5376789	Yes	
row_19	PCDH19	protocadherin 19 [Source:HGNC Symbol;Acc:HGNC:14270]	2292	0.291758269071579	0.5329851	No	
row_20	ANKRD23	ankyrin repeat domain 23 [Source:HGNC Symbol;Acc:HGNC:24470]	2822	0.24567224085330963	0.514052	No	
row_21	USP49	ubiquitin specific peptidase 49 [Source:HGNC Symbol;Acc:HGNC:20078]	3487	0.20120173692703247	0.4813855	No	
row_22	EPB41L5	erythrocyte membrane protein band 4.1 like 5 [Source:HGNC Symbol;Acc:HGNC:19819]	3854	0.1801421195268631	0.46913084	No	
row_23	CADM2	cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:29849]	4165	0.16113124787807465	0.45946154	No	
row_24	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	4520	0.14125721156597137	0.44486934	No	
row_25	NDEL1	nudE neurodevelopment protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:17620]	5076	0.11078276485204697	0.41279826	No	
row_26	FBXW11	F-box and WD repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:13607]	5330	0.09564299881458282	0.40192813	No	
row_27	WDFY3	WD repeat and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20751]	5366	0.09353343397378922	0.40709454	No	
row_28	WNK3	WNK lysine deficient protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:14543]	5565	0.08288394659757614	0.39925474	No	
row_29	ZNF516	zinc finger protein 516 [Source:HGNC Symbol;Acc:HGNC:28990]	6087	0.05556068569421768	0.36512512	No	
row_30	ABCD3	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]	6120	0.05388648435473442	0.36722142	No	
row_31	CAPN7	calpain 7 [Source:HGNC Symbol;Acc:HGNC:1484]	6537	0.03330753743648529	0.3390518	No	
row_32	DCUN1D4	defective in cullin neddylation 1 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28998]	6541	0.03319818153977394	0.3415863	No	
row_33	EXT1	exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]	6777	0.021981606259942055	0.32593614	No	
row_34	AKAP13	A-kinase anchoring protein 13 [Source:HGNC Symbol;Acc:HGNC:371]	6935	0.014598788693547249	0.31547332	No	
row_35	WEE1	WEE1 G2 checkpoint kinase [Source:HGNC Symbol;Acc:HGNC:12761]	7113	0.005090540740638971	0.30273336	No	
row_36	POLR3B	RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]	7416	-0.01337875984609127	0.2813861	No	
row_37	PLPPR4	phospholipid phosphatase related 4 [Source:HGNC Symbol;Acc:HGNC:23496]	7802	-0.032873909920454025	0.25548583	No	
row_38	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	8531	-0.07104019075632095	0.20724823	No	
row_39	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide [Source:HGNC Symbol;Acc:HGNC:11160]	8615	-0.07627243548631668	0.20741133	No	
row_40	ST7L	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:HGNC:18441]	8642	-0.07765211910009384	0.2119279	No	
row_41	LSM12	LSM12 homolog [Source:HGNC Symbol;Acc:HGNC:26407]	10040	-0.15926577150821686	0.121267796	No	
row_42	YPEL5	yippee like 5 [Source:HGNC Symbol;Acc:HGNC:18329]	10385	-0.1864541471004486	0.11117348	No	
row_43	DENND5A	DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]	10395	-0.1872066706418991	0.12605429	No	
row_44	ZNF142	zinc finger protein 142 [Source:HGNC Symbol;Acc:HGNC:12927]	10611	-0.20423057675361633	0.12702978	No	
row_45	TPT1	tumor protein, translationally-controlled 1 [Source:HGNC Symbol;Acc:HGNC:12022]	11224	-0.25396648049354553	0.1026132	No	
row_46	STOX1	storkhead box 1 [Source:HGNC Symbol;Acc:HGNC:23508]	11365	-0.27025943994522095	0.114650756	No	
row_47	CHSY3	chondroitin sulfate synthase 3 [Source:HGNC Symbol;Acc:HGNC:24293]	12761	-0.5249005556106567	0.05451041	No	
