NAME	TITLE	SCORE	
GATD3	glutamine amidotransferase class 1 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:1273]	2.207897	
TTR	transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]	1.9665967	
TAC3	tachykinin precursor 3 [Source:HGNC Symbol;Acc:HGNC:11521]	1.9110669	
ANKRD18B	ankyrin repeat domain 18B [Source:HGNC Symbol;Acc:HGNC:23644]	1.8810592	
DLX1	distal-less homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2914]	1.6992037	
NPFF	neuropeptide FF-amide peptide precursor [Source:HGNC Symbol;Acc:HGNC:7901]	1.5711144	
WNT2	Wnt family member 2 [Source:HGNC Symbol;Acc:HGNC:12780]	1.5248516	
LRRC37A2	leucine rich repeat containing 37 member A2 [Source:HGNC Symbol;Acc:HGNC:32404]	1.5032908	
LAIR2	leukocyte associated immunoglobulin like receptor 2 [Source:HGNC Symbol;Acc:HGNC:6478]	1.4583596	
SPESP1	sperm equatorial segment protein 1 [Source:HGNC Symbol;Acc:HGNC:15570]	1.4268997	
ANKRD30B	ankyrin repeat domain 30B [Source:HGNC Symbol;Acc:HGNC:24165]	1.420946	
KANSL1-AS1	KANSL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43740]	1.4150655	
MUC20	mucin 20, cell surface associated [Source:HGNC Symbol;Acc:HGNC:23282]	1.398878	
CCDC9B	coiled-coil domain containing 9B [Source:HGNC Symbol;Acc:HGNC:33488]	1.393795	
SLC35E2B	solute carrier family 35 member E2B [Source:HGNC Symbol;Acc:HGNC:33941]	1.3771417	
BTN3A2	butyrophilin subfamily 3 member A2 [Source:HGNC Symbol;Acc:HGNC:1139]	1.348874	
NPIPB5	nuclear pore complex interacting protein family member B5 [Source:HGNC Symbol;Acc:HGNC:37233]	1.3340219	
POMC	proopiomelanocortin [Source:HGNC Symbol;Acc:HGNC:9201]	1.3274992	
ZCWPW2	zinc finger CW-type and PWWP domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23574]	1.2986581	
FGF22	fibroblast growth factor 22 [Source:HGNC Symbol;Acc:HGNC:3679]	1.2979218	
HHAT	hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]	1.2730824	
ZNF208	zinc finger protein 208 [Source:HGNC Symbol;Acc:HGNC:12999]	1.2668643	
PABPC5	poly(A) binding protein cytoplasmic 5 [Source:HGNC Symbol;Acc:HGNC:13629]	1.2630117	
TMC3-AS1	TMC3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51424]	1.2577293	
TBX3	T-box transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11602]	1.2355968	
RUNX1T1	RUNX1 partner transcriptional co-repressor 1 [Source:HGNC Symbol;Acc:HGNC:1535]	1.2186788	
ZNF283	zinc finger protein 283 [Source:HGNC Symbol;Acc:HGNC:13077]	1.2047839	
ARHGAP19	Rho GTPase activating protein 19 [Source:HGNC Symbol;Acc:HGNC:23724]	1.1946895	
SPDYE16	speedy/RINGO cell cycle regulator family member E16 [Source:HGNC Symbol;Acc:HGNC:51512]	1.1924353	
ZCWPW1	zinc finger CW-type and PWWP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23486]	1.1861748	
EDA	ectodysplasin A [Source:HGNC Symbol;Acc:HGNC:3157]	1.1826129	
NPY2R	neuropeptide Y receptor Y2 [Source:HGNC Symbol;Acc:HGNC:7957]	1.1749058	
ADRA1D	adrenoceptor alpha 1D [Source:HGNC Symbol;Acc:HGNC:280]	1.1669753	
FAM227A	family with sequence similarity 227 member A [Source:HGNC Symbol;Acc:HGNC:44197]	1.1609818	
AP1S3	adaptor related protein complex 1 subunit sigma 3 [Source:HGNC Symbol;Acc:HGNC:18971]	1.1549864	
FRAS1	Fraser extracellular matrix complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19185]	1.143906	
MC4R	melanocortin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6932]	1.1385608	
ALG11	ALG11 alpha-1,2-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:32456]	1.1336776	
LINC03073	novel transcript	1.133348	
TTC27	tetratricopeptide repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25986]	1.1285957	
STX17-DT	STX17 divergent transcript [Source:HGNC Symbol;Acc:HGNC:51174]	1.1247774	
CALCR	calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]	1.1148329	
HDC	histidine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4855]	1.1139622	
ADAMTSL3	ADAMTS like 3 [Source:HGNC Symbol;Acc:HGNC:14633]	1.0972047	
GEN1	GEN1 Holliday junction 5' flap endonuclease [Source:HGNC Symbol;Acc:HGNC:26881]	1.0895393	
ZNF114	zinc finger protein 114 [Source:HGNC Symbol;Acc:HGNC:12894]	1.0890894	
SLC43A1	solute carrier family 43 member 1 [Source:HGNC Symbol;Acc:HGNC:9225]	1.0823251	
FKBPL	FKBP prolyl isomerase like [Source:HGNC Symbol;Acc:HGNC:13949]	1.0788821	
HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	1.078543	
COL20A1	collagen type XX alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:14670]	1.0709774	
KBTBD8	kelch repeat and BTB domain containing 8 [Source:HGNC Symbol;Acc:HGNC:30691]	1.0701034	
SGCZ	sarcoglycan zeta [Source:HGNC Symbol;Acc:HGNC:14075]	1.0685947	
IFI44L	interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]	1.0659323	
HCRTR1	hypocretin receptor 1 [Source:HGNC Symbol;Acc:HGNC:4848]	1.0631143	
SYT10	synaptotagmin 10 [Source:HGNC Symbol;Acc:HGNC:19266]	1.0617186	
VGLL3	vestigial like family member 3 [Source:HGNC Symbol;Acc:HGNC:24327]	1.0562952	
ZC3H12A-DT	ZC3H12A divergent transcript [Source:HGNC Symbol;Acc:HGNC:49453]	1.0469038	
CBX8	chromobox 8 [Source:HGNC Symbol;Acc:HGNC:15962]	1.044486	
C7orf31	chromosome 7 open reading frame 31 [Source:HGNC Symbol;Acc:HGNC:21722]	1.0310436	
LINC01004	long intergenic non-protein coding RNA 1004 [Source:HGNC Symbol;Acc:HGNC:48961]	1.0222996	
ZNF586	zinc finger protein 586 [Source:HGNC Symbol;Acc:HGNC:25949]	0.99697083	
DOLK	dolichol kinase [Source:HGNC Symbol;Acc:HGNC:23406]	0.99386436	
ZNF124	zinc finger protein 124 [Source:HGNC Symbol;Acc:HGNC:12907]	0.992879	
KCNE2	potassium voltage-gated channel subfamily E regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:6242]	0.98390967	
SOGA3	SOGA family member 3 [Source:HGNC Symbol;Acc:HGNC:21494]	0.9797398	
ZNF497	zinc finger protein 497 [Source:HGNC Symbol;Acc:HGNC:23714]	0.97781724	
NFATC1	nuclear factor of activated T cells 1 [Source:HGNC Symbol;Acc:HGNC:7775]	0.9725027	
SPATA5	spermatogenesis associated 5 [Source:HGNC Symbol;Acc:HGNC:18119]	0.97103536	
PROB1	proline rich basic protein 1 [Source:HGNC Symbol;Acc:HGNC:41906]	0.96452206	
SWSAP1	SWIM-type zinc finger 7 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:26638]	0.96150976	
HCP5	HLA complex P5 [Source:HGNC Symbol;Acc:HGNC:21659]	0.95600605	
FAT4	FAT atypical cadherin 4 [Source:HGNC Symbol;Acc:HGNC:23109]	0.9556787	
IGSF9	immunoglobulin superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:18132]	0.95265144	
GPR63	G protein-coupled receptor 63 [Source:HGNC Symbol;Acc:HGNC:13302]	0.95220435	
GPR19	G protein-coupled receptor 19 [Source:HGNC Symbol;Acc:HGNC:4473]	0.9465919	
TMCO4	transmembrane and coiled-coil domains 4 [Source:HGNC Symbol;Acc:HGNC:27393]	0.9438445	
ZNF234	zinc finger protein 234 [Source:HGNC Symbol;Acc:HGNC:13027]	0.94274795	
IFI6	interferon alpha inducible protein 6 [Source:HGNC Symbol;Acc:HGNC:4054]	0.9399478	
ZNF670	zinc finger protein 670 [Source:HGNC Symbol;Acc:HGNC:28167]	0.938258	
UBOX5	U-box domain containing 5 [Source:HGNC Symbol;Acc:HGNC:17777]	0.93451	
ZNF416	zinc finger protein 416 [Source:HGNC Symbol;Acc:HGNC:20645]	0.931147	
CSNK1G1	casein kinase 1 gamma 1 [Source:HGNC Symbol;Acc:HGNC:2454]	0.930796	
XRCC3	X-ray repair cross complementing 3 [Source:HGNC Symbol;Acc:HGNC:12830]	0.93008995	
LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	0.9297559	
DBH-AS1	DBH antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:24155]	0.9223533	
SYT9	synaptotagmin 9 [Source:HGNC Symbol;Acc:HGNC:19265]	0.91783696	
PLCXD1	phosphatidylinositol specific phospholipase C X domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23148]	0.9172445	
MAML3	mastermind like transcriptional coactivator 3 [Source:HGNC Symbol;Acc:HGNC:16272]	0.90475005	
GAS2	growth arrest specific 2 [Source:HGNC Symbol;Acc:HGNC:4167]	0.9023996	
MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	0.9021764	
CNTNAP5	contactin associated protein family member 5 [Source:HGNC Symbol;Acc:HGNC:18748]	0.8997489	
DNMT3A	DNA methyltransferase 3 alpha [Source:HGNC Symbol;Acc:HGNC:2978]	0.8973647	
TPBG	trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]	0.89731914	
BBS12	Bardet-Biedl syndrome 12 [Source:HGNC Symbol;Acc:HGNC:26648]	0.8955686	
GPATCH1	G-patch domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24658]	0.89135265	
IQCN	IQ motif containing N [Source:HGNC Symbol;Acc:HGNC:29350]	0.8892554	
ZNF500	zinc finger protein 500 [Source:HGNC Symbol;Acc:HGNC:23716]	0.88911253	
TAS2R4	taste 2 receptor member 4 [Source:HGNC Symbol;Acc:HGNC:14911]	0.8882384	
STK10	serine/threonine kinase 10 [Source:HGNC Symbol;Acc:HGNC:11388]	0.88726604	
PROX1-AS1	PROX1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43656]	0.8869581	
TEKT2	tektin 2 [Source:HGNC Symbol;Acc:HGNC:11725]	0.8858255	
STRC	stereocilin [Source:HGNC Symbol;Acc:HGNC:16035]	0.88472867	
C2CD6	C2 calcium dependent domain containing 6 [Source:HGNC Symbol;Acc:HGNC:14438]	0.88457656	
ZNF212	zinc finger protein 212 [Source:HGNC Symbol;Acc:HGNC:13004]	0.8821589	
ZBTB20	zinc finger and BTB domain containing 20 [Source:HGNC Symbol;Acc:HGNC:13503]	0.8768892	
NEU4	neuraminidase 4 [Source:HGNC Symbol;Acc:HGNC:21328]	0.8742285	
