NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	122		
HALLMARK_HYPOXIA	200	150		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	62		
HALLMARK_MITOTIC_SPINDLE	199	160		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	30		
HALLMARK_TGF_BETA_SIGNALING	54	46		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	39		
HALLMARK_DNA_REPAIR	150	127		
HALLMARK_G2M_CHECKPOINT	200	124		
HALLMARK_APOPTOSIS	161	113		
HALLMARK_NOTCH_SIGNALING	32	28		
HALLMARK_ADIPOGENESIS	200	173		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	127		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	121		
HALLMARK_ANDROGEN_RESPONSE	101	85		
HALLMARK_MYOGENESIS	200	124		
HALLMARK_PROTEIN_SECRETION	96	90		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	67		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	130		
HALLMARK_APICAL_JUNCTION	200	139		
HALLMARK_APICAL_SURFACE	44	22		
HALLMARK_HEDGEHOG_SIGNALING	36	30		
HALLMARK_COMPLEMENT	200	120		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	103		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	84		
HALLMARK_MTORC1_SIGNALING	200	182		
HALLMARK_E2F_TARGETS	200	125		
HALLMARK_MYC_TARGETS_V1	200	187		
HALLMARK_MYC_TARGETS_V2	58	47		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	124		
HALLMARK_INFLAMMATORY_RESPONSE	200	83		
HALLMARK_XENOBIOTIC_METABOLISM	200	123		
HALLMARK_FATTY_ACID_METABOLISM	158	123		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	199		
HALLMARK_GLYCOLYSIS	200	145		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	44		
HALLMARK_P53_PATHWAY	200	157		
HALLMARK_UV_RESPONSE_UP	158	122		
HALLMARK_UV_RESPONSE_DN	144	114		
HALLMARK_ANGIOGENESIS	36	20		
HALLMARK_HEME_METABOLISM	200	145		
HALLMARK_COAGULATION	138	68		
HALLMARK_IL2_STAT5_SIGNALING	199	131		
HALLMARK_BILE_ACID_METABOLISM	112	72		
HALLMARK_PEROXISOME	104	82		
HALLMARK_ALLOGRAFT_REJECTION	200	86		
HALLMARK_SPERMATOGENESIS	135	64		
HALLMARK_KRAS_SIGNALING_UP	200	113		
HALLMARK_KRAS_SIGNALING_DN	200	64		
HALLMARK_PANCREAS_BETA_CELLS	40	22		
CHR1P11	21		Rejected!	
CHR1P12	53		Rejected!	
CHR1P13	213	70		
CHR1P21	107	28		
CHR1P22	134	38		
CHR1P31	223	51		
CHR1P32	156	37		
CHR1P33	61		Rejected!	
CHR1P34	292	105		
CHR1P35	136	53		
CHR1P36	681	202		
CHR1Q21	404	104		
CHR1Q22	71	34		
CHR1Q23	224	56		
CHR1Q24	128	31		
CHR1Q25	165	45		
CHR1Q31	74	16		
CHR1Q32	286	72		
CHR1Q41	96	19		
CHR1Q42	239	70		
CHR1Q43	62		Rejected!	
CHR1Q44	128	16		
CHR10P11	126	19		
CHR10P12	140	30		
CHR10P13	66		Rejected!	
CHR10P14	48		Rejected!	
CHR10P15	89	23		
CHR10Q11	188	29		
CHR10Q21	119	29		
CHR10Q22	207	65		
CHR10Q23	194	40		
CHR10Q24	189	73		
CHR10Q25	131	29		
CHR10Q26	207	68		
CHR11P11	153	40		
CHR11P12	19		Rejected!	
CHR11P13	64	27		
CHR11P14	59		Rejected!	
CHR11P15	563	128		
CHR11Q11	40		Rejected!	
CHR11Q12	342	72		
CHR11Q13	449	165		
CHR11Q14	156	35		
CHR11Q21	63	18		
CHR11Q22	105	22		
CHR11Q23	218	68		
CHR11Q24	190	31		
CHR11Q25	31		Rejected!	
CHR12P11	84	23		
CHR12P12	113	33		
CHR12P13	349	84		
CHR12Q12	62	17		
CHR12Q13	419	130		
CHR12Q14	114	25		
CHR12Q15	56		Rejected!	
CHR12Q21	139	40		
CHR12Q22	57		Rejected!	
CHR12Q23	150	46		
CHR12Q24	410	158		
CHR13Q11	25		Rejected!	
CHR13Q12	235	41		
CHR13Q13	81	15		
CHR13Q14	245	61		
CHR13Q21	117		Rejected!	
CHR13Q22	62		Rejected!	
CHR13Q31	99		Rejected!	
CHR13Q32	95	24		
CHR13Q33	57		Rejected!	
CHR13Q34	88	21		
CHR14Q11	330	48		
CHR14Q12	105	32		
CHR14Q13	60	17		
CHR14Q21	97	27		
CHR14Q22	93	31		
CHR14Q23	131	39		
CHR14Q24	201	79		
CHR14Q31	59		Rejected!	
CHR14Q32	565	99		
CHR15Q11	216		Rejected!	
CHR15Q12	18		Rejected!	
CHR15Q13	101		Rejected!	
CHR15Q14	61	17		
CHR15Q15	146	55		
CHR15Q21	176	54		
CHR15Q22	131	47		
CHR15Q23	68	19		
CHR15Q24	122	38		
CHR15Q25	157	47		
CHR15Q26	204	45		
CHR16P11	276	68		
CHR16P12	172	44		
CHR16P13	421	157		
CHR16Q11	12		Rejected!	
CHR16Q12	101	25		
CHR16Q13	40	20		
CHR16Q21	78	23		
CHR16Q22	182	75		
CHR16Q23	114	34		
CHR16Q24	132	49		
CHR17P11	203	41		
CHR17P12	64		Rejected!	
CHR17P13	346	122		
CHR17Q11	169	60		
CHR17Q12	147	48		
CHR17Q21	472	128		
CHR17Q22	88	28		
CHR17Q23	118	33		
CHR17Q24	98	25		
CHR17Q25	305	132		
CHR18P11	210	46		
CHR18Q11	85	17		
CHR18Q12	104	26		
CHR18Q21	202	48		
CHR18Q22	65	15		
CHR18Q23	39		Rejected!	
CHR19P12	114		Rejected!	
CHR19P13	786	329		
CHR19Q11	5		Rejected!	
CHR19Q12	30		Rejected!	
CHR19Q13	1185	366		
