NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CGNL1	cingulin like 1 [Source:HGNC Symbol;Acc:HGNC:25931]	190	0.7817212343215942	-0.0012655162	No	
row_1	TMEM100	transmembrane protein 100 [Source:HGNC Symbol;Acc:HGNC:25607]	731	0.5182641744613647	-0.034375306	No	
row_2	F8	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]	1193	0.42326539754867554	-0.06297353	No	
row_3	RAPGEF5	Rap guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:16862]	1356	0.39639514684677124	-0.06873254	No	
row_4	BMPER	BMP binding endothelial regulator [Source:HGNC Symbol;Acc:HGNC:24154]	1554	0.36832287907600403	-0.07770588	No	
row_5	KLHL4	kelch like family member 4 [Source:HGNC Symbol;Acc:HGNC:6355]	1592	0.3641710877418518	-0.07428039	No	
row_6	THSD7A	thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]	2007	0.315206915140152	-0.10108747	No	
row_7	SLC27A3	solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]	2115	0.3053036630153656	-0.10413783	No	
row_8	IL33	interleukin 33 [Source:HGNC Symbol;Acc:HGNC:16028]	2268	0.29128268361091614	-0.11093852	No	
row_9	ITPR1	inositol 1,4,5-trisphosphate receptor type 1 [Source:HGNC Symbol;Acc:HGNC:6180]	2340	0.2841818034648895	-0.1115489	No	
row_10	LDB2	LIM domain binding 2 [Source:HGNC Symbol;Acc:HGNC:6533]	2789	0.2443995624780655	-0.14223278	No	
row_11	PCDH7	protocadherin 7 [Source:HGNC Symbol;Acc:HGNC:8659]	2868	0.23829054832458496	-0.14418383	No	
row_12	MGST2	microsomal glutathione S-transferase 2 [Source:HGNC Symbol;Acc:HGNC:7063]	3243	0.207359179854393	-0.1697417	No	
row_13	ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:19343]	3772	0.17070312798023224	-0.20793778	No	
row_14	INPP1	inositol polyphosphate-1-phosphatase [Source:HGNC Symbol;Acc:HGNC:6071]	3817	0.16834837198257446	-0.20845056	No	
row_15	CHSY1	chondroitin sulfate synthase 1 [Source:HGNC Symbol;Acc:HGNC:17198]	3857	0.1652499884366989	-0.2086273	No	
row_16	FKBP1A	FKBP prolyl isomerase 1A [Source:HGNC Symbol;Acc:HGNC:3711]	4567	0.11959392577409744	-0.2618164	No	
row_17	RDX	radixin [Source:HGNC Symbol;Acc:HGNC:9944]	4955	0.09666670858860016	-0.29030532	No	
