NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMX2	H6 family homeobox 2 [Source:HGNC Symbol;Acc:HGNC:5018]	2	2.116337776184082	0.0279567	Yes	
row_1	DLX6	distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]	18	1.6786928176879883	0.049156744	Yes	
row_2	PENK	proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831]	24	1.6210217475891113	0.07031816	Yes	
row_3	CHRNA3	cholinergic receptor nicotinic alpha 3 subunit [Source:HGNC Symbol;Acc:HGNC:1957]	27	1.567595362663269	0.09098829	Yes	
row_4	DLX5	distal-less homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2918]	40	1.4699558019638062	0.10963474	Yes	
row_5	DLX6-AS1	DLX6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:37151]	45	1.437403917312622	0.12843068	Yes	
row_6	CARTPT	CART prepropeptide [Source:HGNC Symbol;Acc:HGNC:24323]	65	1.3484525680541992	0.1449547	Yes	
row_7	CNR1	cannabinoid receptor 1 [Source:HGNC Symbol;Acc:HGNC:2159]	81	1.2826701402664185	0.1608961	Yes	
row_8	SLC10A4	solute carrier family 10 member 4 [Source:HGNC Symbol;Acc:HGNC:22980]	83	1.2735710144042969	0.1777347	Yes	
row_9	SYT1	synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509]	128	1.145714521408081	0.18974872	Yes	
row_10	OLFM3	olfactomedin 3 [Source:HGNC Symbol;Acc:HGNC:17990]	158	1.0967507362365723	0.20220332	Yes	
row_11	CDH9	cadherin 9 [Source:HGNC Symbol;Acc:HGNC:1768]	186	1.055755853652954	0.21425898	Yes	
row_12	NOS1	nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]	193	1.0503528118133545	0.22776997	Yes	
row_13	CRABP1	cellular retinoic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2338]	210	1.025771975517273	0.24022739	Yes	
row_14	KCNIP4	potassium voltage-gated channel interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:30083]	222	1.007692575454712	0.2528083	Yes	
row_15	SCN2A	sodium voltage-gated channel alpha subunit 2 [Source:HGNC Symbol;Acc:HGNC:10588]	248	0.9813323020935059	0.26402116	Yes	
row_16	CACNA1E	calcium voltage-gated channel subunit alpha1 E [Source:HGNC Symbol;Acc:HGNC:1392]	249	0.9797852635383606	0.27703142	Yes	
row_17	NNAT	neuronatin [Source:HGNC Symbol;Acc:HGNC:7860]	262	0.9717682600021362	0.2890626	Yes	
row_18	PLPPR3	phospholipid phosphatase related 3 [Source:HGNC Symbol;Acc:HGNC:23497]	287	0.9463086724281311	0.2998831	Yes	
row_19	FGF13	fibroblast growth factor 13 [Source:HGNC Symbol;Acc:HGNC:3670]	303	0.9291816353797913	0.31113064	Yes	
row_20	GPRIN1	G protein regulated inducer of neurite outgrowth 1 [Source:HGNC Symbol;Acc:HGNC:24835]	317	0.917618989944458	0.32237008	Yes	
row_21	PTPRR	protein tyrosine phosphatase receptor type R [Source:HGNC Symbol;Acc:HGNC:9680]	328	0.9116101861000061	0.33374786	Yes	
row_22	GPR22	G protein-coupled receptor 22 [Source:HGNC Symbol;Acc:HGNC:4477]	341	0.902420163154602	0.3448582	Yes	
row_23	GAP43	growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]	365	0.8908891081809998	0.35501555	Yes	
row_24	TMEM35A	transmembrane protein 35A [Source:HGNC Symbol;Acc:HGNC:25864]	378	0.8814236521720886	0.36584705	Yes	
row_25	NUDT10	nudix hydrolase 10 [Source:HGNC Symbol;Acc:HGNC:17621]	384	0.8765758872032166	0.37712324	Yes	
row_26	PCDH15	protocadherin related 15 [Source:HGNC Symbol;Acc:HGNC:14674]	407	0.8658132553100586	0.38702032	Yes	
row_27	SYNGR3	synaptogyrin 3 [Source:HGNC Symbol;Acc:HGNC:11501]	415	0.8612266182899475	0.39794722	Yes	
row_28	HRH3	histamine receptor H3 [Source:HGNC Symbol;Acc:HGNC:5184]	418	0.8586082458496094	0.40920296	Yes	
row_29	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	457	0.8352627158164978	0.4175309	Yes	
row_30	RIMS3	regulating synaptic membrane exocytosis 3 [Source:HGNC Symbol;Acc:HGNC:21292]	466	0.8275664448738098	0.42793813	Yes	
row_31	INA	internexin neuronal intermediate filament protein alpha [Source:HGNC Symbol;Acc:HGNC:6057]	501	0.8107610940933228	0.4362316	Yes	
row_32	SEMA3E	semaphorin 3E [Source:HGNC Symbol;Acc:HGNC:10727]	508	0.806736171245575	0.44650766	Yes	
row_33	EML5	EMAP like 5 [Source:HGNC Symbol;Acc:HGNC:18197]	524	0.797639012336731	0.4560085	Yes	
row_34	DSCAM	DS cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:3039]	528	0.7960120439529419	0.46636033	Yes	
row_35	ELAVL4	ELAV like RNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3315]	531	0.7941861152648926	0.47676063	Yes	
row_36	SLC6A15	solute carrier family 6 member 15 [Source:HGNC Symbol;Acc:HGNC:13621]	534	0.7928057909011841	0.4871426	Yes	
row_37	NSG2	neuronal vesicle trafficking associated 2 [Source:HGNC Symbol;Acc:HGNC:24955]	551	0.7864841222763062	0.4964226	Yes	
row_38	DOC2A	double C2 domain alpha [Source:HGNC Symbol;Acc:HGNC:2985]	586	0.7716742753982544	0.504197	Yes	
row_39	CTXN2	cortexin 2 [Source:HGNC Symbol;Acc:HGNC:31109]	618	0.7567040920257568	0.5119908	Yes	
row_40	ISLR2	immunoglobulin superfamily containing leucine rich repeat 2 [Source:HGNC Symbol;Acc:HGNC:29286]	628	0.752962052822113	0.5213347	Yes	
row_41	SULT4A1	sulfotransferase family 4A member 1 [Source:HGNC Symbol;Acc:HGNC:14903]	636	0.7513119578361511	0.5308021	Yes	
row_42	STMN2	stathmin 2 [Source:HGNC Symbol;Acc:HGNC:10577]	642	0.7486463785171509	0.5403795	Yes	
row_43	SRRM4	serine/arginine repetitive matrix 4 [Source:HGNC Symbol;Acc:HGNC:29389]	652	0.7457141280174255	0.5496272	Yes	
row_44	TTC9B	tetratricopeptide repeat domain 9B [Source:HGNC Symbol;Acc:HGNC:26395]	673	0.7392000555992126	0.5579884	Yes	
row_45	CHD5	chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]	684	0.736104428768158	0.56703573	Yes	
row_46	MIAT	myocardial infarction associated transcript [Source:HGNC Symbol;Acc:HGNC:33425]	712	0.7276318669319153	0.5747344	Yes	
row_47	ATCAY	ATCAY kinesin light chain interacting caytaxin [Source:HGNC Symbol;Acc:HGNC:779]	775	0.7069157361984253	0.57961285	Yes	
row_48	TLCD3B	TLC domain containing 3B [Source:HGNC Symbol;Acc:HGNC:25295]	836	0.686320960521698	0.5843632	Yes	
row_49	GRIN1	glutamate ionotropic receptor NMDA type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4584]	838	0.6862176060676575	0.59340256	Yes	
row_50	MLLT11	MLLT11 transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997]	906	0.660530149936676	0.59730154	Yes	
row_51	DLL3	delta like canonical Notch ligand 3 [Source:HGNC Symbol;Acc:HGNC:2909]	916	0.6586150527000427	0.6053926	Yes	
row_52	HCN1	hyperpolarization activated cyclic nucleotide gated potassium channel 1 [Source:HGNC Symbol;Acc:HGNC:4845]	927	0.6552538275718689	0.6133663	Yes	
row_53	TUBB2A	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	973	0.6423971056938171	0.61862427	Yes	
row_54	UCHL1	ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]	1131	0.5987944602966309	0.6151589	Yes	
row_55	BUB3	BUB3 mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]	1168	0.5859612822532654	0.62032187	Yes	
row_56	JPH3	junctophilin 3 [Source:HGNC Symbol;Acc:HGNC:14203]	1184	0.5816071629524231	0.6269541	Yes	
row_57	ATP2B3	ATPase plasma membrane Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:816]	1201	0.5768266916275024	0.63345015	Yes	
row_58	TUBB3	tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]	1217	0.573465883731842	0.63997424	Yes	
row_59	ARHGDIG	Rho GDP dissociation inhibitor gamma [Source:HGNC Symbol;Acc:HGNC:680]	1235	0.570577085018158	0.64631456	Yes	
row_60	TMEM151B	transmembrane protein 151B [Source:HGNC Symbol;Acc:HGNC:21315]	1238	0.5698287487030029	0.6537357	Yes	
