NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYBB	cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578]	400	1.6675339937210083	0.010603832	Yes	
row_1	FYB1	FYN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4036]	459	1.563672423362732	0.0435278	Yes	
row_2	NEAT1	nuclear paraspeckle assembly transcript 1 [Source:HGNC Symbol;Acc:HGNC:30815]	460	1.5633211135864258	0.08064693	Yes	
row_3	RGS10	regulator of G protein signaling 10 [Source:HGNC Symbol;Acc:HGNC:9992]	619	1.3149300813674927	0.1004174	Yes	
row_4	CCDC88A	coiled-coil domain containing 88A [Source:HGNC Symbol;Acc:HGNC:25523]	670	1.2561802864074707	0.12662013	Yes	
row_5	FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	793	1.12639582157135	0.14452316	Yes	
row_6	TYROBP	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	801	1.1190130710601807	0.17058542	Yes	
row_7	ARHGDIB	Rho GDP dissociation inhibitor beta [Source:HGNC Symbol;Acc:HGNC:679]	811	1.1119693517684937	0.1963355	Yes	
row_8	LGALS1	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]	868	1.0647609233856201	0.21755837	Yes	
row_9	IQGAP1	IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]	913	1.0339570045471191	0.23891954	Yes	
row_10	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]	918	1.0300593376159668	0.26308712	Yes	
row_11	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	948	1.011605143547058	0.2850047	Yes	
row_12	AIF1	allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:HGNC:352]	958	1.0060216188430786	0.30823916	Yes	
row_13	S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	975	0.9969290494918823	0.33075044	Yes	
row_14	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	1008	0.9790013432502747	0.35167643	Yes	
row_15	SNHG5	small nucleolar RNA host gene 5 [Source:HGNC Symbol;Acc:HGNC:21026]	1046	0.9509642124176025	0.37157437	Yes	
row_16	LAPTM5	lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]	1053	0.9456368684768677	0.3935925	Yes	
row_17	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	1064	0.9362572431564331	0.41509804	Yes	
row_18	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	1103	0.9149777889251709	0.43406904	Yes	
row_19	HLA-DPB1	major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]	1126	0.8988526463508606	0.45381674	Yes	
row_20	RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	1145	0.8885855078697205	0.47361058	Yes	
row_21	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	1236	0.8472840189933777	0.48720562	Yes	
row_22	IGSF6	immunoglobulin superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:5953]	1284	0.8173916339874268	0.50320727	Yes	
row_23	TMSB4X	thymosin beta 4 X-linked [Source:HGNC Symbol;Acc:HGNC:11881]	1431	0.7554133534431458	0.5105624	Yes	
row_24	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	1612	0.6845448613166809	0.5137707	Yes	
row_25	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	1773	0.6359360218048096	0.5172743	Yes	
row_26	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	1966	0.5794812440872192	0.51711833	Yes	
row_27	ZFP36L2	ZFP36 ring finger protein like 2 [Source:HGNC Symbol;Acc:HGNC:1108]	2043	0.5587615370750427	0.5248774	Yes	
row_28	RPLP1	ribosomal protein lateral stalk subunit P1 [Source:HGNC Symbol;Acc:HGNC:10372]	2099	0.5416139960289001	0.53375125	Yes	
row_29	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	2192	0.5200232863426208	0.539431	Yes	
row_30	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	2270	0.49770283699035645	0.54566777	Yes	
row_31	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	2343	0.4784802794456482	0.55181056	Yes	
row_32	TPT1	tumor protein, translationally-controlled 1 [Source:HGNC Symbol;Acc:HGNC:12022]	2349	0.4768555760383606	0.56277055	Yes	
row_33	MNDA	myeloid cell nuclear differentiation antigen [Source:HGNC Symbol;Acc:HGNC:7183]	2365	0.47192320227622986	0.5728887	Yes	
row_34	MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	2466	0.44742900133132935	0.57626486	Yes	
row_35	RPS15A	ribosomal protein S15a [Source:HGNC Symbol;Acc:HGNC:10389]	2544	0.42738574743270874	0.5808321	Yes	
row_36	CAP1	cyclase associated actin cytoskeleton regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:20040]	2644	0.404360294342041	0.5832582	Yes	
row_37	RPL12	ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10302]	2737	0.38501641154289246	0.5857323	Yes	
row_38	LST1	leukocyte specific transcript 1 [Source:HGNC Symbol;Acc:HGNC:14189]	2890	0.35482653975486755	0.58314115	Yes	
row_39	RPLP2	ribosomal protein lateral stalk subunit P2 [Source:HGNC Symbol;Acc:HGNC:10377]	2905	0.35105758905410767	0.5904619	Yes	
row_40	RPL27A	ribosomal protein L27a [Source:HGNC Symbol;Acc:HGNC:10329]	3190	0.2956590950489044	0.5768993	No	
row_41	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	3214	0.2917320728302002	0.5821592	No	
row_42	KLF6	KLF transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	3231	0.28824469447135925	0.5878436	No	
row_43	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	3597	0.2283967137336731	0.5668135	No	
row_44	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	3766	0.20246583223342896	0.55944514	No	
row_45	VAMP8	vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]	3960	0.17107374966144562	0.54951954	No	
row_46	CNPY3	canopy FGF signaling regulator 3 [Source:HGNC Symbol;Acc:HGNC:11968]	4013	0.16350893676280975	0.5496332	No	
row_47	LCP1	lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528]	4209	0.1357458531856537	0.5387238	No	
row_48	CYBA	cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]	4302	0.1225690096616745	0.53496647	No	
row_49	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]	4321	0.11966284364461899	0.53650314	No	
row_50	PSAP	prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]	4489	0.0959785208106041	0.52667886	No	
row_51	CFL1	cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]	4618	0.07654554396867752	0.51921964	No	
row_52	RPL27	ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:10328]	4878	0.03862740471959114	0.50136596	No	
row_53	TPM3	tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]	4881	0.03842030093073845	0.50213325	No	
row_54	FGL2	fibrinogen like 2 [Source:HGNC Symbol;Acc:HGNC:3696]	5001	0.024091893807053566	0.49408084	No	
row_55	CST3	cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]	5034	0.019166989251971245	0.49221677	No	
row_56	PTPRC	protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	5140	0.006752513349056244	0.4847673	No	
row_57	MYL6	myosin light chain 6 [Source:HGNC Symbol;Acc:HGNC:7587]	5226	-0.005791316740214825	0.47874448	No	
row_58	ATP5F1E	ATP synthase F1 subunit epsilon [Source:HGNC Symbol;Acc:HGNC:838]	5261	-0.010516057722270489	0.47653005	No	
row_59	ACTR2	actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]	5508	-0.04051028564572334	0.45966324	No	
row_60	SH3BGRL3	SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568]	5541	-0.04602757841348648	0.45843694	No	
row_61	ARPC3	actin related protein 2/3 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:706]	5802	-0.07894934713840485	0.44146818	No	
row_62	COTL1	coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304]	6109	-0.11980599164962769	0.42213568	No	
row_63	CORO1A	coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252]	6124	-0.12177952378988266	0.42401257	No	
row_64	HLA-C	major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]	6313	-0.14544560015201569	0.41384083	No	
row_65	CAPZB	capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]	6321	-0.14636294543743134	0.41680872	No	
row_66	TOP1	DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]	6343	-0.1488843858242035	0.41882184	No	
row_67	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	6786	-0.21087826788425446	0.39179525	No	
row_68	ARPC2	actin related protein 2/3 complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:705]	7070	-0.2511191666126251	0.37724754	No	
row_69	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	7290	-0.2810778021812439	0.36804953	No	
row_70	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	7367	-0.2920598089694977	0.36947608	No	
row_71	ARPC1B	actin related protein 2/3 complex subunit 1B [Source:HGNC Symbol;Acc:HGNC:704]	7397	-0.2966131269931793	0.37441704	No	
row_72	DAB2	DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]	8868	-0.5100546479225159	0.27999046	No	
row_73	OAZ1	ornithine decarboxylase antizyme 1 [Source:HGNC Symbol;Acc:HGNC:8095]	8890	-0.5130589604377747	0.2906505	No	
row_74	TUBA1B	tubulin alpha 1b [Source:HGNC Symbol;Acc:HGNC:18809]	9531	-0.6173712611198425	0.25892565	No	
row_75	LRRFIP1	LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]	9716	-0.6501232981681824	0.26102677	No	
row_76	TMSB10	thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]	10518	-0.810206413269043	0.22221223	No	
row_77	MEF2C	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	10833	-0.8849205374717712	0.22046666	No	
