NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EBF1	EBF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]	215	2.052926540374756	-0.005149657	No	
row_1	TAMALIN	trafficking regulator and scaffold protein tamalin [Source:HGNC Symbol;Acc:HGNC:18707]	263	1.9259229898452759	0.001376665	No	
row_2	TES	testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]	625	1.2276546955108643	-0.018766899	No	
row_3	RMST	rhabdomyosarcoma 2 associated transcript [Source:HGNC Symbol;Acc:HGNC:29893]	686	1.1658344268798828	-0.017132478	No	
row_4	PKP2	plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]	736	1.0977857112884521	-0.015042996	No	
row_5	SAMD5	sterile alpha motif domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21180]	805	1.0289638042449951	-0.014704937	No	
row_6	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10860]	913	0.9281206727027893	-0.017752502	No	
row_7	ROBO3	roundabout guidance receptor 3 [Source:HGNC Symbol;Acc:HGNC:13433]	1099	0.7771374583244324	-0.02730866	No	
row_8	NRN1	neuritin 1 [Source:HGNC Symbol;Acc:HGNC:17972]	1196	0.7220138311386108	-0.030616345	No	
row_9	NFIX	nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788]	1326	0.659291684627533	-0.036671683	No	
row_10	EPB41	erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]	1328	0.6581947207450867	-0.033335447	No	
row_11	TMTC4	transmembrane O-mannosyltransferase targeting cadherins 4 [Source:HGNC Symbol;Acc:HGNC:25904]	1337	0.6544371247291565	-0.030532587	No	
row_12	FOXP2	forkhead box P2 [Source:HGNC Symbol;Acc:HGNC:13875]	1499	0.5832388401031494	-0.039331213	No	
row_13	RPS19	ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]	1522	0.5764546394348145	-0.037960153	No	
row_14	APOL4	apolipoprotein L4 [Source:HGNC Symbol;Acc:HGNC:14867]	1632	0.5298811197280884	-0.043217555	No	
row_15	ADA2	adenosine deaminase 2 [Source:HGNC Symbol;Acc:HGNC:1839]	1661	0.5165607929229736	-0.04259726	No	
row_16	BHLHE22	basic helix-loop-helix family member e22 [Source:HGNC Symbol;Acc:HGNC:11963]	1843	0.4589158594608307	-0.05350824	No	
row_17	MEGF6	multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232]	1866	0.45436567068099976	-0.05276964	No	
row_18	PTPRG	protein tyrosine phosphatase receptor type G [Source:HGNC Symbol;Acc:HGNC:9671]	2222	0.3521958887577057	-0.07700785	No	
row_19	ZHX1	zinc fingers and homeoboxes 1 [Source:HGNC Symbol;Acc:HGNC:12871]	2361	0.31971412897109985	-0.08548305	No	
row_20	ZNF33A	zinc finger protein 33A [Source:HGNC Symbol;Acc:HGNC:13096]	2405	0.3112528622150421	-0.08702755	No	
row_21	ZNF529-AS1	ZNF529 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51275]	2601	0.2682252824306488	-0.099954195	No	
row_22	SSTR2	somatostatin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11331]	3039	0.18080198764801025	-0.1311004	No	
row_23	RND3	Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671]	3200	0.1530536711215973	-0.1420541	No	
row_24	AFAP1	actin filament associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24017]	3232	0.1486714482307434	-0.14355983	No	
row_25	XIST	X inactive specific transcript [Source:HGNC Symbol;Acc:HGNC:12810]	3303	0.13806112110614777	-0.14798376	No	
row_26	NKAIN1	sodium/potassium transporting ATPase interacting 1 [Source:HGNC Symbol;Acc:HGNC:25743]	3357	0.1305607706308365	-0.15119846	No	
row_27	MAP3K9	mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]	3386	0.12596167623996735	-0.15260158	No	
row_28	AUTS2	activator of transcription and developmental regulator AUTS2 [Source:HGNC Symbol;Acc:HGNC:14262]	3727	0.0734228864312172	-0.17718269	No	
row_29	CNTN2	contactin 2 [Source:HGNC Symbol;Acc:HGNC:2172]	3808	0.06341328471899033	-0.18272747	No	
row_30	BCL11A	BAF chromatin remodeling complex subunit BCL11A [Source:HGNC Symbol;Acc:HGNC:13221]	3945	0.04266279190778732	-0.19249105	No	
row_31	SOX4	SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]	4034	0.030305568128824234	-0.19879468	No	
row_32	ASXL3	ASXL transcriptional regulator 3 [Source:HGNC Symbol;Acc:HGNC:29357]	4035	0.030265767127275467	-0.19863789	No	
row_33	C1orf35	chromosome 1 open reading frame 35 [Source:HGNC Symbol;Acc:HGNC:19032]	4220	0.006708926521241665	-0.21211168	No	
row_34	CDC42EP3	CDC42 effector protein 3 [Source:HGNC Symbol;Acc:HGNC:16943]	4303	-0.004335897974669933	-0.21810934	No	
row_35	MIB1	MIB E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21086]	4466	-0.02479567751288414	-0.2298743	No	
row_36	GSE1	Gse1 coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:28979]	4519	-0.030486300587654114	-0.233534	No	
row_37	ZBTB46	zinc finger and BTB domain containing 46 [Source:HGNC Symbol;Acc:HGNC:16094]	4549	-0.0337345264852047	-0.23548831	No	
row_38	SLC38A1	solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447]	4593	-0.03936972841620445	-0.23844126	No	
row_39	ACVR2B	activin A receptor type 2B [Source:HGNC Symbol;Acc:HGNC:174]	4628	-0.0441327765583992	-0.24070878	No	
row_40	BZW2	basic leucine zipper and W2 domains 2 [Source:HGNC Symbol;Acc:HGNC:18808]	4746	-0.05732618644833565	-0.24900149	No	
row_41	CHML	CHM like Rab escort protein [Source:HGNC Symbol;Acc:HGNC:1941]	4765	-0.05963471904397011	-0.25001404	No	
row_42	MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:HGNC Symbol;Acc:HGNC:19267]	4786	-0.06328514218330383	-0.25115454	No	
row_43	ZNF195	zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]	4865	-0.07398515939712524	-0.2564977	No	
row_44	SOX5	SRY-box transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:11201]	4979	-0.09003759920597076	-0.26432732	No	
row_45	SHF	Src homology 2 domain containing F [Source:HGNC Symbol;Acc:HGNC:25116]	5032	-0.09604929387569427	-0.2676474	No	
row_46	CD24	CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]	5105	-0.10290273278951645	-0.27240026	No	
row_47	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	5159	-0.10957162082195282	-0.2757237	No	
row_48	ZNF737	zinc finger protein 737 [Source:HGNC Symbol;Acc:HGNC:32468]	5213	-0.11597008258104324	-0.279014	No	
row_49	SLC46A3	solute carrier family 46 member 3 [Source:HGNC Symbol;Acc:HGNC:27501]	5261	-0.12244735658168793	-0.28183022	No	
row_50	ZFHX4	zinc finger homeobox 4 [Source:HGNC Symbol;Acc:HGNC:30939]	5322	-0.12898322939872742	-0.28556702	No	
row_51	RALGDS	ral guanine nucleotide dissociation stimulator [Source:HGNC Symbol;Acc:HGNC:9842]	5345	-0.1318545639514923	-0.28649914	No	
row_52	MAML3	mastermind like transcriptional coactivator 3 [Source:HGNC Symbol;Acc:HGNC:16272]	5455	-0.14439426362514496	-0.29375347	No	
row_53	NNAT	neuronatin [Source:HGNC Symbol;Acc:HGNC:7860]	5568	-0.15627191960811615	-0.30116653	No	
