NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HRH2	histamine receptor H2 [Source:HGNC Symbol;Acc:HGNC:5183]	1201	0.720291793346405	-0.046056677	No	
row_1	HRH1	histamine receptor H1 [Source:HGNC Symbol;Acc:HGNC:5182]	2561	0.2775440216064453	-0.12848027	No	
row_2	ADRA2C	adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283]	4304	-0.004380704835057259	-0.2539459	No	
row_3	ADRA1D	adrenoceptor alpha 1D [Source:HGNC Symbol;Acc:HGNC:280]	7194	-0.32552391290664673	-0.4440776	No	
row_4	HTR2C	5-hydroxytryptamine receptor 2C [Source:HGNC Symbol;Acc:HGNC:5295]	7300	-0.3366168141365051	-0.43267456	No	
row_5	CHRM2	cholinergic receptor muscarinic 2 [Source:HGNC Symbol;Acc:HGNC:1951]	7571	-0.36250755190849304	-0.43171898	No	
row_6	ADRA2A	adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]	7818	-0.38813480734825134	-0.42758638	No	
row_7	HTR1D	5-hydroxytryptamine receptor 1D [Source:HGNC Symbol;Acc:HGNC:5289]	8588	-0.47538480162620544	-0.4562768	No	
row_8	DRD1	dopamine receptor D1 [Source:HGNC Symbol;Acc:HGNC:3020]	9802	-0.6327774524688721	-0.508134	No	
row_9	ADRB1	adrenoceptor beta 1 [Source:HGNC Symbol;Acc:HGNC:285]	10974	-0.8058900833129883	-0.5471992	No	
row_10	CHRM3	cholinergic receptor muscarinic 3 [Source:HGNC Symbol;Acc:HGNC:1952]	11760	-0.949333906173706	-0.5503202	Yes	
row_11	HTR2A	5-hydroxytryptamine receptor 2A [Source:HGNC Symbol;Acc:HGNC:5293]	11789	-0.9552427530288696	-0.4984786	Yes	
row_12	CHRM1	cholinergic receptor muscarinic 1 [Source:HGNC Symbol;Acc:HGNC:1950]	11990	-1.0001258850097656	-0.4565187	Yes	
row_13	CHRM5	cholinergic receptor muscarinic 5 [Source:HGNC Symbol;Acc:HGNC:1954]	13191	-1.4222475290298462	-0.46292278	Yes	
row_14	HTR7	5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302]	13380	-1.5493192672729492	-0.38913015	Yes	
row_15	DRD4	dopamine receptor D4 [Source:HGNC Symbol;Acc:HGNC:3025]	13454	-1.6069612503051758	-0.30378824	Yes	
row_16	HTR5A	5-hydroxytryptamine receptor 5A [Source:HGNC Symbol;Acc:HGNC:5300]	13591	-1.7342753410339355	-0.21581405	Yes	
row_17	ADRA1B	adrenoceptor alpha 1B [Source:HGNC Symbol;Acc:HGNC:278]	13729	-1.9262826442718506	-0.117085524	Yes	
row_18	DRD2	dopamine receptor D2 [Source:HGNC Symbol;Acc:HGNC:3023]	13836	-2.2620816230773926	0.002814469	Yes	
