NAME	TITLE	SCORE	
HBA1	hemoglobin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823]	5.435989	
HBA2	hemoglobin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:4824]	5.257943	
HBB	hemoglobin subunit beta [Source:HGNC Symbol;Acc:HGNC:4827]	5.127418	
TTR	transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]	4.957454	
CCL19	C-C motif chemokine ligand 19 [Source:HGNC Symbol;Acc:HGNC:10617]	4.5310683	
MYH11	myosin heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:7569]	4.062917	
TAGLN	transgelin [Source:HGNC Symbol;Acc:HGNC:11553]	3.9830148	
DSP	desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]	3.945873	
COL1A1	collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]	3.8665748	
COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	3.858599	
PROCR	protein C receptor [Source:HGNC Symbol;Acc:HGNC:9452]	3.74384	
PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]	3.68756	
TBX18	T-box transcription factor 18 [Source:HGNC Symbol;Acc:HGNC:11595]	3.682936	
DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	3.5986512	
CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]	3.5660791	
FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	3.5428617	
MFAP4	microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]	3.5159953	
MYL9	myosin light chain 9 [Source:HGNC Symbol;Acc:HGNC:15754]	3.5066628	
OGN	osteoglycin [Source:HGNC Symbol;Acc:HGNC:8126]	3.4815135	
COL3A1	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	3.4512703	
LAMC3	laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]	3.4423807	
ACTA2	actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]	3.396079	
