NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CIBAR2	CBY1 interacting BAR domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24781]	52	1.557006597518921	0.004497728	Yes	
row_1	FAM166C	family with sequence similarity 166 member C [Source:HGNC Symbol;Acc:HGNC:27938]	54	1.5517419576644897	0.01275984	Yes	
row_2	TEX26	testis expressed 26 [Source:HGNC Symbol;Acc:HGNC:28622]	56	1.5288333892822266	0.020898879	Yes	
row_3	DEUP1	deuterosome assembly protein 1 [Source:HGNC Symbol;Acc:HGNC:26344]	60	1.5149134397506714	0.028814403	Yes	
row_4	EFCAB10	EF-hand calcium binding domain 10 [Source:HGNC Symbol;Acc:HGNC:34531]	71	1.4603490829467773	0.035916228	Yes	
row_5	SPAG6	sperm associated antigen 6 [Source:HGNC Symbol;Acc:HGNC:11215]	78	1.4099814891815186	0.043044925	Yes	
row_6	C21orf58	chromosome 21 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:1300]	83	1.3701465129852295	0.050108347	Yes	
row_7	FAM183A	family with sequence similarity 183 member A [Source:HGNC Symbol;Acc:HGNC:34347]	87	1.3625560998916626	0.057205357	Yes	
row_8	AKAP14	A-kinase anchoring protein 14 [Source:HGNC Symbol;Acc:HGNC:24061]	93	1.3337222337722778	0.06399873	Yes	
row_9	CCDC74B	coiled-coil domain containing 74B [Source:HGNC Symbol;Acc:HGNC:25267]	125	1.219701886177063	0.06824603	Yes	
row_10	MAPK15	mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]	144	1.137444257736206	0.07301818	Yes	
row_11	CFAP65	cilia and flagella associated protein 65 [Source:HGNC Symbol;Acc:HGNC:25325]	145	1.1351765394210815	0.079116724	Yes	
row_12	CFAP157	cilia and flagella associated protein 157 [Source:HGNC Symbol;Acc:HGNC:27843]	148	1.1309415102005005	0.08504379	Yes	
row_13	SAPCD1-AS1	SAPCD1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39824]	158	1.1055207252502441	0.090313725	Yes	
row_14	DYNLT5	dynein light chain Tctex-type family member 5 [Source:HGNC Symbol;Acc:HGNC:26882]	166	1.0964758396148682	0.0956838	Yes	
row_15	CFAP92	cilia and flagella associated protein 92 (putative) [Source:HGNC Symbol;Acc:HGNC:29231]	170	1.0908318758010864	0.10132101	Yes	
row_16	LRRC10B	leucine rich repeat containing 10B [Source:HGNC Symbol;Acc:HGNC:37215]	173	1.0869606733322144	0.107011795	Yes	
row_17	RSPH4A	radial spoke head component 4A [Source:HGNC Symbol;Acc:HGNC:21558]	182	1.0719963312149048	0.11217599	Yes	
row_18	AK7	adenylate kinase 7 [Source:HGNC Symbol;Acc:HGNC:20091]	186	1.0640846490859985	0.117669515	Yes	
row_19	DNAAF1	dynein axonemal assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30539]	187	1.0640774965286255	0.12338609	Yes	
row_20	ROPN1L	rhophilin associated tail protein 1 like [Source:HGNC Symbol;Acc:HGNC:24060]	202	1.0491863489151	0.12798156	Yes	
row_21	TEKT1	tektin 1 [Source:HGNC Symbol;Acc:HGNC:15534]	204	1.0469273328781128	0.13353163	Yes	
row_22	CFAP251	cilia and flagella associated protein 251 [Source:HGNC Symbol;Acc:HGNC:28506]	213	1.0342520475387573	0.13849305	Yes	
row_23	DNAH10	dynein axonemal heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:2941]	216	1.0305911302566528	0.143881	Yes	
row_24	SPATA17	spermatogenesis associated 17 [Source:HGNC Symbol;Acc:HGNC:25184]	219	1.0236154794692993	0.14923148	Yes	
row_25	RIBC2	RIB43A domain with coiled-coils 2 [Source:HGNC Symbol;Acc:HGNC:13241]	231	1.0017129182815552	0.15379499	Yes	
row_26	ANKEF1	ankyrin repeat and EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15803]	232	1.0013701915740967	0.15917468	Yes	
row_27	ZBBX	zinc finger B-box domain containing [Source:HGNC Symbol;Acc:HGNC:26245]	236	0.9987018704414368	0.16431694	Yes	
row_28	RIIAD1	regulatory subunit of type II PKA R-subunit domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26686]	237	0.9982107281684875	0.16967967	Yes	
row_29	NSUN7	NOP2/Sun RNA methyltransferase family member 7 [Source:HGNC Symbol;Acc:HGNC:25857]	244	0.9923707842826843	0.17456482	Yes	
row_30	DRC1	dynein regulatory complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24245]	262	0.9662238359451294	0.17849147	Yes	
row_31	C11orf97	chromosome 11 open reading frame 97 [Source:HGNC Symbol;Acc:HGNC:49544]	266	0.9599733948707581	0.18342568	Yes	
row_32	KCNH3	potassium voltage-gated channel subfamily H member 3 [Source:HGNC Symbol;Acc:HGNC:6252]	282	0.9378188848495483	0.18734847	Yes	
row_33	LRP2BP	LRP2 binding protein [Source:HGNC Symbol;Acc:HGNC:25434]	284	0.9358304738998413	0.19230169	Yes	
row_34	CCDC74A	coiled-coil domain containing 74A [Source:HGNC Symbol;Acc:HGNC:25197]	297	0.9267325401306152	0.19638802	Yes	
row_35	DAW1	dynein assembly factor with WD repeats 1 [Source:HGNC Symbol;Acc:HGNC:26383]	309	0.9150562882423401	0.20048597	Yes	
row_36	CCDC138	coiled-coil domain containing 138 [Source:HGNC Symbol;Acc:HGNC:26531]	315	0.9116401672363281	0.20501179	Yes	
row_37	CTXN1	cortexin 1 [Source:HGNC Symbol;Acc:HGNC:31108]	323	0.8993688225746155	0.20932293	Yes	
row_38	CFAP61	cilia and flagella associated protein 61 [Source:HGNC Symbol;Acc:HGNC:15872]	327	0.8946900963783264	0.2139064	Yes	
row_39	CFAP73	cilia and flagella associated protein 73 [Source:HGNC Symbol;Acc:HGNC:37100]	333	0.8902260661125183	0.21831718	Yes	
row_40	CCDC153	coiled-coil domain containing 153 [Source:HGNC Symbol;Acc:HGNC:27446]	337	0.887622058391571	0.22286268	Yes	
row_41	CCDC96	coiled-coil domain containing 96 [Source:HGNC Symbol;Acc:HGNC:26900]	338	0.887371838092804	0.22762994	Yes	
row_42	CFAP95	cilia and flagella associated protein 95 [Source:HGNC Symbol;Acc:HGNC:31422]	353	0.8733980059623718	0.231281	Yes	
row_43	DRC3	dynein regulatory complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:25384]	359	0.8685731887817383	0.23557544	Yes	
row_44	ZDHHC11	zinc finger DHHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:19158]	360	0.8671301603317261	0.24023396	Yes	
row_45	EFCAB12	EF-hand calcium binding domain 12 [Source:HGNC Symbol;Acc:HGNC:28061]	373	0.85350501537323	0.24392687	Yes	
row_46	TEKT2	tektin 2 [Source:HGNC Symbol;Acc:HGNC:11725]	374	0.853378415107727	0.24851151	Yes	
row_47	DNAL4	dynein axonemal light chain 4 [Source:HGNC Symbol;Acc:HGNC:2955]	389	0.8429083824157715	0.25199878	Yes	
row_48	LRRC56	leucine rich repeat containing 56 [Source:HGNC Symbol;Acc:HGNC:25430]	420	0.8265661597251892	0.2542084	Yes	
row_49	FAM174A	family with sequence similarity 174 member A [Source:HGNC Symbol;Acc:HGNC:24943]	451	0.8061331510543823	0.25630823	Yes	
row_50	CCDC78	coiled-coil domain containing 78 [Source:HGNC Symbol;Acc:HGNC:14153]	454	0.8055012822151184	0.2604869	Yes	
row_51	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	457	0.8009357452392578	0.26464108	Yes	
row_52	BBS12	Bardet-Biedl syndrome 12 [Source:HGNC Symbol;Acc:HGNC:26648]	460	0.7999556064605713	0.26878998	Yes	
row_53	DNAI1	dynein axonemal intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2954]	473	0.7930952310562134	0.27215835	Yes	
row_54	MEIG1	meiosis/spermiogenesis associated 1 [Source:HGNC Symbol;Acc:HGNC:23429]	475	0.7920352816581726	0.27633905	Yes	
row_55	MORN1	MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852]	478	0.7903867959976196	0.28043655	Yes	
row_56	WDR54	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]	490	0.7797423005104065	0.28380758	Yes	
row_57	RSPH9	radial spoke head component 9 [Source:HGNC Symbol;Acc:HGNC:21057]	525	0.7610865831375122	0.28536794	Yes	
row_58	PIERCE2	piercer of microtubule wall 2 [Source:HGNC Symbol;Acc:HGNC:44654]	536	0.7543870210647583	0.2886771	Yes	
row_59	DZANK1	double zinc ribbon and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15858]	540	0.7529193758964539	0.29249892	Yes	
row_60	CCDC65	coiled-coil domain containing 65 [Source:HGNC Symbol;Acc:HGNC:29937]	549	0.7490197420120239	0.29592797	Yes	
row_61	ODAD4	outer dynein arm docking complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:25280]	554	0.7430490255355835	0.29962242	Yes	
row_62	CFAP91	cilia and flagella associated protein 91 [Source:HGNC Symbol;Acc:HGNC:24010]	593	0.7287904620170593	0.30071184	Yes	
row_63	NEK10	NIMA related kinase 10 [Source:HGNC Symbol;Acc:HGNC:18592]	594	0.7287765741348267	0.30462706	Yes	
row_64	CCDC13	coiled-coil domain containing 13 [Source:HGNC Symbol;Acc:HGNC:26358]	596	0.7283549904823303	0.30846566	Yes	
row_65	PCSK4	proprotein convertase subtilisin/kexin type 4 [Source:HGNC Symbol;Acc:HGNC:8746]	606	0.7248632907867432	0.31169057	Yes	
row_66	MDH1B	malate dehydrogenase 1B [Source:HGNC Symbol;Acc:HGNC:17836]	616	0.7186790704727173	0.31488228	Yes	
row_67	B9D2	B9 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28636]	654	0.705452561378479	0.31592065	Yes	
row_68	CFAP46	cilia and flagella associated protein 46 [Source:HGNC Symbol;Acc:HGNC:25247]	657	0.7040565609931946	0.31955436	Yes	
row_69	CFAP276	cilia and flagella associated protein 276 [Source:HGNC Symbol;Acc:HGNC:32331]	664	0.7007785439491272	0.32287297	Yes	
row_70	ZNHIT2	zinc finger HIT-type containing 2 [Source:HGNC Symbol;Acc:HGNC:1177]	666	0.6999908685684204	0.3265592	Yes	
row_71	CFAP52	cilia and flagella associated protein 52 [Source:HGNC Symbol;Acc:HGNC:16053]	681	0.6915690898895264	0.3292334	Yes	
row_72	KIF9	kinesin family member 9 [Source:HGNC Symbol;Acc:HGNC:16666]	688	0.6886729001998901	0.332487	Yes	
row_73	CCDC157	coiled-coil domain containing 157 [Source:HGNC Symbol;Acc:HGNC:33854]	692	0.68537437915802	0.33594596	Yes	
row_74	OSCP1	organic solute carrier partner 1 [Source:HGNC Symbol;Acc:HGNC:29971]	702	0.6815184950828552	0.338938	Yes	
row_75	PACRG	parkin coregulated [Source:HGNC Symbol;Acc:HGNC:19152]	703	0.6814609169960022	0.34259903	Yes	
row_76	SGMS2	sphingomyelin synthase 2 [Source:HGNC Symbol;Acc:HGNC:28395]	704	0.6804214119911194	0.3462545	Yes	
row_77	DYDC2	DPY30 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23468]	718	0.6754034757614136	0.34891623	Yes	
row_78	PRR29	proline rich 29 [Source:HGNC Symbol;Acc:HGNC:25673]	722	0.6744677424430847	0.3523166	Yes	
row_79	C4orf47	chromosome 4 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:34346]	745	0.6656836271286011	0.3542568	Yes	
row_80	SPAG17	sperm associated antigen 17 [Source:HGNC Symbol;Acc:HGNC:26620]	753	0.6624016761779785	0.3572949	Yes	
row_81	CFAP77	cilia and flagella associated protein 77 [Source:HGNC Symbol;Acc:HGNC:33776]	754	0.6621558666229248	0.3608522	Yes	
row_82	RSPH1	radial spoke head component 1 [Source:HGNC Symbol;Acc:HGNC:12371]	759	0.6608126759529114	0.36410487	Yes	
row_83	CFAP53	cilia and flagella associated protein 53 [Source:HGNC Symbol;Acc:HGNC:26530]	761	0.660682737827301	0.3675799	Yes	
