NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNGB1	cyclic nucleotide gated channel subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2151]	130	1.1996963024139404	0.011534886	Yes	
row_1	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	180	1.0745688676834106	0.026783658	Yes	
row_2	RSPH4A	radial spoke head component 4A [Source:HGNC Symbol;Acc:HGNC:21558]	182	1.0719963312149048	0.045486934	Yes	
row_3	AK7	adenylate kinase 7 [Source:HGNC Symbol;Acc:HGNC:20091]	186	1.0640846490859985	0.06390582	Yes	
row_4	DNAAF1	dynein axonemal assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30539]	187	1.0640774965286255	0.082543306	Yes	
row_5	TMEM17	transmembrane protein 17 [Source:HGNC Symbol;Acc:HGNC:26623]	201	1.0496325492858887	0.09997998	Yes	
row_6	DRC1	dynein regulatory complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24245]	262	0.9662238359451294	0.11252909	Yes	
row_7	BBS12	Bardet-Biedl syndrome 12 [Source:HGNC Symbol;Acc:HGNC:26648]	460	0.7999556064605713	0.11217765	Yes	
row_8	DNAI1	dynein axonemal intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2954]	473	0.7930952310562134	0.12519395	Yes	
row_9	TTC8	tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087]	494	0.778258204460144	0.13736711	Yes	
row_10	RSPH9	radial spoke head component 9 [Source:HGNC Symbol;Acc:HGNC:21057]	525	0.7610865831375122	0.14851043	Yes	
row_11	CCDC65	coiled-coil domain containing 65 [Source:HGNC Symbol;Acc:HGNC:29937]	549	0.7490197420120239	0.15995276	Yes	
row_12	ODAD4	outer dynein arm docking complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:25280]	554	0.7430490255355835	0.17267574	Yes	
row_13	B9D2	B9 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28636]	654	0.705452561378479	0.177814	Yes	
row_14	CEP19	centrosomal protein 19 [Source:HGNC Symbol;Acc:HGNC:28209]	655	0.7050507664680481	0.19016309	Yes	
row_15	CFAP52	cilia and flagella associated protein 52 [Source:HGNC Symbol;Acc:HGNC:16053]	681	0.6915690898895264	0.20045334	Yes	
row_16	ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	735	0.6697964072227478	0.20832083	Yes	
row_17	RSPH1	radial spoke head component 1 [Source:HGNC Symbol;Acc:HGNC:12371]	759	0.6608126759529114	0.21821819	Yes	
row_18	CFAP53	cilia and flagella associated protein 53 [Source:HGNC Symbol;Acc:HGNC:26530]	761	0.660682737827301	0.22971724	Yes	
row_19	DCDC2	doublecortin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18141]	889	0.6248850226402283	0.23140295	Yes	
row_20	INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	902	0.6207444071769714	0.24140048	Yes	
row_21	KIAA0753	KIAA0753 [Source:HGNC Symbol;Acc:HGNC:29110]	932	0.6106187701225281	0.24998125	Yes	
row_22	ARL6	ADP ribosylation factor like GTPase 6 [Source:HGNC Symbol;Acc:HGNC:13210]	1009	0.5935415625572205	0.25483626	Yes	
row_23	IFT140	intraflagellar transport 140 [Source:HGNC Symbol;Acc:HGNC:29077]	1048	0.5851737856864929	0.26231518	Yes	
row_24	HYDIN	HYDIN axonemal central pair apparatus protein [Source:HGNC Symbol;Acc:HGNC:19368]	1099	0.5753827095031738	0.26874772	Yes	
row_25	GAS8	growth arrest specific 8 [Source:HGNC Symbol;Acc:HGNC:4166]	1134	0.5700512528419495	0.2762534	Yes	
row_26	HYLS1	HYLS1 centriolar and ciliogenesis associated [Source:HGNC Symbol;Acc:HGNC:26558]	1162	0.5636906623840332	0.28415802	Yes	
row_27	IFT172	intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391]	1208	0.5544666051864624	0.29058874	Yes	
row_28	RPGRIP1L	RPGRIP1 like [Source:HGNC Symbol;Acc:HGNC:29168]	1275	0.5428070425987244	0.2952842	Yes	
row_29	CEP120	centrosomal protein 120 [Source:HGNC Symbol;Acc:HGNC:26690]	1289	0.5404492616653442	0.30380246	Yes	
row_30	RAB28	RAB28, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9768]	1297	0.538353443145752	0.31272143	Yes	
row_31	NPHP4	nephrocystin 4 [Source:HGNC Symbol;Acc:HGNC:19104]	1332	0.5326322913169861	0.31957173	Yes	
row_32	WDR19	WD repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:18340]	1396	0.5206483602523804	0.32409778	Yes	
row_33	AHI1	Abelson helper integration site 1 [Source:HGNC Symbol;Acc:HGNC:21575]	1404	0.5192658305168152	0.33268246	Yes	
row_34	NEK8	NIMA related kinase 8 [Source:HGNC Symbol;Acc:HGNC:13387]	1411	0.5188190937042236	0.3413322	Yes	
row_35	IFT81	intraflagellar transport 81 [Source:HGNC Symbol;Acc:HGNC:14313]	1449	0.5104302763938904	0.3475749	Yes	
row_36	WDR35	WD repeat domain 35 [Source:HGNC Symbol;Acc:HGNC:29250]	1505	0.5025217533111572	0.35236672	Yes	
row_37	TUB	TUB bipartite transcription factor [Source:HGNC Symbol;Acc:HGNC:12406]	1525	0.5003053545951843	0.3597444	Yes	
row_38	CCDC39	coiled-coil domain containing 39 [Source:HGNC Symbol;Acc:HGNC:25244]	1543	0.49693503975868225	0.36720887	Yes	
row_39	ANKS3	ankyrin repeat and sterile alpha motif domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29422]	1575	0.49145740270614624	0.3735567	Yes	
row_40	CCDC40	coiled-coil domain containing 40 [Source:HGNC Symbol;Acc:HGNC:26090]	1613	0.48435890674591064	0.37934273	Yes	
