NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	8	2.9695165157318115	0.0694833	Yes	
row_1	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	11	2.8565852642059326	0.13673635	Yes	
row_2	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	31	2.4608535766601562	0.19342227	Yes	
row_3	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	127	1.8625242710113525	0.23049127	Yes	
row_4	DDR2	discoidin domain receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:2731]	198	1.6797184944152832	0.2650564	Yes	
row_5	C1R	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]	220	1.6184556484222412	0.3017222	Yes	
row_6	GPNMB	glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]	373	1.3878107070922852	0.32346582	Yes	
row_7	CLIC4	chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]	395	1.3705164194107056	0.35428178	Yes	
row_8	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	411	1.3489197492599487	0.38502243	Yes	
row_9	FOLR1	folate receptor alpha [Source:HGNC Symbol;Acc:HGNC:3791]	415	1.346092939376831	0.4165648	Yes	
row_10	NUPR1	nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]	465	1.2925761938095093	0.44351554	Yes	
row_11	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	481	1.2708719968795776	0.47241473	Yes	
row_12	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	532	1.2227044105529785	0.4976445	Yes	
row_13	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	559	1.2057873010635376	0.52421206	Yes	
row_14	CRIP1	cysteine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2360]	568	1.1999375820159912	0.5519442	Yes	
