NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STON1	stonin 1 [Source:HGNC Symbol;Acc:HGNC:17003]	217	1.4995312690734863	2.0763403E-4	No	
row_1	SLC2A4	solute carrier family 2 member 4 [Source:HGNC Symbol;Acc:HGNC:11009]	242	1.456385612487793	0.014068061	No	
row_2	P2RY1	purinergic receptor P2Y1 [Source:HGNC Symbol;Acc:HGNC:8539]	445	1.22113835811615	0.012387753	No	
row_3	ARC	activity regulated cytoskeleton associated protein [Source:HGNC Symbol;Acc:HGNC:648]	866	0.9546257257461548	-0.008093997	No	
row_4	NPY	neuropeptide Y [Source:HGNC Symbol;Acc:HGNC:7955]	1333	0.7446296215057373	-0.03419167	No	
row_5	CDH2	cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]	1382	0.7272012829780579	-0.029905014	No	
row_6	LPAR1	lysophosphatidic acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:3166]	1516	0.691031277179718	-0.032222815	No	
row_7	SYT12	synaptotagmin 12 [Source:HGNC Symbol;Acc:HGNC:18381]	1633	0.6583495736122131	-0.03364771	No	
row_8	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	1762	0.6213975548744202	-0.03634645	No	
row_9	UNC13B	unc-13 homolog B [Source:HGNC Symbol;Acc:HGNC:12566]	2216	0.5212963223457336	-0.063887976	No	
row_10	OPHN1	oligophrenin 1 [Source:HGNC Symbol;Acc:HGNC:8148]	2547	0.4624986946582794	-0.08306412	No	
row_11	SNAP23	synaptosome associated protein 23 [Source:HGNC Symbol;Acc:HGNC:11131]	2561	0.4584713578224182	-0.07909906	No	
row_12	EFNB2	ephrin B2 [Source:HGNC Symbol;Acc:HGNC:3227]	2730	0.4303441345691681	-0.08677179	No	
row_13	DRD4	dopamine receptor D4 [Source:HGNC Symbol;Acc:HGNC:3025]	2771	0.4257858395576477	-0.08513189	No	
row_14	SCRIB	scribble planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:30377]	2846	0.41569143533706665	-0.08608688	No	
row_15	STX2	syntaxin 2 [Source:HGNC Symbol;Acc:HGNC:3403]	2859	0.41335999965667725	-0.082532376	No	
row_16	HIP1	huntingtin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:4913]	3054	0.38560721278190613	-0.092586346	No	
