NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRKCG	protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402]	130	0.8485499620437622	0.18884712	Yes	
row_1	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	638	0.5101038813591003	0.27141714	Yes	
row_2	PLD1	phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]	965	0.4241816997528076	0.3469796	Yes	
row_3	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	1204	0.37992599606513977	0.41855538	Yes	
row_4	GNA14	G protein subunit alpha 14 [Source:HGNC Symbol;Acc:HGNC:4382]	1606	0.3196517825126648	0.46428487	Yes	
row_5	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	2167	0.2535635232925415	0.4830986	Yes	
row_6	PRKCE	protein kinase C epsilon [Source:HGNC Symbol;Acc:HGNC:9401]	2258	0.24594862759113312	0.53405863	Yes	
row_7	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	2331	0.2377675473690033	0.5844067	Yes	
row_8	PLCB3	phospholipase C beta 3 [Source:HGNC Symbol;Acc:HGNC:9056]	2762	0.19791224598884583	0.59960324	Yes	
row_9	DNM1	dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972]	2869	0.18996989727020264	0.6363311	Yes	
row_10	GRK2	G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289]	3193	0.16678456962108612	0.65197927	Yes	
row_11	HCK	HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]	3753	0.12735779583454132	0.6413821	No	
row_12	GNG2	G protein subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:4404]	4324	0.09352444857358932	0.6220871	No	
row_13	ARRB1	arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711]	5098	0.051147572696208954	0.57823956	No	
row_14	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	5150	0.04802338033914566	0.5857771	No	
row_15	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	5317	0.03895847126841545	0.5828962	No	
row_16	GNB1	G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]	5381	0.035551030188798904	0.5866538	No	
row_17	RAB5A	RAB5A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9783]	5999	0.004384994972497225	0.5431424	No	
row_18	GNAI2	G protein subunit alpha i2 [Source:HGNC Symbol;Acc:HGNC:4385]	6170	-0.004984867759048939	0.53203607	No	
row_19	PDPK1	3-phosphoinositide dependent protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:8816]	6257	-0.009328875690698624	0.5280078	No	
row_20	ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	6661	-0.02942037209868431	0.50579166	No	
row_21	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	7370	-0.06357644498348236	0.46953943	No	
