NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MBP	myelin basic protein [Source:HGNC Symbol;Acc:HGNC:6925]	14	1.3669565916061401	0.10818833	Yes	
row_1	ASCL1	achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738]	96	0.8956186175346375	0.17388746	Yes	
row_2	PLP1	proteolipid protein 1 [Source:HGNC Symbol;Acc:HGNC:9086]	110	0.8838636875152588	0.24355625	Yes	
row_3	SOX10	SRY-box transcription factor 10 [Source:HGNC Symbol;Acc:HGNC:11190]	128	0.8508465886116028	0.3102987	Yes	
row_4	NKX2-2	NK2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7835]	212	0.7299440503120422	0.3626186	Yes	
row_5	OLIG1	oligodendrocyte transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16983]	342	0.6306516528129578	0.403686	Yes	
row_6	MOG	myelin oligodendrocyte glycoprotein [Source:HGNC Symbol;Acc:HGNC:7197]	372	0.616589367389679	0.45084864	Yes	
row_7	SOX6	SRY-box transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:16421]	470	0.571376621723175	0.4894908	Yes	
row_8	SOX8	SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]	570	0.5357299447059631	0.52514094	Yes	
row_9	MAG	myelin associated glycoprotein [Source:HGNC Symbol;Acc:HGNC:6783]	578	0.5312678217887878	0.56707585	Yes	
row_10	OLIG2	oligodendrocyte transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:9398]	677	0.49728405475616455	0.599727	Yes	
row_11	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	845	0.4523935914039612	0.6238111	Yes	
row_12	FGF2	fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]	2086	0.2637757658958435	0.5553715	No	
row_13	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	2274	0.24412353336811066	0.56137437	No	
row_14	SOX5	SRY-box transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:11201]	2759	0.1980150043964386	0.54225445	No	
row_15	OMG	oligodendrocyte myelin glycoprotein [Source:HGNC Symbol;Acc:HGNC:8135]	3604	0.1370406597852707	0.49227646	No	
row_16	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	9082	-0.15708525478839874	0.109459564	No	
row_17	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	9375	-0.17704147100448608	0.102524005	No	
row_18	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	9421	-0.18034325540065765	0.113682285	No	
row_19	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	12054	-0.5047807693481445	-0.03598839	No	
row_20	SHH	sonic hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:10848]	12519	-0.6140469312667847	-0.020429974	No	
row_21	MYT1	myelin transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7622]	12732	-0.6682621240615845	0.017650412	No	
row_22	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	13175	-0.8110001683235168	0.05053049	No	
