NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SSR4	signal sequence receptor subunit 4 [Source:HGNC Symbol;Acc:HGNC:11326]	322	1.2223776578903198	-0.008214307	Yes	
row_1	MRPL15	mitochondrial ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:14054]	391	1.1450138092041016	0.0012831668	Yes	
row_2	GARS1	glycyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:4162]	580	0.9708362817764282	-2.5597776E-4	Yes	
row_3	EEF1A2	eukaryotic translation elongation factor 1 alpha 2 [Source:HGNC Symbol;Acc:HGNC:3192]	614	0.9523093104362488	0.00937652	Yes	
row_4	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	651	0.9344251751899719	0.01856175	Yes	
row_5	SSR2	signal sequence receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:11324]	712	0.8956332206726074	0.025489548	Yes	
row_6	EIF2B2	eukaryotic translation initiation factor 2B subunit beta [Source:HGNC Symbol;Acc:HGNC:3258]	716	0.8917383551597595	0.036562584	Yes	
row_7	SEC61A1	SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]	756	0.8723593950271606	0.04474099	Yes	
row_8	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]	848	0.8229909539222717	0.04846752	Yes	
row_9	RPN1	ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]	886	0.808668315410614	0.05598646	Yes	
row_10	SEC61G	SEC61 translocon subunit gamma [Source:HGNC Symbol;Acc:HGNC:18277]	889	0.8083040118217468	0.0660764	Yes	
row_11	MRPL37	mitochondrial ribosomal protein L37 [Source:HGNC Symbol;Acc:HGNC:14034]	919	0.7920847535133362	0.07397401	Yes	
row_12	MRPL39	mitochondrial ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:14027]	932	0.7886205315589905	0.08307877	Yes	
row_13	YARS2	tyrosyl-tRNA synthetase 2 [Source:HGNC Symbol;Acc:HGNC:24249]	983	0.7713298797607422	0.08916817	Yes	
