NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NR2F2	nuclear receptor subfamily 2 group F member 2 [Source:HGNC Symbol;Acc:HGNC:7976]	136	1.869005560874939	4.4093875E-4	No	
row_1	CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	141	1.844739556312561	0.010440948	No	
row_2	PDE2A	phosphodiesterase 2A [Source:HGNC Symbol;Acc:HGNC:8777]	164	1.7413883209228516	0.018542277	No	
row_3	COL15A1	collagen type XV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2192]	209	1.6228958368301392	0.024366662	No	
row_4	TSPAN18	tetraspanin 18 [Source:HGNC Symbol;Acc:HGNC:20660]	250	1.5271300077438354	0.029950438	No	
row_5	CHRM3	cholinergic receptor muscarinic 3 [Source:HGNC Symbol;Acc:HGNC:1952]	359	1.3308390378952026	0.029444773	No	
row_6	LDB2	LIM domain binding 2 [Source:HGNC Symbol;Acc:HGNC:6533]	507	1.172426700592041	0.025190877	No	
row_7	CPNE2	copine 2 [Source:HGNC Symbol;Acc:HGNC:2315]	563	1.1297004222869873	0.027455322	No	
row_8	PTPRM	protein tyrosine phosphatase receptor type M [Source:HGNC Symbol;Acc:HGNC:9675]	570	1.126434564590454	0.03330025	No	
row_9	FKBP1A	FKBP prolyl isomerase 1A [Source:HGNC Symbol;Acc:HGNC:3711]	654	1.065286636352539	0.03314886	No	
row_10	TMTC1	transmembrane O-mannosyltransferase targeting cadherins 1 [Source:HGNC Symbol;Acc:HGNC:24099]	873	0.9326598644256592	0.022342594	No	
row_11	PTPN14	protein tyrosine phosphatase non-receptor type 14 [Source:HGNC Symbol;Acc:HGNC:9647]	1027	0.8517065048217773	0.015858399	No	
row_12	PALMD	palmdelphin [Source:HGNC Symbol;Acc:HGNC:15846]	1294	0.7383317351341248	4.4250474E-4	No	
row_13	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	1324	0.7290579080581665	0.0023808538	No	
row_14	TSPAN7	tetraspanin 7 [Source:HGNC Symbol;Acc:HGNC:11854]	1353	0.7211498022079468	0.0043485183	No	
row_15	CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]	1395	0.7075415849685669	0.005285489	No	
row_16	SHANK3	SH3 and multiple ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:14294]	1463	0.6861327290534973	0.0041934783	No	
row_17	EFNB2	ephrin B2 [Source:HGNC Symbol;Acc:HGNC:3227]	1489	0.6813893914222717	0.006159606	No	
row_18	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	1670	0.629813551902771	-0.0035457297	No	
row_19	GRB10	growth factor receptor bound protein 10 [Source:HGNC Symbol;Acc:HGNC:4564]	1797	0.5973780751228333	-0.009466135	No	
row_20	FILIP1	filamin A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21015]	1812	0.594871461391449	-0.007174911	No	
row_21	CRIM1	cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]	1986	0.555798351764679	-0.016779156	No	
row_22	CRIP2	cysteine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2361]	2013	0.5510845184326172	-0.015613582	No	
row_23	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]	2085	0.5380974411964417	-0.017825413	No	
row_24	MYADM	myeloid associated differentiation marker [Source:HGNC Symbol;Acc:HGNC:7544]	2295	0.5012875199317932	-0.03037778	No	
row_25	DOCK9	dedicator of cytokinesis 9 [Source:HGNC Symbol;Acc:HGNC:14132]	2533	0.4606408476829529	-0.045213364	No	
row_26	ARL15	ADP ribosylation factor like GTPase 15 [Source:HGNC Symbol;Acc:HGNC:25945]	2557	0.45841777324676514	-0.044344548	No	
row_27	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	2666	0.4424467980861664	-0.049807508	No	
row_28	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	2773	0.42614614963531494	-0.05521454	No	
row_29	EGFL7	EGF like domain multiple 7 [Source:HGNC Symbol;Acc:HGNC:20594]	2956	0.4010874927043915	-0.06634307	No	
row_30	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	3017	0.39380255341529846	-0.0685522	No	
row_31	RPS6KA2	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]	3198	0.37171709537506104	-0.079697736	No	
