NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NRGN	neurogranin [Source:HGNC Symbol;Acc:HGNC:8000]	3	3.9319629669189453	0.037314165	Yes	
row_1	LAMP5	lysosomal associated membrane protein family member 5 [Source:HGNC Symbol;Acc:HGNC:16097]	8	3.4220962524414062	0.069688946	Yes	
row_2	ICAM5	intercellular adhesion molecule 5 [Source:HGNC Symbol;Acc:HGNC:5348]	9	3.3631510734558105	0.101791285	Yes	
row_3	SLC17A6	solute carrier family 17 member 6 [Source:HGNC Symbol;Acc:HGNC:16703]	16	3.188960552215576	0.1317956	Yes	
row_4	GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5 [Source:HGNC Symbol;Acc:HGNC:4079]	18	3.0466127395629883	0.16080393	Yes	
row_5	RPRML	reprimo like [Source:HGNC Symbol;Acc:HGNC:32422]	38	2.4829015731811523	0.1831255	Yes	
row_6	NXPH2	neurexophilin 2 [Source:HGNC Symbol;Acc:HGNC:8076]	39	2.458134412765503	0.20658916	Yes	
row_7	CPNE4	copine 4 [Source:HGNC Symbol;Acc:HGNC:2317]	59	2.2459299564361572	0.22664876	Yes	
row_8	FGF9	fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]	62	2.2204575538635254	0.24769862	Yes	
row_9	SLC35F4	solute carrier family 35 member F4 [Source:HGNC Symbol;Acc:HGNC:19845]	76	2.1316475868225098	0.2671027	Yes	
row_10	GDA	guanine deaminase [Source:HGNC Symbol;Acc:HGNC:4212]	81	2.099364995956421	0.28685158	Yes	
row_11	CAMKV	CaM kinase like vesicle associated [Source:HGNC Symbol;Acc:HGNC:28788]	104	1.9986982345581055	0.3043336	Yes	
row_12	DRD1	dopamine receptor D1 [Source:HGNC Symbol;Acc:HGNC:3020]	121	1.9333364963531494	0.32162708	Yes	
row_13	GREM2	gremlin 2, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:17655]	131	1.8814948797225952	0.33893356	Yes	
row_14	SH2D5	SH2 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28819]	139	1.8530683517456055	0.3561138	Yes	
row_15	CCK	cholecystokinin [Source:HGNC Symbol;Acc:HGNC:1569]	181	1.6922012567520142	0.36929172	Yes	
row_16	SLC6A7	solute carrier family 6 member 7 [Source:HGNC Symbol;Acc:HGNC:11054]	198	1.6537946462631226	0.38391685	Yes	
row_17	CBLN4	cerebellin 4 precursor [Source:HGNC Symbol;Acc:HGNC:16231]	206	1.6262184381484985	0.39893177	Yes	
row_18	SV2B	synaptic vesicle glycoprotein 2B [Source:HGNC Symbol;Acc:HGNC:16874]	258	1.5085361003875732	0.409631	Yes	
row_19	PENK	proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831]	267	1.4886711835861206	0.42326042	Yes	
row_20	MAL2	mal, T cell differentiation protein 2 [Source:HGNC Symbol;Acc:HGNC:13634]	273	1.4808413982391357	0.43703276	Yes	
row_21	MYT1L	myelin transcription factor 1 like [Source:HGNC Symbol;Acc:HGNC:7623]	275	1.4787101745605469	0.45107496	Yes	
row_22	STX1A	syntaxin 1A [Source:HGNC Symbol;Acc:HGNC:11433]	291	1.439151406288147	0.4637238	Yes	
row_23	NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase [Source:HGNC Symbol;Acc:HGNC:8016]	294	1.4378852844238281	0.47730377	Yes	
row_24	JPH4	junctophilin 4 [Source:HGNC Symbol;Acc:HGNC:20156]	324	1.3886061906814575	0.4884544	Yes	
row_25	GABRD	gamma-aminobutyric acid type A receptor subunit delta [Source:HGNC Symbol;Acc:HGNC:4084]	339	1.362727165222168	0.5004463	Yes	
row_26	PHF24	PHD finger protein 24 [Source:HGNC Symbol;Acc:HGNC:29180]	348	1.345736026763916	0.5127114	Yes	
row_27	MYO5B	myosin VB [Source:HGNC Symbol;Acc:HGNC:7603]	352	1.3408207893371582	0.5252923	Yes	
row_28	SYT13	synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]	438	1.2355372905731201	0.53091884	Yes	
