NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GAO_LARGE_INTESTINE_ADULT_CJ_IMMUNE_CELLS	GAO_LARGE_INTESTINE_ADULT_CJ_IMMUNE_CELLS	Details ...	453	-0.4206937	---	---	1.0	0.0	2001	tags=39%, list=14%, signal=44%	
DESCARTES_FETAL_CEREBELLUM_MICROGLIA	DESCARTES_FETAL_CEREBELLUM_MICROGLIA	Details ...	356	-0.42496684	---	---	1.0	0.0	1593	tags=32%, list=11%, signal=36%	
HE_LIM_SUN_FETAL_LUNG_C2_APOE_POS_M2_MACROPHAGE_CELL	HE_LIM_SUN_FETAL_LUNG_C2_APOE_POS_M2_MACROPHAGE_CELL	Details ...	428	-0.2657559	---	---	1.0	0.0	2317	tags=24%, list=17%, signal=28%	
HE_LIM_SUN_FETAL_LUNG_C3_LYMPHATIC_ENDOTHELIAL_CELL	HE_LIM_SUN_FETAL_LUNG_C3_LYMPHATIC_ENDOTHELIAL_CELL	Details ...	345	-0.2986042	---	---	1.0	0.0	1400	tags=24%, list=10%, signal=26%	
ATF5_TARGET_GENES	ATF5_TARGET_GENES	Details ...	352	-0.12807678	---	---	1.0	0.0	3194	tags=24%, list=23%, signal=31%	
HES4_TARGET_GENES	HES4_TARGET_GENES	Details ...	497	-0.11457462	---	---	1.0	0.0	2577	tags=16%, list=19%, signal=19%	
PRDM4_TARGET_GENES	PRDM4_TARGET_GENES	Details ...	457	-0.20556635	---	---	1.0	0.0	1679	tags=19%, list=12%, signal=20%	
TAF9B_TARGET_GENES	TAF9B_TARGET_GENES	Details ...	449	-0.1710658	---	---	1.0	0.0	3055	tags=24%, list=22%, signal=30%	
GOBP_LEUKOCYTE_DIFFERENTIATION	GOBP_LEUKOCYTE_DIFFERENTIATION	Details ...	402	-0.2530191	---	---	1.0	0.0	1770	tags=23%, list=13%, signal=25%	
GOBP_POST_TRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION	GOBP_POST_TRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION	Details ...	461	-0.16084255	---	---	1.0	0.0	2511	tags=18%, list=18%, signal=22%	
GOBP_POSITIVE_REGULATION_OF_CELL_DEATH	GOBP_POSITIVE_REGULATION_OF_CELL_DEATH	Details ...	460	-0.24175297	---	---	1.0	0.0	2292	tags=25%, list=17%, signal=29%	
GOBP_BLOOD_VESSEL_MORPHOGENESIS	GOBP_BLOOD_VESSEL_MORPHOGENESIS	Details ...	463	-0.32567465	---	---	1.0	0.0	1764	tags=31%, list=13%, signal=34%	
GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE	Details ...	446	-0.31448796	---	---	1.0	0.0	1923	tags=25%, list=14%, signal=28%	
GOBP_CELLULAR_RESPONSE_TO_LIPID	GOBP_CELLULAR_RESPONSE_TO_LIPID	Details ...	434	-0.20780256	---	---	1.0	0.0	2164	tags=23%, list=16%, signal=27%	
GOMF_CELL_ADHESION_MOLECULE_BINDING	GOMF_CELL_ADHESION_MOLECULE_BINDING	Details ...	466	-0.24707468	---	---	1.0	0.0	2435	tags=32%, list=18%, signal=37%	
HP_ABNORMAL_PERIPHERAL_NERVOUS_SYSTEM_MORPHOLOGY	HP_ABNORMAL_PERIPHERAL_NERVOUS_SYSTEM_MORPHOLOGY	Details ...	482	-0.1946109	---	---	1.0	0.0	2016	tags=18%, list=15%, signal=20%	
HP_SKELETAL_MUSCLE_ATROPHY	HP_SKELETAL_MUSCLE_ATROPHY	Details ...	484	-0.16803882	---	---	1.0	0.0	1944	tags=16%, list=14%, signal=18%	
HP_ABNORMAL_IMMUNE_SYSTEM_MORPHOLOGY	HP_ABNORMAL_IMMUNE_SYSTEM_MORPHOLOGY	Details ...	490	-0.25608253	---	---	1.0	0.0	2599	tags=27%, list=19%, signal=32%	
HP_ABNORMAL_URINE_METABOLITE_LEVEL	HP_ABNORMAL_URINE_METABOLITE_LEVEL	Details ...	432	-0.16788042	---	---	1.0	0.0	2029	tags=17%, list=15%, signal=19%	
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE	FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE	Details ...	126	-0.7198507	-3.3444726	0.0	0.0	0.0	1298	tags=56%, list=9%, signal=61%	
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_ENDOTHELIAL	FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_ENDOTHELIAL		352	-0.6341151	-3.2904184	0.0	0.0	0.0	2003	tags=53%, list=14%, signal=61%	
FAN_OVARY_CL7_ANGEIOGENIC_ENDOTHELIAL_CELL	FAN_OVARY_CL7_ANGEIOGENIC_ENDOTHELIAL_CELL		251	-0.64514107	-3.2849925	0.0	0.0	0.0	1796	tags=51%, list=13%, signal=57%	
DESCARTES_FETAL_CEREBRUM_VASCULAR_ENDOTHELIAL_CELLS	DESCARTES_FETAL_CEREBRUM_VASCULAR_ENDOTHELIAL_CELLS		356	-0.5810094	-3.244982	0.0	0.0	0.0	2004	tags=47%, list=14%, signal=53%	
ZHONG_PFC_MAJOR_TYPES_MICROGLIA	ZHONG_PFC_MAJOR_TYPES_MICROGLIA		418	-0.5366683	-3.1111495	0.0	0.0	0.0	2385	tags=45%, list=17%, signal=53%	
HU_FETAL_RETINA_FIBROBLAST	HU_FETAL_RETINA_FIBROBLAST		351	-0.5704704	-3.1033604	0.0	0.0	0.0	1944	tags=50%, list=14%, signal=57%	
FAN_EMBRYONIC_CTX_BRAIN_MYELOID	FAN_EMBRYONIC_CTX_BRAIN_MYELOID		113	-0.66883373	-3.0490441	0.0	0.0	0.0	865	tags=44%, list=6%, signal=47%	
FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA	FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA		357	-0.55512995	-3.048975	0.0	0.0	0.0	2632	tags=49%, list=19%, signal=59%	
RUBENSTEIN_SKELETAL_MUSCLE_ENDOTHELIAL_CELLS	RUBENSTEIN_SKELETAL_MUSCLE_ENDOTHELIAL_CELLS		135	-0.6587748	-3.041998	0.0	0.0	0.0	1837	tags=53%, list=13%, signal=61%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		89	-0.67963743	-3.0367305	0.0	0.0	0.0	2184	tags=54%, list=16%, signal=64%	
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MACROPHAGES	DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MACROPHAGES		78	-0.69502735	-3.0247529	0.0	0.0	0.0	1546	tags=58%, list=11%, signal=65%	
MENON_FETAL_KIDNEY_10_IMMUNE_CELLS	MENON_FETAL_KIDNEY_10_IMMUNE_CELLS		78	-0.6863125	-3.009696	0.0	0.0	0.0	1938	tags=54%, list=14%, signal=62%	
RUBENSTEIN_SKELETAL_MUSCLE_PCV_ENDOTHELIAL_CELLS	RUBENSTEIN_SKELETAL_MUSCLE_PCV_ENDOTHELIAL_CELLS		225	-0.56920636	-2.944733	0.0	0.0	0.0	2336	tags=48%, list=17%, signal=57%	
FAN_OVARY_CL2_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_1	FAN_OVARY_CL2_PUTATIVE_EARLY_ATRETIC_FOLLICLE_THECAL_CELL_1		98	-0.653085	-2.898377	0.0	0.0	0.0	2891	tags=57%, list=21%, signal=72%	
GOCC_MHC_PROTEIN_COMPLEX	GOCC_MHC_PROTEIN_COMPLEX		20	-0.9099164	-2.893975	0.0	0.0	0.0	531	tags=75%, list=4%, signal=78%	
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PERICYTES	DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PERICYTES		78	-0.69491625	-2.8864572	0.0	0.0	0.0	1673	tags=59%, list=12%, signal=67%	
RUBENSTEIN_SKELETAL_MUSCLE_FAP_CELLS	RUBENSTEIN_SKELETAL_MUSCLE_FAP_CELLS		171	-0.6147204	-2.8660872	0.0	0.0	0.0	1307	tags=43%, list=9%, signal=47%	
