NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC18A3	solute carrier family 18 member A3 [Source:HGNC Symbol;Acc:HGNC:10936]	6	1.951778531074524	0.042572383	Yes	
row_1	MIR7-3HG	MIR7-3 host gene [Source:HGNC Symbol;Acc:HGNC:30049]	21	1.577446460723877	0.07631511	Yes	
row_2	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	24	1.45531165599823	0.108238205	Yes	
row_3	PTGER3	prostaglandin E receptor 3 [Source:HGNC Symbol;Acc:HGNC:9595]	28	1.4092825651168823	0.13907439	Yes	
row_4	TMOD1	tropomodulin 1 [Source:HGNC Symbol;Acc:HGNC:11871]	50	1.2042434215545654	0.16408499	Yes	
row_5	PRSS3	serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]	55	1.157723307609558	0.18930532	Yes	
row_6	ZCCHC12	zinc finger CCHC-type containing 12 [Source:HGNC Symbol;Acc:HGNC:27273]	72	1.0664820671081543	0.21164347	Yes	
row_7	KCNQ5	potassium voltage-gated channel subfamily Q member 5 [Source:HGNC Symbol;Acc:HGNC:6299]	107	0.9727791547775269	0.23060937	Yes	
row_8	NOS1AP	nitric oxide synthase 1 adaptor protein [Source:HGNC Symbol;Acc:HGNC:16859]	192	0.8340646028518677	0.24288677	Yes	
row_9	PLD5	phospholipase D family member 5 [Source:HGNC Symbol;Acc:HGNC:26879]	283	0.7570664882659912	0.25303164	Yes	
row_10	ELAVL2	ELAV like RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3313]	317	0.7358101606369019	0.26684847	Yes	
row_11	SLC1A6	solute carrier family 1 member 6 [Source:HGNC Symbol;Acc:HGNC:10944]	321	0.73188316822052	0.2827579	Yes	
row_12	SEZ6L	seizure related 6 homolog like [Source:HGNC Symbol;Acc:HGNC:10763]	341	0.7126542925834656	0.2970814	Yes	
row_13	SH2D3C	SH2 domain containing 3C [Source:HGNC Symbol;Acc:HGNC:16884]	369	0.6999107003211975	0.310543	Yes	
row_14	TOX2	TOX high mobility group box family member 2 [Source:HGNC Symbol;Acc:HGNC:16095]	370	0.6998716592788696	0.32596496	Yes	
row_15	SMIM18	small integral membrane protein 18 [Source:HGNC Symbol;Acc:HGNC:42973]	398	0.6861740946769714	0.33912387	Yes	
row_16	CELF5	CUGBP Elav-like family member 5 [Source:HGNC Symbol;Acc:HGNC:14058]	400	0.6848652362823486	0.3541425	Yes	
row_17	MPP3	MAGUK p55 scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:7221]	421	0.6753926873207092	0.3675723	Yes	
row_18	ERC2	ELKS/RAB6-interacting/CAST family member 2 [Source:HGNC Symbol;Acc:HGNC:31922]	461	0.6567984223365784	0.37921223	Yes	
row_19	PLPPR5	phospholipid phosphatase related 5 [Source:HGNC Symbol;Acc:HGNC:31703]	518	0.6263884902000427	0.38894728	Yes	
row_20	TMEM130	transmembrane protein 130 [Source:HGNC Symbol;Acc:HGNC:25429]	601	0.5964243412017822	0.39613345	Yes	
row_21	RGS7	regulator of G protein signaling 7 [Source:HGNC Symbol;Acc:HGNC:10003]	615	0.5917074680328369	0.40822765	Yes	
row_22	ACTL6B	actin like 6B [Source:HGNC Symbol;Acc:HGNC:160]	625	0.5886802077293396	0.42054573	Yes	
row_23	SYT5	synaptotagmin 5 [Source:HGNC Symbol;Acc:HGNC:11513]	640	0.5841101408004761	0.4323999	Yes	
row_24	PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	661	0.5762902498245239	0.44364592	Yes	
row_25	ARHGEF28	Rho guanine nucleotide exchange factor 28 [Source:HGNC Symbol;Acc:HGNC:30322]	742	0.5555451512336731	0.45007658	Yes	
row_26	CELF4	CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]	744	0.5549381375312805	0.46223223	Yes	
row_27	CARMIL2	capping protein regulator and myosin 1 linker 2 [Source:HGNC Symbol;Acc:HGNC:27089]	833	0.5319314002990723	0.46756145	Yes	
row_28	GPR22	G protein-coupled receptor 22 [Source:HGNC Symbol;Acc:HGNC:4477]	891	0.519914984703064	0.47487766	Yes	
row_29	SCN3A	sodium voltage-gated channel alpha subunit 3 [Source:HGNC Symbol;Acc:HGNC:10590]	938	0.5079597234725952	0.4827294	Yes	
row_30	OGDHL	oxoglutarate dehydrogenase L [Source:HGNC Symbol;Acc:HGNC:25590]	976	0.5012840628623962	0.49108782	Yes	
row_31	DIRAS2	DIRAS family GTPase 2 [Source:HGNC Symbol;Acc:HGNC:19323]	984	0.49939608573913574	0.50158376	Yes	
row_32	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	1026	0.49219733476638794	0.5094514	Yes	
row_33	SCN2A	sodium voltage-gated channel alpha subunit 2 [Source:HGNC Symbol;Acc:HGNC:10588]	1091	0.4784662127494812	0.51534575	Yes	
row_34	POU2F2	POU class 2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9213]	1099	0.47793713212013245	0.52536887	Yes	
row_35	AKR1C2	aldo-keto reductase family 1 member C2 [Source:HGNC Symbol;Acc:HGNC:385]	1113	0.475020170211792	0.5348918	Yes	
row_36	FAM241B	family with sequence similarity 241 member B [Source:HGNC Symbol;Acc:HGNC:23519]	1147	0.46765056252479553	0.54279965	Yes	
row_37	PIANP	PILR alpha associated neural protein [Source:HGNC Symbol;Acc:HGNC:25338]	1177	0.4623602032661438	0.55088145	Yes	
row_38	CDK5R2	cyclin dependent kinase 5 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:1776]	1198	0.4570654332637787	0.55950034	Yes	
row_39	GCHFR	GTP cyclohydrolase I feedback regulator [Source:HGNC Symbol;Acc:HGNC:4194]	1219	0.4522433876991272	0.5680129	Yes	
row_40	SAMD14	sterile alpha motif domain containing 14 [Source:HGNC Symbol;Acc:HGNC:27312]	1276	0.4421524107456207	0.5736882	Yes	
row_41	RYR2	ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]	1281	0.44163548946380615	0.5831293	Yes	
row_42	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3 [Source:HGNC Symbol;Acc:HGNC:3365]	1327	0.4353659749031067	0.58945405	Yes	
row_43	GPR137C	G protein-coupled receptor 137C [Source:HGNC Symbol;Acc:HGNC:25445]	1343	0.4317358732223511	0.597878	Yes	
row_44	REEP1	receptor accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:25786]	1365	0.42829832434654236	0.6057903	Yes	
row_45	PNMA6A	PNMA family member 6A [Source:HGNC Symbol;Acc:HGNC:28248]	1425	0.42135682702064514	0.6107895	Yes	
row_46	NALF1	NALCN channel auxiliary factor 1 [Source:HGNC Symbol;Acc:HGNC:33877]	1507	0.41032668948173523	0.6139475	Yes	
row_47	RAB6B	RAB6B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14902]	1618	0.39627641439437866	0.6146895	Yes	
row_48	YPEL4	yippee like 4 [Source:HGNC Symbol;Acc:HGNC:18328]	1668	0.3891410231590271	0.61970514	Yes	
row_49	PTGFR	prostaglandin F receptor [Source:HGNC Symbol;Acc:HGNC:9600]	1766	0.37683558464050293	0.62096304	Yes	
row_50	DNM3	dynamin 3 [Source:HGNC Symbol;Acc:HGNC:29125]	1781	0.37504294514656067	0.62821037	Yes	
