NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F12	coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]	244	0.7900895476341248	0.03895142	No	
row_1	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	1893	0.363099068403244	-0.054144803	No	
row_2	F8	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]	2317	0.32037124037742615	-0.061770394	No	
row_3	CD59	CD59 molecule (CD59 blood group) [Source:HGNC Symbol;Acc:HGNC:1689]	4092	0.1983766406774521	-0.17576987	No	
row_4	CFD	complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]	4975	0.157820463180542	-0.22820908	No	
row_5	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	5249	0.14534999430179596	-0.237529	No	
row_6	PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	5484	0.13535839319229126	-0.24474597	No	
row_7	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	7610	0.05107196420431137	-0.394662	No	
row_8	KLKB1	kallikrein B1 [Source:HGNC Symbol;Acc:HGNC:6371]	8094	0.03166992589831352	-0.42730024	No	
row_9	CD46	CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]	8688	0.006856356281787157	-0.46966532	No	
row_10	C5	complement C5 [Source:HGNC Symbol;Acc:HGNC:1331]	9341	-0.022951951250433922	-0.51514155	No	
row_11	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	10014	-0.05435546860098839	-0.5598141	No	
row_12	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	10181	-0.06361784785985947	-0.5672547	No	
row_13	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	11065	-0.1152038723230362	-0.62281835	No	
row_14	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	11141	-0.11967042833566666	-0.61966795	No	
row_15	C1QB	complement C1q B chain [Source:HGNC Symbol;Acc:HGNC:1242]	11318	-0.13225893676280975	-0.6229152	No	
row_16	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	11372	-0.13565176725387573	-0.6170303	No	
row_17	C1QC	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	11685	-0.16097144782543182	-0.62804997	No	
row_18	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	11695	-0.16188405454158783	-0.61710644	No	
row_19	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	12188	-0.20514632761478424	-0.6379709	No	
row_20	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	12358	-0.22382837533950806	-0.63415426	No	
row_21	F13A1	coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]	12882	-0.3058737516403198	-0.6500451	Yes	
row_22	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	13013	-0.3353175222873688	-0.63542515	Yes	
row_23	F2R	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	13095	-0.3536033034324646	-0.6159544	Yes	
row_24	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	13168	-0.37362539768218994	-0.5943992	Yes	
row_25	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	13347	-0.43465176224708557	-0.576134	Yes	
row_26	C5AR1	complement C5a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1338]	13439	-0.47164615988731384	-0.54893184	Yes	
row_27	VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	13446	-0.474373459815979	-0.51539135	Yes	
row_28	MASP1	MBL associated serine protease 1 [Source:HGNC Symbol;Acc:HGNC:6901]	13447	-0.47490179538726807	-0.48137945	Yes	
row_29	C7	complement C7 [Source:HGNC Symbol;Acc:HGNC:1346]	13480	-0.49149563908576965	-0.44849172	Yes	
row_30	C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	13556	-0.5397253632545471	-0.41525748	Yes	
row_31	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	13599	-0.5629379153251648	-0.37797585	Yes	
row_32	THBD	thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]	13654	-0.6043840646743774	-0.33859316	Yes	
row_33	CFI	complement factor I [Source:HGNC Symbol;Acc:HGNC:5394]	13696	-0.6505203247070312	-0.2949667	Yes	
row_34	C1R	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]	13716	-0.6682711243629456	-0.24847904	Yes	
row_35	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	13735	-0.692500650882721	-0.2001838	Yes	
row_36	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	13813	-0.8582686185836792	-0.14428037	Yes	
row_37	SERPINA5	serpin family A member 5 [Source:HGNC Symbol;Acc:HGNC:8723]	13814	-0.8645026683807373	-0.0823657	Yes	
row_38	F5	coagulation factor V [Source:HGNC Symbol;Acc:HGNC:3542]	13868	-1.2105993032455444	5.05715E-4	Yes	
