NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZNF423	zinc finger protein 423 [Source:HGNC Symbol;Acc:HGNC:16762]	88	1.2540093660354614	0.052782048	No	
row_1	BBS4	Bardet-Biedl syndrome 4 [Source:HGNC Symbol;Acc:HGNC:969]	742	0.6259102821350098	0.02571327	No	
row_2	LZTFL1	leucine zipper transcription factor like 1 [Source:HGNC Symbol;Acc:HGNC:6741]	1249	0.4628882110118866	0.0036708864	No	
row_3	CCDC66	coiled-coil domain containing 66 [Source:HGNC Symbol;Acc:HGNC:27709]	1282	0.4548679292201996	0.022809578	No	
row_4	MAPK15	mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]	1449	0.41397178173065186	0.02822395	No	
row_5	ARL13B	ADP ribosylation factor like GTPase 13B [Source:HGNC Symbol;Acc:HGNC:25419]	1581	0.39152905344963074	0.035624947	No	
row_6	WDR19	WD repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:18340]	2256	0.2802683413028717	-0.009960841	No	
row_7	CDK20	cyclin dependent kinase 20 [Source:HGNC Symbol;Acc:HGNC:21420]	2686	0.2283349484205246	-0.036566567	No	
row_8	SPATA7	spermatogenesis associated 7 [Source:HGNC Symbol;Acc:HGNC:20423]	2963	0.20064742863178253	-0.05109055	No	
row_9	TTC21B	tetratricopeptide repeat domain 21B [Source:HGNC Symbol;Acc:HGNC:25660]	3201	0.17708873748779297	-0.06333096	No	
row_10	ARL3	ADP ribosylation factor like GTPase 3 [Source:HGNC Symbol;Acc:HGNC:694]	3241	0.1739228516817093	-0.058360256	No	
row_11	TBC1D32	TBC1 domain family member 32 [Source:HGNC Symbol;Acc:HGNC:21485]	3271	0.17147693037986755	-0.052630592	No	
row_12	TCTN1	tectonic family member 1 [Source:HGNC Symbol;Acc:HGNC:26113]	3524	0.15117867290973663	-0.06743647	No	
row_13	DZIP1	DAZ interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:20908]	3636	0.14158186316490173	-0.07034017	No	
row_14	CCDC88A	coiled-coil domain containing 88A [Source:HGNC Symbol;Acc:HGNC:25523]	3950	0.1169658824801445	-0.092146106	No	
row_15	WDR35	WD repeat domain 35 [Source:HGNC Symbol;Acc:HGNC:29250]	4340	0.08846701681613922	-0.12199187	No	
row_16	RAB11FIP3	RAB11 family interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:17224]	4583	0.07094400376081467	-0.13979168	No	
row_17	ROM1	retinal outer segment membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10254]	4586	0.07079003751277924	-0.13655183	No	
row_18	FAM149B1	family with sequence similarity 149 member B1 [Source:HGNC Symbol;Acc:HGNC:29162]	5231	0.032217562198638916	-0.19147387	No	
row_19	IFT20	intraflagellar transport 20 [Source:HGNC Symbol;Acc:HGNC:30989]	5409	0.021935058757662773	-0.20593786	No	
row_20	ARF4	ADP ribosylation factor 4 [Source:HGNC Symbol;Acc:HGNC:655]	5476	0.018511110916733742	-0.21083274	No	
row_21	BBS1	Bardet-Biedl syndrome 1 [Source:HGNC Symbol;Acc:HGNC:966]	5582	0.01309926901012659	-0.21940887	No	
row_22	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17842]	5833	-2.4720808141864836E-4	-0.241321	No	
row_23	CSNK1D	casein kinase 1 delta [Source:HGNC Symbol;Acc:HGNC:2452]	5844	-7.674628868699074E-4	-0.24216095	No	
row_24	TMEM107	transmembrane protein 107 [Source:HGNC Symbol;Acc:HGNC:28128]	6308	-0.02633429318666458	-0.2814938	No	
row_25	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	6895	-0.06346490979194641	-0.32982194	No	
row_26	EHD1	EH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3242]	6952	-0.0670802891254425	-0.33149666	No	
row_27	CC2D2A	coiled-coil and C2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:29253]	7325	-0.09158031642436981	-0.3597014	No	
row_28	RAB29	RAB29, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9789]	7412	-0.09651550650596619	-0.36258692	No	
row_29	IFT122	intraflagellar transport 122 [Source:HGNC Symbol;Acc:HGNC:13556]	7438	-0.09931191056966782	-0.35998803	No	
row_30	ATP6V1D	ATPase H+ transporting V1 subunit D [Source:HGNC Symbol;Acc:HGNC:13527]	8135	-0.159596249461174	-0.41332492	No	
row_31	ODAD4	outer dynein arm docking complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:25280]	8177	-0.16213904321193695	-0.40909812	No	
row_32	RAB8A	RAB8A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:7007]	9310	-0.27757367491722107	-0.4949788	Yes	
row_33	DNAAF11	dynein axonemal assembly factor 11 [Source:HGNC Symbol;Acc:HGNC:16725]	9355	-0.2839285731315613	-0.48513937	Yes	
row_34	ZDHHC3	zinc finger DHHC-type palmitoyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:18470]	9500	-0.3048819601535797	-0.4830587	Yes	
row_35	IFT140	intraflagellar transport 140 [Source:HGNC Symbol;Acc:HGNC:29077]	9622	-0.32375508546829224	-0.47805047	Yes	
row_36	ENTR1	endosome associated trafficking regulator 1 [Source:HGNC Symbol;Acc:HGNC:10667]	9666	-0.3295683264732361	-0.46592146	Yes	
row_37	TTC21A	tetratricopeptide repeat domain 21A [Source:HGNC Symbol;Acc:HGNC:30761]	9864	-0.36178532242774963	-0.4657434	Yes	
row_38	INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	9868	-0.3625032603740692	-0.44851762	Yes	
row_39	BBS9	Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000]	9891	-0.36720913648605347	-0.43273106	Yes	
row_40	RABEP1	rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]	9897	-0.3682974576950073	-0.41540113	Yes	
row_41	IFT80	intraflagellar transport 80 [Source:HGNC Symbol;Acc:HGNC:29262]	10114	-0.41375434398651123	-0.41438207	Yes	
row_42	GDI2	GDP dissociation inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:4227]	10128	-0.4175109267234802	-0.39537942	Yes	
row_43	DYNC2H1	dynein cytoplasmic 2 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2962]	10256	-0.4460750222206116	-0.3849961	Yes	
row_44	CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]	10402	-0.48997753858566284	-0.3740732	Yes	
row_45	EFCAB7	EF-hand calcium binding domain 7 [Source:HGNC Symbol;Acc:HGNC:29379]	10488	-0.5188478827476501	-0.35649574	Yes	
row_46	BBIP1	BBSome interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:28093]	10584	-0.5496545433998108	-0.33830893	Yes	
row_47	SNX10	sorting nexin 10 [Source:HGNC Symbol;Acc:HGNC:14974]	10702	-0.5938743948936462	-0.3199181	Yes	
row_48	ARL6	ADP ribosylation factor like GTPase 6 [Source:HGNC Symbol;Acc:HGNC:13210]	10771	-0.6248296499252319	-0.29573673	Yes	
row_49	NPHP4	nephrocystin 4 [Source:HGNC Symbol;Acc:HGNC:19104]	11024	-0.7728307247161865	-0.2805512	Yes	
row_50	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	11314	-1.1059808731079102	-0.25253767	Yes	
row_51	TUB	TUB bipartite transcription factor [Source:HGNC Symbol;Acc:HGNC:12406]	11382	-1.3059477806091309	-0.19540825	Yes	
row_52	GAS8	growth arrest specific 8 [Source:HGNC Symbol;Acc:HGNC:4166]	11398	-1.385733962059021	-0.12986937	Yes	
row_53	TCTN2	tectonic family member 2 [Source:HGNC Symbol;Acc:HGNC:25774]	11456	-2.7954964637756348	-1.4536181E-7	Yes	
