NAME	TITLE	SCORE	
ZSCAN5A	zinc finger and SCAN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:23710]	2.5349777	
IGSF21	immunoglobin superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:28246]	2.4317412	
NUBPL	NUBP iron-sulfur cluster assembly factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:20278]	2.2952244	
SLC22A6	solute carrier family 22 member 6 [Source:HGNC Symbol;Acc:HGNC:10970]	2.276181	
CFAP251	cilia and flagella associated protein 251 [Source:HGNC Symbol;Acc:HGNC:28506]	2.2634223	
ZNF717	zinc finger protein 717 [Source:HGNC Symbol;Acc:HGNC:29448]	2.221772	
FRMD4B	FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]	2.1326318	
BBS10	Bardet-Biedl syndrome 10 [Source:HGNC Symbol;Acc:HGNC:26291]	2.1094198	
ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	2.1060288	
PPP1R16B	protein phosphatase 1 regulatory subunit 16B [Source:HGNC Symbol;Acc:HGNC:15850]	2.0137372	
FIZ1	FLT3 interacting zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:25917]	1.9749944	
ARHGEF33	Rho guanine nucleotide exchange factor 33 [Source:HGNC Symbol;Acc:HGNC:37252]	1.9590071	
BRCC3	BRCA1/BRCA2-containing complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:24185]	1.9369814	
METTL18	methyltransferase like 18 [Source:HGNC Symbol;Acc:HGNC:28793]	1.9138153	
ZNF740	zinc finger protein 740 [Source:HGNC Symbol;Acc:HGNC:27465]	1.8848094	
TMEM8B	transmembrane protein 8B [Source:HGNC Symbol;Acc:HGNC:21427]	1.8844492	
RASSF1	Ras association domain family member 1 [Source:HGNC Symbol;Acc:HGNC:9882]	1.8691386	
HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]	1.866833	
TMEM192	transmembrane protein 192 [Source:HGNC Symbol;Acc:HGNC:26775]	1.805576	
KLHL26	kelch like family member 26 [Source:HGNC Symbol;Acc:HGNC:25623]	1.7934675	
INSR	insulin receptor [Source:HGNC Symbol;Acc:HGNC:6091]	1.7854297	
WDR5	WD repeat domain 5 [Source:HGNC Symbol;Acc:HGNC:12757]	1.7772684	
GNA12	G protein subunit alpha 12 [Source:HGNC Symbol;Acc:HGNC:4380]	1.7729379	
ZFAND4	zinc finger AN1-type containing 4 [Source:HGNC Symbol;Acc:HGNC:23504]	1.7706794	
INIP	INTS3 and NABP interacting protein [Source:HGNC Symbol;Acc:HGNC:24994]	1.7676363	
ZNF146	zinc finger protein 146 [Source:HGNC Symbol;Acc:HGNC:12931]	1.7582966	
TLE3	TLE family member 3, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11839]	1.7318883	
PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	1.7306023	
UBALD2	UBA like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28438]	1.7227222	
HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	1.6907293	
SEMA7A	semaphorin 7A (John Milton Hagen blood group) [Source:HGNC Symbol;Acc:HGNC:10741]	1.6815515	
ABLIM3	actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]	1.6786305	
CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	1.6637547	
FAM118A	family with sequence similarity 118 member A [Source:HGNC Symbol;Acc:HGNC:1313]	1.6572155	
KLF15	KLF transcription factor 15 [Source:HGNC Symbol;Acc:HGNC:14536]	1.6402221	
DMTF1	cyclin D binding myb like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:14603]	1.6397238	
HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	1.6253074	
LKAAEAR1	LKAAEAR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:33718]	1.6033398	
MED13L	mediator complex subunit 13L [Source:HGNC Symbol;Acc:HGNC:22962]	1.5987234	
KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	1.5698221	
ACBD4	acyl-CoA binding domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23337]	1.5604689	
BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:1096]	1.5559374	
TPRA1	transmembrane protein adipocyte associated 1 [Source:HGNC Symbol;Acc:HGNC:30413]	1.5540675	
ADGRB3-DT	ADGRB3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55774]	1.5466866	
FRAT1	FRAT regulator of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:3944]	1.5436509	
MAPKAPK3	MAPK activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6888]	1.5282719	
RIMS4	regulating synaptic membrane exocytosis 4 [Source:HGNC Symbol;Acc:HGNC:16183]	1.5240628	
AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	1.5117395	
R3HDM2	R3H domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29167]	1.5007706	
ISG20L2	interferon stimulated exonuclease gene 20 like 2 [Source:HGNC Symbol;Acc:HGNC:25745]	1.4960219	
NKAIN2	sodium/potassium transporting ATPase interacting 2 [Source:HGNC Symbol;Acc:HGNC:16443]	1.4829227	
RAD51D	RAD51 paralog D [Source:HGNC Symbol;Acc:HGNC:9823]	1.4813447	
