NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5 [Source:HGNC Symbol;Acc:HGNC:4079]	6	1.7817842960357666	0.06939013	Yes	
row_1	PCDH8	protocadherin 8 [Source:HGNC Symbol;Acc:HGNC:8660]	26	1.497019648551941	0.120237626	Yes	
row_2	UNC13C	unc-13 homolog C [Source:HGNC Symbol;Acc:HGNC:23149]	33	1.445426344871521	0.17592384	Yes	
row_3	CNR1	cannabinoid receptor 1 [Source:HGNC Symbol;Acc:HGNC:2159]	43	1.3475371599197388	0.22602014	Yes	
row_4	RIMS2	regulating synaptic membrane exocytosis 2 [Source:HGNC Symbol;Acc:HGNC:17283]	54	1.2909752130508423	0.2732781	Yes	
row_5	SNAP91	synaptosome associated protein 91 [Source:HGNC Symbol;Acc:HGNC:14986]	71	1.2059648036956787	0.31386915	Yes	
row_6	NRXN1	neurexin 1 [Source:HGNC Symbol;Acc:HGNC:8008]	77	1.1722487211227417	0.35895944	Yes	
row_7	SLC6A11	solute carrier family 6 member 11 [Source:HGNC Symbol;Acc:HGNC:11044]	89	1.1307260990142822	0.3991546	Yes	
row_8	SCN2A	sodium voltage-gated channel alpha subunit 2 [Source:HGNC Symbol;Acc:HGNC:10588]	100	1.0992698669433594	0.4386021	Yes	
row_9	SYT1	synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509]	133	1.0026259422302246	0.46236622	Yes	
row_10	CNTN1	contactin 1 [Source:HGNC Symbol;Acc:HGNC:2171]	147	0.984419584274292	0.49553278	Yes	
row_11	EFNB3	ephrin B3 [Source:HGNC Symbol;Acc:HGNC:3228]	158	0.962287962436676	0.52939934	Yes	
row_12	KCNC1	potassium voltage-gated channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:6233]	209	0.8616212010383606	0.5378084	Yes	
row_13	PCDH17	protocadherin 17 [Source:HGNC Symbol;Acc:HGNC:14267]	226	0.8296341300010681	0.56306696	Yes	
row_14	SLC1A2	solute carrier family 1 member 2 [Source:HGNC Symbol;Acc:HGNC:10940]	230	0.819806694984436	0.59486586	Yes	
row_15	RGS9	regulator of G protein signaling 9 [Source:HGNC Symbol;Acc:HGNC:10004]	245	0.7971502542495728	0.61986876	Yes	
row_16	GAD2	glutamate decarboxylase 2 [Source:HGNC Symbol;Acc:HGNC:4093]	296	0.7181710004806519	0.62243336	Yes	
row_17	STX3	syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438]	301	0.7100156545639038	0.64922523	Yes	
row_18	SNAP25	synaptosome associated protein 25 [Source:HGNC Symbol;Acc:HGNC:11132]	317	0.691219687461853	0.6693784	Yes	
row_19	STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	335	0.6673864722251892	0.6874928	Yes	
row_20	GPM6A	glycoprotein M6A [Source:HGNC Symbol;Acc:HGNC:4460]	359	0.6479310393333435	0.70161104	Yes	
row_21	SLC4A8	solute carrier family 4 member 8 [Source:HGNC Symbol;Acc:HGNC:11034]	397	0.6124727129936218	0.70681006	Yes	
row_22	SLC6A1	solute carrier family 6 member 1 [Source:HGNC Symbol;Acc:HGNC:11042]	461	0.5383065342903137	0.69510585	No	
row_23	NPTN	neuroplastin [Source:HGNC Symbol;Acc:HGNC:17867]	509	0.47207164764404297	0.6892456	No	
row_24	ITSN1	intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183]	760	0.25443464517593384	0.56613606	No	
row_25	FXYD6	FXYD domain containing ion transport regulator 6 [Source:HGNC Symbol;Acc:HGNC:4030]	956	0.10403699427843094	0.4662637	No	
row_26	PICALM	phosphatidylinositol binding clathrin assembly protein [Source:HGNC Symbol;Acc:HGNC:15514]	1039	0.04055418074131012	0.42413592	No	
row_27	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	1388	-0.2785320580005646	0.2496857	No	
row_28	KCTD12	potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]	1390	-0.27942636609077454	0.26053622	No	
row_29	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	1410	-0.3016078472137451	0.26268017	No	
