NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4685]	60	1.6664098501205444	0.005615309	No	
row_1	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	177	1.2872228622436523	-0.008557053	No	
row_2	LUZP1	leucine zipper protein 1 [Source:HGNC Symbol;Acc:HGNC:14985]	301	1.0466110706329346	-0.027702672	No	
row_3	PTCH1	patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]	315	1.020906925201416	-0.017948855	No	
row_4	PDGFRA	platelet derived growth factor receptor alpha [Source:HGNC Symbol;Acc:HGNC:8803]	338	0.9862437844276428	-0.011035219	No	
row_5	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	533	0.7646141052246094	-0.05269724	No	
row_6	TSPYL2	TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]	714	0.6158775687217712	-0.09256318	No	
row_7	NR2F2	nuclear receptor subfamily 2 group F member 2 [Source:HGNC Symbol;Acc:HGNC:7976]	844	0.5305632948875427	-0.11997991	No	
row_8	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:HGNC Symbol;Acc:HGNC:11098]	866	0.5190104246139526	-0.1188456	No	
row_9	DOCK1	dedicator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:2987]	935	0.4732680022716522	-0.13079314	No	
row_10	TP53I3	tumor protein p53 inducible protein 3 [Source:HGNC Symbol;Acc:HGNC:19373]	1043	0.41300174593925476	-0.15388447	No	
row_11	CYTH3	cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504]	1270	0.3067282736301422	-0.20997448	No	
row_12	TUSC3	tumor suppressor candidate 3 [Source:HGNC Symbol;Acc:HGNC:30242]	1284	0.2996360659599304	-0.20955248	No	
row_13	FKBP9	FKBP prolyl isomerase 9 [Source:HGNC Symbol;Acc:HGNC:3725]	1334	0.27706295251846313	-0.21898936	No	
row_14	RBMS3	RNA binding motif single stranded interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:13427]	1417	0.24355314671993256	-0.2376294	No	
row_15	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:HGNC Symbol;Acc:HGNC:11097]	1475	0.21590985357761383	-0.24998343	No	
row_16	PLXNC1	plexin C1 [Source:HGNC Symbol;Acc:HGNC:9106]	1497	0.20919831097126007	-0.25285748	No	
row_17	MIR99AHG	mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]	1585	0.17867518961429596	-0.27366564	No	
row_18	KCTD12	potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]	1632	0.16134536266326904	-0.28380242	No	
row_19	PTN	pleiotrophin [Source:HGNC Symbol;Acc:HGNC:9630]	1722	0.12629549205303192	-0.30581975	No	
row_20	NOTCH3	notch receptor 3 [Source:HGNC Symbol;Acc:HGNC:7883]	1744	0.11614331603050232	-0.30989775	No	
row_21	PRSS23	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	1757	0.1126665249466896	-0.31162903	No	
row_22	SPON1	spondin 1 [Source:HGNC Symbol;Acc:HGNC:11252]	1769	0.11024077981710434	-0.3131259	No	
row_23	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	1775	0.1078750342130661	-0.31305894	No	
row_24	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	1801	0.09852073341608047	-0.31842792	No	
row_25	MEF2C	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	1841	0.08626987040042877	-0.32767585	No	
row_26	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9388]	1848	0.08386583626270294	-0.32818526	No	
row_27	NFIA	nuclear factor I A [Source:HGNC Symbol;Acc:HGNC:7784]	1853	0.0816609337925911	-0.3281917	No	
row_28	FGFR2	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]	1909	0.058997705578804016	-0.34204438	No	
row_29	MAGED2	MAGE family member D2 [Source:HGNC Symbol;Acc:HGNC:16353]	1964	0.029889626428484917	-0.35600793	No	
row_30	LY6E	lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]	1974	0.02609500288963318	-0.35806203	No	
row_31	LTBP4	latent transforming growth factor beta binding protein 4 [Source:HGNC Symbol;Acc:HGNC:6717]	1999	0.019595595076680183	-0.36418638	No	
row_32	S100A13	S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]	2031	0.00699773570522666	-0.37233394	No	
row_33	ROCK2	Rho associated coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:10252]	2061	-0.00531659135594964	-0.37997177	No	
row_34	RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	2172	-0.04811353236436844	-0.4085813	No	
row_35	MEST	mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028]	2183	-0.05107145383954048	-0.41057798	No	
row_36	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	2194	-0.056425221264362335	-0.4125054	No	
row_37	FGFR1	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]	2262	-0.07807288318872452	-0.42930025	No	
row_38	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]	2465	-0.15569263696670532	-0.48096645	No	
row_39	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	2508	-0.17488643527030945	-0.4898651	No	
row_40	EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]	2557	-0.19023782014846802	-0.50015956	No	
row_41	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	2638	-0.21731381118297577	-0.5186076	No	
row_42	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	2773	-0.2716057300567627	-0.5507034	No	
row_43	EML4	EMAP like 4 [Source:HGNC Symbol;Acc:HGNC:1316]	2806	-0.28410694003105164	-0.5555315	No	
row_44	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	2807	-0.2841072678565979	-0.55185574	No	
row_45	EPS8	epidermal growth factor receptor pathway substrate 8 [Source:HGNC Symbol;Acc:HGNC:3420]	2880	-0.3159559965133667	-0.56690156	No	
row_46	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	2913	-0.33542412519454956	-0.57106566	No	
