NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS26	ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:10414]	1640	0.11898837238550186	-0.49092183	No	
row_1	RPL36AL	ribosomal protein L36a like [Source:HGNC Symbol;Acc:HGNC:10346]	2083	-0.1116086021065712	-0.6210902	No	
row_2	FAU	FAU ubiquitin like and ribosomal protein S30 fusion [Source:HGNC Symbol;Acc:HGNC:3597]	2304	-0.24172236025333405	-0.68086857	No	
row_3	RPL26	ribosomal protein L26 [Source:HGNC Symbol;Acc:HGNC:10327]	2366	-0.2785036563873291	-0.6917509	Yes	
row_4	RPL6	ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]	2373	-0.2844981849193573	-0.68590057	Yes	
row_5	RPL24	ribosomal protein L24 [Source:HGNC Symbol;Acc:HGNC:10325]	2390	-0.2937370538711548	-0.6828145	Yes	
row_6	RPL14	ribosomal protein L14 [Source:HGNC Symbol;Acc:HGNC:10305]	2410	-0.3023902475833893	-0.6803994	Yes	
row_7	RPL37A	ribosomal protein L37a [Source:HGNC Symbol;Acc:HGNC:10348]	2421	-0.30839115381240845	-0.6751111	Yes	
row_8	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]	2441	-0.3215762674808502	-0.6721796	Yes	
row_9	RPL35	ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:10344]	2443	-0.32213085889816284	-0.6638098	Yes	
row_10	RPL9	ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:10369]	2450	-0.3278517425060272	-0.6567925	Yes	
row_11	RPL3	ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332]	2452	-0.32850056886672974	-0.64825124	Yes	
row_12	RPS27A	ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417]	2468	-0.3363901674747467	-0.6437158	Yes	
row_13	RPL21	ribosomal protein L21 [Source:HGNC Symbol;Acc:HGNC:10313]	2469	-0.3380476236343384	-0.63461626	Yes	
row_14	RPL27	ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:10328]	2478	-0.34138309955596924	-0.6278373	Yes	
row_15	RPL15	ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:10306]	2480	-0.34273406863212585	-0.61891294	Yes	
row_16	RPS10	ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383]	2481	-0.3427927494049072	-0.60968566	Yes	
row_17	RPS16	ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:10396]	2483	-0.34312403202056885	-0.6007508	Yes	
row_18	RPL22	ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]	2504	-0.351078063249588	-0.5973264	Yes	
row_19	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]	2509	-0.35291269421577454	-0.58903193	Yes	
row_20	RPL5	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]	2515	-0.35678741335868835	-0.58093446	Yes	
row_21	RPL34	ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:10340]	2529	-0.36660319566726685	-0.5749831	Yes	
row_22	RPL35A	ribosomal protein L35a [Source:HGNC Symbol;Acc:HGNC:10345]	2549	-0.3815538287162781	-0.57043713	Yes	
row_23	RPL18	ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]	2550	-0.3823206424713135	-0.56014585	Yes	
