NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	62		
HALLMARK_HYPOXIA	200	77		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	24		
HALLMARK_MITOTIC_SPINDLE	199	55		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42		Rejected!	
HALLMARK_TGF_BETA_SIGNALING	54	16		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87		Rejected!	
HALLMARK_DNA_REPAIR	150	33		
HALLMARK_G2M_CHECKPOINT	200	32		
HALLMARK_APOPTOSIS	161	61		
HALLMARK_NOTCH_SIGNALING	32		Rejected!	
HALLMARK_ADIPOGENESIS	200	55		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	57		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	52		
HALLMARK_ANDROGEN_RESPONSE	101	34		
HALLMARK_MYOGENESIS	200	52		
HALLMARK_PROTEIN_SECRETION	96	38		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	28		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	48		
HALLMARK_APICAL_JUNCTION	200	47		
HALLMARK_APICAL_SURFACE	44		Rejected!	
HALLMARK_HEDGEHOG_SIGNALING	36		Rejected!	
HALLMARK_COMPLEMENT	200	47		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	35		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	29		
HALLMARK_MTORC1_SIGNALING	200	83		
HALLMARK_E2F_TARGETS	200	41		
HALLMARK_MYC_TARGETS_V1	200	76		
HALLMARK_MYC_TARGETS_V2	58		Rejected!	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	66		
HALLMARK_INFLAMMATORY_RESPONSE	200	34		
HALLMARK_XENOBIOTIC_METABOLISM	200	46		
HALLMARK_FATTY_ACID_METABOLISM	158	43		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	66		
HALLMARK_GLYCOLYSIS	200	52		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	23		
HALLMARK_P53_PATHWAY	200	67		
HALLMARK_UV_RESPONSE_UP	158	60		
HALLMARK_UV_RESPONSE_DN	144	36		
HALLMARK_ANGIOGENESIS	36		Rejected!	
HALLMARK_HEME_METABOLISM	200	49		
HALLMARK_COAGULATION	138	29		
HALLMARK_IL2_STAT5_SIGNALING	199	52		
