NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
KCNMB2	1	KCNMB2	
GATD3	1	GATD3A	
AOX1	1	AOX1	
SOSTDC1	1	SOSTDC1	
CHRM5	1	CHRM5	
TAC3	1	TAC3	
SOX14	1	SOX14	
FAM237A	1	FAM237A	
LUM	1	LUM	
CRH	1	CRH	
LINC01116	1	LINC01116	
ADAMTS2	1	ADAMTS2	
NTS	1	NTS	
LYPD6	1	LYPD6	
CBLN4	1	CBLN4	
FRAS1	1	FRAS1	
LHX1	1	LHX1	
THSD7B	1	THSD7B	
INHBA	1	INHBA	
ANXA3	1	ANXA3	
STC1	1	STC1	
KCNK15	1	KCNK15	
PRSS23	1	PRSS23	
KANSL1-AS1	1	KANSL1-AS1	
DCC	1	DCC	
CLIC5	1	CLIC5	
FRMPD1	1	FRMPD1	
ZNF563	1	ZNF563	
PENK	1	PENK	
LINC02574	1	LINC02574	
LOXL1-AS1	1	LOXL1-AS1	
KCNK4	1	KCNK4	
PRR15	1	PRR15	
ARX	1	ARX	
NDNF	1	NDNF	
LMO2	1	LMO2	
OR2L13	1	OR2L13	
SULT1A2	1	SULT1A2	
CNTN6	1	CNTN6	
KCTD4	1	KCTD4	
LINC00652	1	LINC00652	
WNT2	1	WNT2	
PTH2R	1	PTH2R	
ELAVL2	1	ELAVL2	
RSPO3	1	RSPO3	
TRPC5	1	TRPC5	
CDHR1	1	CDHR1	
NPAS1	1	NPAS1	
COL25A1	1	COL25A1	
NPR3	1	NPR3	
BEND4	1	BEND4	
MOBP	1	MOBP	
SYCE1	1	SYCE1	
NKILA	1	NKILA	
NEUROD1	1	NEUROD1	
QRFPR	1	QRFPR	
NUAK1	1	NUAK1	
CNTN5	1	CNTN5	
ADAM19	1	ADAM19	
COL11A1	1	COL11A1	
GRB14	1	GRB14	
ABTB3	1	BTBD11	
MC4R	1	MC4R	
LRRC37A2	1	LRRC37A2	
RTL1	1	RTL1	
CHODL	1	CHODL	
DYSF	1	DYSF	
SLC10A4	1	SLC10A4	
CASC15	1	CASC15	
TRAPPC10	1	TRAPPC10	
PLCH1	1	PLCH1	
COL12A1	1	COL12A1	
NDST3	1	NDST3	
FCGBP	1	FCGBP	
KLK10	1	KLK10	
IGF2BP2	1	IGF2BP2	
CYP26B1	1	CYP26B1	
CDH12	1	CDH12	
TDRD5	1	TDRD5	
VWA5B1	1	VWA5B1	
INSYN1-AS1	1	INSYN1-AS1	
RAD54B	1	RAD54B	
ESR1	1	ESR1	
ERMN	1	ERMN	
MRAP2	1	MRAP2	
PHOSPHO2	1	PHOSPHO2	
FERMT1	1	FERMT1	
TFPI2	1	TFPI2	
LINC01260	1	LINC01260	
GPRIN2	1	GPRIN2	
LORICRIN	1	LOR	
ZNF536	1	ZNF536	
TMEM132E	1	TMEM132E	
ALDH1A1	1	ALDH1A1	
ZC3H12A-DT	1	LINC01137	
C2orf88	1	C2orf88	
CCDC3	1	CCDC3	
SBF2-AS1	1	SBF2-AS1	
BAIAP2L2	1	BAIAP2L2	
MAFIP	1	MAFIP	
HCG27	1	HCG27	
HMCN1	1	HMCN1	
PROKR1	1	PROKR1	
ABTB2	1	ABTB2	
PAX8-AS1	1	PAX8-AS1	
GPR83	1	GPR83	
BEAN1	1	BEAN1	
HS3ST2	1	HS3ST2	
PLCXD3	1	PLCXD3	
PPARGC1A	1	PPARGC1A	
COL5A2	1	COL5A2	
SLC35E2B	1	SLC35E2B	
LINC01852	1	LINC01852	
TLL1	1	TLL1	
SFRP5	1	SFRP5	
SST	1	SST	
DLX1	1	DLX1	
LCMT2	1	LCMT2	
CALCR	1	CALCR	
POU3F1	1	POU3F1	
LHX5	1	LHX5	
CACNA2D3	1	CACNA2D3	
VWC2L	1	VWC2L	
AMIGO2	1	AMIGO2	
CHRNA4	1	CHRNA4	
RASGRP1	1	RASGRP1	
HEXIM2	1	HEXIM2	
OMG	1	OMG	
SKAP1	1	SKAP1	
KCNH5	1	KCNH5	
LINC01322	1	LINC01322	
PMEPA1	1	PMEPA1	
LAIR2	1	LAIR2	
INSYN2A	1	INSYN2A	
ADRA1B	1	ADRA1B	
KRT8	1	KRT8	
REPS2	1	REPS2	
IL21R-AS1	1	IL21R-AS1	
CHD1-DT	1	LINC02062	
SYT10	1	SYT10	
SLIT3	1	SLIT3	
SAPCD2	1	SAPCD2	
TTF2	1	TTF2	
CMTR2	1	CMTR2	
CDKL1	1	CDKL1	
AASS	1	AASS	
ST6GALNAC3	1	ST6GALNAC3	
SMIM32	1	SMIM32	
FXYD2	1	FXYD2	
SAMD11	1	SAMD11	
FMN1	1	FMN1	
TNNI3K	1	TNNI3K	
RFC3	1	RFC3	
WNT10B	1	WNT10B	
ZNF285	1	ZNF285	
ZNF385D	1	ZNF385D	
ALG1L1P	1	ALG1L	
KCNB2	1	KCNB2	
