,PWP2,TAC1,IGFBP5,NTRK3,MYT1L,DLG4,SHANK3,MC4R,VSNL1,SNCA,RAB3B,TNRC6B,CRHR2,RNF152
cluster 1,,F > M,,F < M,,F < M,F < M,,F > M,F > M,F > M,,,F > M
cluster 2,,,,,,,,F < M,,,F > M,,,
cluster 3,F < M,F > M,,,,,,,,,,F < M,,
cluster 4,,F > M,F < M,,,F < M,,F < M,,F < M,,F < M,,
cluster 5,,F > M,F < M,F < M,F < M,F > M,F < M,F < M,,,F > M,F < M,F < M,
cluster 6,F > M,F > M,F < M,,F < M,,F < M,,,,,F < M,,
cluster 7,,,,,,,F > M,,,,,F < M,,
cluster 8,F > M,F > M,,F < M,,,,,,,,F < M,,F < M
cluster 9,,F > M,,F < M,,,F > M,,F < M,,F < M,,,
cluster 10,,F > M,F < M,,F < M,F < M,F < M,F < M,F < M,,,,,
cluster 11,,F > M,,,,,,F > M,,,,,F > M,
cluster 12,,,,,,,,,,,,,,
cluster 13,,,F < M,,F < M,,,F < M,F < M,,,,,
cluster 14,,,,,,,,,,,,,,
cluster 15,,,,,,,,,,,,,,
cluster 16,,,,,F < M,F < M,,,,,,,,
cluster 17,,,,,,,,,,,,,,
cluster 18,,,,,,,,,F < M,,,,,
cluster 19,,,,,,,,,,,,,,
