Barcode,Cluster
aaabemfo-1,2
aaackpae-1,2
aaaclbfa-1,2
aaaejjkl-1,2
aaafcigo-1,2
aaaffhhf-1,2
aaafmfbj-1,3
aaagkboj-1,2
aaagmflb-1,1
aaahhglb-1,2
aaaiomeh-1,2
aaajenai-1,3
aaajglan-1,2
aaalfjba-1,2
aaaljmgo-1,1
aaalofch-1,2
aaamofgd-1,2
aaanhmco-1,3
aaankoha-1,3
aaaodhno-1,2
aaapccaf-1,1
aaapmaef-1,3
aabadfpi-1,2
aabaeafa-1,3
aabclkje-1,2
aabdbaog-1,2
aabdooid-1,2
aabfnibi-1,3
aabhbdnh-1,1
aabhljgh-1,2
aabiellk-1,2
aabkgnba-1,2
aabobjdm-1,1
aabomfdf-1,3
aabommea-1,1
aabpbico-1,4
aacbioic-1,3
aacdcekm-1,1
aacdohcp-1,2
aacdphka-1,3
aacfpcgf-1,3
aachklgd-1,2
aackhimf-1,2
aaclblpc-1,2
aacldncp-1,2
aaclecnh-1,2
aacmekfk-1,1
aacomkln-1,1
aacongpp-1,3
aacpapkg-1,1
aacpklgg-1,3
aadaflpe-1,1
aadaolph-1,3
aadbfmhh-1,3
aadcdkbh-1,2
aaddbcda-1,3
aadencmf-1,2
aadflkff-1,3
aadfmakk-1,3
aadhkbfj-1,3
aadiaknb-1,2
aadkaoml-1,2
aadkoepj-1,1
aadlgelm-1,1
aadmflnb-1,1
aadnimmm-1,2
aadoippo-1,4
aadokkgp-1,1
aadomgfm-1,1
aadpddfj-1,1
aaeamidb-1,2
aaebfpjg-1,2
aaecejed-1,4
aaedbmfd-1,1
aaefekgl-1,1
aaegblbh-1,1
aaegibki-1,1
aaehlfjh-1,1
aaejjnln-1,1
aaekaogh-1,3
aaelbpbn-1,2
aaelfoaj-1,4
aaemcehm-1,1
aaepfjli-1,1
aaepiige-1,2
aafcbohe-1,1
aafflkgn-1,1
aafgkjei-1,4
aafhfofn-1,2
aafilacc-1,1
aaflgagk-1,1
aafmfblk-1,2
