Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000069431,ABCC9,0.3021295119713037,1.251388497010452,0,0.12689731975055663,-1.251388497010452,0
ENSG00000123612,ACVR1C,0.3403831093959285,-0.8665704085786199,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002870518940167588,0.6206513931362401,0.8665704085786199,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002870518940167588
ENSG00000151388,ADAMTS12,0.03519534846329569,0.7406602147804753,0.00000000000000000000000000006331964500381378,0.021057996784002903,-0.7406602147804753,0.0000000000000000000000000000633196450036986
ENSG00000145536,ADAMTS16,0.01136649197293981,0.3641860325259971,0.0006656518890218531,0.008830116525852425,-0.3641860325259971,0.0006656518890218531
ENSG00000156140,ADAMTS3,0.029766956556936543,0.6410044689566528,0.000000000000000000000038753994462986853,0.019084445394584273,-0.6410044689566528,0.000000000000000000000038753994462801807
ENSG00000197381,ADARB1,0.24305433620162997,-1.1374446675518095,0,0.5347306970793858,1.1374446675518095,0
ENSG00000141433,ADCYAP1,0.17862722474963033,-1.731429335186238,0,0.5932047866998924,1.731429335186238,0
ENSG00000120907,ADRA1A,0.5861898696627547,0.39233352291363643,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000001018691921605251,0.4466126448363746,-0.39233352291363643,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000001018691921605251
ENSG00000170214,ADRA1B,0.06638948786885247,-0.47402070509388095,0.0000000000000000000000000025254191840212543,0.09222792214674894,0.47402070509388095,0.0000000000000000000000000025254191840304415
ENSG00000159723,AGRP,0.016667456839243578,-1.8608189168459406,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014986021459295282,0.060610408134825745,1.8608189168459406,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014986021459295282
ENSG00000204472,AIF1,0.4338126151645324,1.4277470383484112,0,0.16124118310456328,-1.4277470383484112,0
