Barcode,Cluster
aaaaofcp-1,2
aaabfgpj-1,2
aaacifap-1,2
aaaddjhf-1,2
aaaegakj-1,2
aaafhddp-1,2
aaagmnei-1,2
aaagpack-1,1
aaahahbm-1,2
aaahlhng-1,2
aaaiepbj-1,2
aaangcgn-1,4
aaaogmbg-1,2
aaaopphe-1,4
aaapppmk-1,2
aabakcdo-1,2
aabaphjo-1,2
aabchaep-1,2
aabcliea-1,2
aabcnlai-1,2
aabdejdb-1,2
aabegfao-1,2
aabficng-1,2
aabgelkp-1,4
aabheeje-1,1
aabjcppf-1,5
aabjdkek-1,2
aabjojdd-1,1
aabjpjck-1,4
aabkcgmj-1,1
aabkggca-1,4
aabkiopc-1,2
aabklcej-1,2
aabmofpn-1,4
aabnbgok-1,4
aabodefo-1,5
aabpcfka-1,4
aabpemdj-1,2
aabplckl-1,4
aacaagfp-1,2
aacacail-1,4
aacacmkb-1,4
aaccfgli-1,2
aaccnihc-1,2
aaccpgkl-1,2
aacdogoj-1,2
aaceielo-1,2
aachnhll-1,2
aacjgnoo-1,2
aacjjpfm-1,2
aacjloll-1,2
aaclkboj-1,5
aacnonlg-1,5
aacofpma-1,2
aadalboh-1,2
aadbmeem-1,2
aaddgfck-1,2
aaddload-1,4
aaddnpjo-1,2
aadedcbg-1,2
aadelpng-1,4
aadepgkm-1,5
aadfajmb-1,4
aadfofjg-1,1
aadgnogd-1,2
aadjkdll-1,5
aadkblae-1,4
aadkfhkb-1,1
aadknjbp-1,2
aadlkjja-1,5
aadloaai-1,4
aadmbhjn-1,2
aadmdlca-1,3
aadmkanj-1,1
aaeabgpp-1,1
aaebmibe-1,1
aaecbggf-1,2
aaeciiml-1,1
aaeckmcd-1,5
aaeeodmk-1,5
aaeffgmj-1,1
aaefhbpd-1,5
aaefhcia-1,1
aaegaoeo-1,1
aaegnlnd-1,2
aaeipoac-1,1
aaekehmc-1,3
aaeklkei-1,1
aaelfifh-1,1
aaemijme-1,1
aaemjfoo-1,5
aaemogda-1,1
aaenloif-1,1
aaenoaac-1,4
aaeoobin-1,5
aaepcmhf-1,2
aaepgklh-1,5
aaepkcmp-1,2
aafajbhk-1,1
aafakkaf-1,4
aafaoplg-1,2
aafbhmba-1,1
aafbinpn-1,2
aafccpan-1,4
aafclmgn-1,2
aafcnnhi-1,1
aafdlbmf-1,2
aafeondc-1,4
aaffdihc-1,5
aaffnjbh-1,5
aafifcfn-1,5
aafinmjh-1,4
aafjebcc-1,5
aaflnmio-1,4
aaflpgih-1,5
aafmecom-1,6
aafnajke-1,5
aafpmdnc-1,4
aagaedce-1,4
aagbaike-1,1
aagcobfe-1,4
aagdacdj-1,1
aagdkleg-1,2
aagdknbi-1,2
aagdmkpg-1,2
aagechgg-1,3
aagfphlf-1,4
aaggdghb-1,1
aaghfaoo-1,2
aagiebfh-1,4
aagimbed-1,1
aagjchih-1,2
aagjknkk-1,5
aaglclfk-1,1
aaglkkng-1,4
aagomiej-1,4
aagophdk-1,2
aahebogg-1,1
aaheepgk-1,1
aahfjaeh-1,1
aahgbmdf-1,2
aahgkmgi-1,6
aahhepcb-1,4
aahioeoa-1,1
aahkacmo-1,1
aahkmcip-1,6
aahmbngf-1,2
aahmjbaa-1,1
aahmlmgh-1,2
aahmlmpe-1,5
aahmmfic-1,4
aahmppnk-1,1
aahpohbo-1,4
aaiacehb-1,2
aaidjcai-1,5
aaidmden-1,4
aaieabin-1,2
aaighdai-1,6
aaiifkjj-1,2
aaiihccb-1,2
aaijphce-1,5
aaikjfag-1,1
aailcnae-1,1
aailhcje-1,4
aailljnf-1,5
aainafab-1,1
aainbnjo-1,2
aaincccm-1,1
aaiodlpa-1,3
aaioeggp-1,1
aaipdekh-1,2
aaipdepn-1,4
aajacmnn-1,1
aajbfplg-1,1
aajbojck-1,1
aajcncbe-1,2
aajdbkhm-1,1
aajdhifg-1,4
aajdjega-1,4
aajepjpa-1,1
aajfagkp-1,1
aajhalfc-1,4
aajhehim-1,1
aajhfoki-1,2
aajhmffg-1,6
aajiolea-1,4
aajjfpno-1,2
aajjjbmi-1,2
aajjlefa-1,1
aajlaoco-1,1
aajmbhah-1,1
aajmdlhk-1,1
aajmgmdc-1,1
aajmikjk-1,4
aajmppdo-1,5
aajnhobo-1,1
aajnoldl-1,4
aajpinbi-1,1
aajpmhpd-1,1
aakajaai-1,1
aakakebb-1,2
aakbegli-1,6
aakbehdo-1,1
aakdohko-1,4
aakefpne-1,1
aakhabab-1,3
aakhajig-1,4
aakhklbd-1,1
aakinadb-1,3
aakjgdbk-1,2
aaklicbo-1,3
aakmckgj-1,5
aakmdapn-1,2
aakmphej-1,1
aaknpbek-1,5
aakpbogh-1,1
aakpjegg-1,1
aalaminn-1,1
aalanngf-1,1
aalbeflp-1,2
aalceope-1,1
aalcomio-1,1
aalddepm-1,1
aaldoppp-1,1
aalhakka-1,1
aalinbkn-1,1
aaljmnin-1,4
aalknlho-1,2
aalmhhmd-1,1
aalpcieb-1,1
aalpgijh-1,1
aalpjnpd-1,1
aamcbkkb-1,1
aamcbngj-1,1
aamdlbbg-1,1
aameicei-1,1
aamgbkpo-1,3
aamghdco-1,3
aamhdpmo-1,4
