NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DERL1	derlin 1 [Source:HGNC Symbol;Acc:HGNC:28454]	2810	0.4199654161930084	-0.19200857	No	
row_1	DCLK1	doublecortin like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2700]	4958	0.2020878791809082	-0.34188685	No	
row_2	PSMD11	proteasome 26S subunit, non-ATPase 11 [Source:HGNC Symbol;Acc:HGNC:9556]	6567	0.0774276852607727	-0.456113	No	
row_3	PTGES3	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	6953	0.047105997800827026	-0.48269892	No	
row_4	GNS	glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]	7536	0.0038628121837973595	-0.5246873	No	
row_5	ANXA3	annexin A3 [Source:HGNC Symbol;Acc:HGNC:541]	8833	-0.10452722012996674	-0.61562514	No	
row_6	TMED10	transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]	9288	-0.1435941755771637	-0.6446241	No	
row_7	RASA3	RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:HGNC:20331]	9555	-0.16727161407470703	-0.65939415	No	
row_8	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	10385	-0.2550804018974304	-0.7125363	No	
row_9	HBA1	hemoglobin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823]	10759	-0.30208298563957214	-0.731444	No	
row_10	MGST1	microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]	11026	-0.34059011936187744	-0.7415848	No	
row_11	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]	11136	-0.355649471282959	-0.7399688	No	
row_12	MT1F	metallothionein 1F [Source:HGNC Symbol;Acc:HGNC:7398]	11221	-0.3672731816768646	-0.7362342	No	
row_13	VAT1	vesicle amine transport 1 [Source:HGNC Symbol;Acc:HGNC:16919]	11309	-0.381992906332016	-0.73232347	No	
row_14	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	11731	-0.4559609591960907	-0.7505927	Yes	
row_15	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	11803	-0.47009342908859253	-0.7431717	Yes	
row_16	GPNMB	glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]	11897	-0.4883747100830078	-0.73685354	Yes	
row_17	IL33	interleukin 33 [Source:HGNC Symbol;Acc:HGNC:16028]	12084	-0.5292565226554871	-0.73616934	Yes	
row_18	HCST	hematopoietic cell signal transducer [Source:HGNC Symbol;Acc:HGNC:16977]	12279	-0.5762530565261841	-0.73480856	Yes	
row_19	NPC2	NPC intracellular cholesterol transporter 2 [Source:HGNC Symbol;Acc:HGNC:14537]	12288	-0.5797627568244934	-0.71990204	Yes	
row_20	MPEG1	macrophage expressed 1 [Source:HGNC Symbol;Acc:HGNC:29619]	12501	-0.6356374621391296	-0.7182569	Yes	
row_21	EFCAB14	EF-hand calcium binding domain 14 [Source:HGNC Symbol;Acc:HGNC:29051]	12568	-0.654373824596405	-0.7055523	Yes	
row_22	LAPTM5	lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]	12700	-0.6979816555976868	-0.69638383	Yes	
row_23	H1-2	H1.2 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4716]	12706	-0.6992420554161072	-0.6780692	Yes	
row_24	RNF213	ring finger protein 213 [Source:HGNC Symbol;Acc:HGNC:14539]	12735	-0.7055749297142029	-0.66124874	Yes	
row_25	C1QC	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	12747	-0.7082048058509827	-0.6431286	Yes	
row_26	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	12899	-0.7735387086868286	-0.6333885	Yes	
row_27	C1QB	complement C1q B chain [Source:HGNC Symbol;Acc:HGNC:1242]	12964	-0.8026813864707947	-0.61657804	Yes	
row_28	FCGR2A	Fc gamma receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616]	13011	-0.8216767311096191	-0.59795845	Yes	
row_29	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	13159	-0.8895103335380554	-0.5848316	Yes	
row_30	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	13165	-0.893778920173645	-0.5613209	Yes	
row_31	LITAF	lipopolysaccharide induced TNF factor [Source:HGNC Symbol;Acc:HGNC:16841]	13199	-0.9131630659103394	-0.53931755	Yes	
row_32	EFEMP1	EGF containing fibulin extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218]	13242	-0.9363033771514893	-0.51734704	Yes	
row_33	PCSK6	proprotein convertase subtilisin/kexin type 6 [Source:HGNC Symbol;Acc:HGNC:8569]	13292	-0.9684361219406128	-0.49502456	Yes	
row_34	APOD	apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]	13371	-1.00715970993042	-0.4737651	Yes	
row_35	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	13416	-1.0423235893249512	-0.4491075	Yes	
row_36	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	13509	-1.113972783088684	-0.42600766	Yes	
row_37	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	13529	-1.1315726041793823	-0.3971582	Yes	
row_38	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	13566	-1.1644138097763062	-0.36866108	Yes	
row_39	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	13571	-1.168100118637085	-0.33775118	Yes	
row_40	MSN	moesin [Source:HGNC Symbol;Acc:HGNC:7373]	13580	-1.1815921068191528	-0.3067702	Yes	
row_41	LYZ	lysozyme [Source:HGNC Symbol;Acc:HGNC:6740]	13590	-1.190333366394043	-0.2756281	Yes	
row_42	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	13631	-1.2416446208953857	-0.24535745	Yes	
row_43	CLIC4	chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]	13709	-1.3557907342910767	-0.21471398	Yes	
row_44	VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	13769	-1.4968990087509155	-0.1789998	Yes	
row_45	TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	13792	-1.5734727382659912	-0.13856445	Yes	
row_46	GFAP	glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]	13803	-1.60837984085083	-0.0963289	Yes	
row_47	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	13828	-1.7575535774230957	-0.051121525	Yes	
row_48	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	13856	-2.038553237915039	0.0013742032	Yes	
