NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	191	1.060808777809143	-0.006570846	No	
row_1	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	199	1.0527958869934082	3.6987523E-4	No	
row_2	CCN2	cellular communication network factor 2 [Source:HGNC Symbol;Acc:HGNC:2500]	395	0.839097797870636	-0.008066303	No	
row_3	LOX	lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]	401	0.8365952968597412	-0.0025094396	No	
row_4	FKBP11	FKBP prolyl isomerase 11 [Source:HGNC Symbol;Acc:HGNC:18624]	531	0.7569197416305542	-0.0066607837	No	
row_5	NDN	necdin, MAGE family member [Source:HGNC Symbol;Acc:HGNC:7675]	539	0.7536789178848267	-0.0018386949	No	
row_6	TP53I3	tumor protein p53 inducible protein 3 [Source:HGNC Symbol;Acc:HGNC:19373]	690	0.6872358322143555	-0.0080321655	No	
row_7	ZFPM2	zinc finger protein, FOG family member 2 [Source:HGNC Symbol;Acc:HGNC:16700]	859	0.632651150226593	-0.015939591	No	
row_8	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	1004	0.5944370627403259	-0.022347907	No	
row_9	HSD17B6	hydroxysteroid 17-beta dehydrogenase 6 [Source:HGNC Symbol;Acc:HGNC:23316]	1034	0.5887694358825684	-0.020316165	No	
row_10	SEPTIN6	septin 6 [Source:HGNC Symbol;Acc:HGNC:15848]	1152	0.5659920573234558	-0.02493495	No	
row_11	ATP10D	ATPase phospholipid transporting 10D (putative) [Source:HGNC Symbol;Acc:HGNC:13549]	1195	0.5585274696350098	-0.02407604	No	
row_12	BICC1	BicC family RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19351]	1214	0.5538679361343384	-0.021480355	No	
row_13	DPY19L1	dpy-19 like C-mannosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:22205]	1272	0.543325662612915	-0.021835234	No	
