NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	79	1.5884793996810913	0.0057142903	No	
row_1	GREM2	gremlin 2, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:17655]	80	1.5838178396224976	0.017247355	No	
row_2	GDF10	growth differentiation factor 10 [Source:HGNC Symbol;Acc:HGNC:4215]	105	1.4991631507873535	0.026385939	No	
row_3	KCNAB1	potassium voltage-gated channel subfamily A regulatory beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:6228]	132	1.401877522468567	0.034667935	No	
row_4	TMEM100	transmembrane protein 100 [Source:HGNC Symbol;Acc:HGNC:25607]	170	1.3136937618255615	0.04149286	No	
row_5	OXTR	oxytocin receptor [Source:HGNC Symbol;Acc:HGNC:8529]	192	1.2762560844421387	0.049230535	No	
row_6	CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	288	1.1143617630004883	0.050307028	No	
row_7	ACTC1	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]	311	1.0907039642333984	0.056619458	No	
row_8	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	312	1.0905925035476685	0.06456095	No	
row_9	LMO3	LIM domain only 3 [Source:HGNC Symbol;Acc:HGNC:6643]	367	1.0220234394073486	0.06800254	No	
row_10	LPL	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]	379	1.0093722343444824	0.074537665	No	
row_11	GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4685]	502	0.9230355620384216	0.07222066	No	
row_12	COCH	cochlin [Source:HGNC Symbol;Acc:HGNC:2180]	565	0.8833994269371033	0.074060135	No	
row_13	DNM1	dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972]	665	0.8193069696426392	0.07269175	No	
row_14	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	697	0.8071328401565552	0.0762725	No	
row_15	MAN1A1	mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821]	713	0.7951722145080566	0.08095153	No	
row_16	ARHGAP6	Rho GTPase activating protein 6 [Source:HGNC Symbol;Acc:HGNC:676]	784	0.7567801475524902	0.081276305	No	
row_17	PEG3	paternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:8826]	838	0.7317668795585632	0.082678385	No	
row_18	FMO2	flavin containing dimethylaniline monoxygenase 2 [Source:HGNC Symbol;Acc:HGNC:3770]	876	0.7173369526863098	0.08516075	No	
row_19	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	878	0.7167635560035706	0.09030601	No	
row_20	GUCY1B1	guanylate cyclase 1 soluble subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4687]	892	0.7116177082061768	0.09452476	No	
row_21	TENM3	teneurin transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:29944]	900	0.7101202607154846	0.09917713	No	
row_22	CELF2	CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]	935	0.6986517310142517	0.10174569	No	
row_23	RND1	Rho family GTPase 1 [Source:HGNC Symbol;Acc:HGNC:18314]	990	0.678184449672699	0.10268351	No	
row_24	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693]	1075	0.6431849598884583	0.10114392	No	
row_25	COL15A1	collagen type XV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2192]	1080	0.639691948890686	0.1055057	No	
row_26	FAM117A	family with sequence similarity 117 member A [Source:HGNC Symbol;Acc:HGNC:24179]	1091	0.637515127658844	0.10940711	No	
row_27	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	1124	0.6288102269172668	0.11161527	No	
row_28	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	1254	0.5963771343231201	0.106401004	No	
row_29	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	1276	0.5921983122825623	0.109157495	No	
row_30	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	1299	0.5861911773681641	0.111796156	No	
row_31	LRRC8B	leucine rich repeat containing 8 VRAC subunit B [Source:HGNC Symbol;Acc:HGNC:30692]	1391	0.5656020641326904	0.10917302	No	
row_32	NELL2	neural EGFL like 2 [Source:HGNC Symbol;Acc:HGNC:7751]	1395	0.564926028251648	0.11306445	No	
row_33	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	1403	0.5633048415184021	0.11664774	No	
row_34	N4BP2L1	NEDD4 binding protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:25037]	1453	0.5487462282180786	0.11701344	No	
row_35	SLC1A1	solute carrier family 1 member 1 [Source:HGNC Symbol;Acc:HGNC:10939]	1466	0.54610276222229	0.120101035	No	
row_36	DCX	doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	1504	0.5363370180130005	0.1212654	No	
row_37	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	1560	0.5215824842453003	0.120988786	No	
