NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNO	cyclin O [Source:HGNC Symbol;Acc:HGNC:18576]	64	0.9738545417785645	0.0036324095	No	
row_1	KIF6	kinesin family member 6 [Source:HGNC Symbol;Acc:HGNC:21202]	216	0.7269113659858704	-0.001208843	No	
row_2	ENKUR	enkurin, TRPC channel interacting protein [Source:HGNC Symbol;Acc:HGNC:28388]	523	0.5515367984771729	-0.01888782	No	
row_3	CFAP70	cilia and flagella associated protein 70 [Source:HGNC Symbol;Acc:HGNC:30726]	692	0.49451735615730286	-0.02695706	No	
row_4	WDR49	WD repeat domain 49 [Source:HGNC Symbol;Acc:HGNC:26587]	942	0.428756445646286	-0.041514024	No	
row_5	GRM5	glutamate metabotropic receptor 5 [Source:HGNC Symbol;Acc:HGNC:4597]	1041	0.4084952771663666	-0.04519628	No	
row_6	CCDC40	coiled-coil domain containing 40 [Source:HGNC Symbol;Acc:HGNC:26090]	1125	0.39335203170776367	-0.047910374	No	
row_7	OXTR	oxytocin receptor [Source:HGNC Symbol;Acc:HGNC:8529]	1250	0.37273168563842773	-0.053800233	No	
row_8	CCDC30	coiled-coil domain containing 30 [Source:HGNC Symbol;Acc:HGNC:26103]	1349	0.35615554451942444	-0.05792937	No	
row_9	CCDC148	coiled-coil domain containing 148 [Source:HGNC Symbol;Acc:HGNC:25191]	1354	0.3550461232662201	-0.0551906	No	
row_10	ERICH3	glutamate rich 3 [Source:HGNC Symbol;Acc:HGNC:25346]	1382	0.35142552852630615	-0.05416551	No	
row_11	CFAP54	cilia and flagella associated protein 54 [Source:HGNC Symbol;Acc:HGNC:26456]	1680	0.3094002306461334	-0.0732534	No	
row_12	RGS22	regulator of G protein signaling 22 [Source:HGNC Symbol;Acc:HGNC:24499]	1733	0.30334237217903137	-0.074467935	No	
row_13	BBOF1	basal body orientation factor 1 [Source:HGNC Symbol;Acc:HGNC:19855]	1788	0.29687434434890747	-0.07588402	No	
row_14	IQCD	IQ motif containing D [Source:HGNC Symbol;Acc:HGNC:25168]	1871	0.2867058217525482	-0.07943551	No	
row_15	ZMYND12	zinc finger MYND-type containing 12 [Source:HGNC Symbol;Acc:HGNC:21192]	1927	0.2819463312625885	-0.08105222	No	
row_16	KIAA0825	KIAA0825 [Source:HGNC Symbol;Acc:HGNC:28532]	1953	0.27871137857437134	-0.080501646	No	
row_17	CFAP53	cilia and flagella associated protein 53 [Source:HGNC Symbol;Acc:HGNC:26530]	2300	0.24093206226825714	-0.10375914	No	
row_18	DNAH7	dynein axonemal heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:18661]	2439	0.22677980363368988	-0.11191945	No	
row_19	DNAAF11	dynein axonemal assembly factor 11 [Source:HGNC Symbol;Acc:HGNC:16725]	2573	0.21431703865528107	-0.11982034	No	
row_20	CSPP1	centrosome and spindle pole associated protein 1 [Source:HGNC Symbol;Acc:HGNC:26193]	2679	0.20468218624591827	-0.12575492	No	
row_21	FUZ	fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219]	2731	0.2003272920846939	-0.12777585	No	
row_22	FANK1	fibronectin type III and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:23527]	2743	0.19900763034820557	-0.1268815	No	
row_23	EFCAB6	EF-hand calcium binding domain 6 [Source:HGNC Symbol;Acc:HGNC:24204]	2914	0.18639732897281647	-0.13772783	No	
row_24	CFAP119	cilia and flagella associated protein 119 [Source:HGNC Symbol;Acc:HGNC:28078]	3003	0.179763525724411	-0.14263138	No	
row_25	CCDC13	coiled-coil domain containing 13 [Source:HGNC Symbol;Acc:HGNC:26358]	3074	0.1745365709066391	-0.14626262	No	
row_26	SAXO2	stabilizer of axonemal microtubules 2 [Source:HGNC Symbol;Acc:HGNC:33727]	3148	0.16981132328510284	-0.1501537	No	
row_27	FOXJ1	forkhead box J1 [Source:HGNC Symbol;Acc:HGNC:3816]	3475	0.14571507275104523	-0.17276089	No	
row_28	RSPH14	radial spoke head 14 homolog [Source:HGNC Symbol;Acc:HGNC:13437]	3983	0.11333783715963364	-0.20888714	No	
row_29	CCDC191	coiled-coil domain containing 191 [Source:HGNC Symbol;Acc:HGNC:29272]	4255	0.09737905859947205	-0.22788304	No	
row_30	HAGHL	hydroxyacylglutathione hydrolase like [Source:HGNC Symbol;Acc:HGNC:14177]	4556	0.08084256201982498	-0.24914189	No	
row_31	TOGARAM2	TOG array regulator of axonemal microtubules 2 [Source:HGNC Symbol;Acc:HGNC:33715]	4587	0.07949845492839813	-0.25065804	No	
row_32	STK33	serine/threonine kinase 33 [Source:HGNC Symbol;Acc:HGNC:14568]	4675	0.0747658908367157	-0.2563849	No	
row_33	CFAP69	cilia and flagella associated protein 69 [Source:HGNC Symbol;Acc:HGNC:26107]	4872	0.0634545236825943	-0.27018318	No	
row_34	TRAF3IP1	TRAF3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17861]	5006	0.05573247745633125	-0.27943808	No	
row_35	FBXW9	F-box and WD repeat domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28136]	5153	0.047949228435754776	-0.28971058	No	
row_36	LRRC73	leucine rich repeat containing 73 [Source:HGNC Symbol;Acc:HGNC:21375]	5158	0.04789409786462784	-0.2895943	No	
row_37	ODAD3	outer dynein arm docking complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:28303]	5504	0.028992431238293648	-0.31458822	No	
row_38	TMEM67	transmembrane protein 67 [Source:HGNC Symbol;Acc:HGNC:28396]	5576	0.025293666869401932	-0.31956688	No	
row_39	CCDC96	coiled-coil domain containing 96 [Source:HGNC Symbol;Acc:HGNC:26900]	5704	0.0187836866825819	-0.32869825	No	
row_40	FABP6	fatty acid binding protein 6 [Source:HGNC Symbol;Acc:HGNC:3561]	6080	-3.7764324224554E-4	-0.35613137	No	
row_41	FBXO36	F-box protein 36 [Source:HGNC Symbol;Acc:HGNC:27020]	6367	-0.014961779117584229	-0.37692842	No	
row_42	C17orf97	chromosome 17 open reading frame 97 [Source:HGNC Symbol;Acc:HGNC:33800]	6381	-0.015696702525019646	-0.37774554	No	
row_43	NEK10	NIMA related kinase 10 [Source:HGNC Symbol;Acc:HGNC:18592]	6426	-0.01774333044886589	-0.38081324	No	
row_44	LRRC23	leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:HGNC:19138]	6524	-0.02263205498456955	-0.38771686	No	
row_45	CES4A	carboxylesterase 4A [Source:HGNC Symbol;Acc:HGNC:26741]	6727	-0.032961659133434296	-0.4022145	No	
row_46	TEKT2	tektin 2 [Source:HGNC Symbol;Acc:HGNC:11725]	6783	-0.035325583070516586	-0.40593687	No	
row_47	BBS5	Bardet-Biedl syndrome 5 [Source:HGNC Symbol;Acc:HGNC:970]	6925	-0.04093281552195549	-0.41590345	No	
row_48	CFAP210	cilia and flagella associated protein 210 [Source:HGNC Symbol;Acc:HGNC:25064]	7268	-0.057864364236593246	-0.44043136	No	
row_49	PIERCE1	piercer of microtubule wall 1 [Source:HGNC Symbol;Acc:HGNC:28435]	7402	-0.06476494669914246	-0.44960913	No	
row_50	NME5	NME/NM23 family member 5 [Source:HGNC Symbol;Acc:HGNC:7853]	8018	-0.09663954377174377	-0.49377963	No	
row_51	ODF2L	outer dense fiber of sperm tails 2 like [Source:HGNC Symbol;Acc:HGNC:29225]	8043	-0.09759663790464401	-0.49470225	No	
row_52	RAB36	RAB36, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9775]	8166	-0.10310830920934677	-0.5027479	No	
row_53	PSENEN	presenilin enhancer, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:30100]	8311	-0.1107177659869194	-0.5123381	No	
row_54	ZDHHC1	zinc finger DHHC-type containing 1 [Source:HGNC Symbol;Acc:HGNC:17916]	8644	-0.1308218091726303	-0.53551143	No	
row_55	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator [Source:HGNC Symbol;Acc:HGNC:10446]	8706	-0.13441674411296844	-0.53882676	No	
